Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000228794,LINC01128,58,0.72761,14,-1.4361,11,-1.8065,26,-0.5144,18,-1.0382,40,0.14558,10,-1.8500,53,0.59874,27,-0.4412,78,1.23550,51,0.60344
ENSG00000188976,NOC2L,58,0.35297,21,-1.2130,20,-1.2234,27,-0.7969,36,-0.4013,33,-0.5280,57,0.32916,50,0.12129,91,1.11134,54,0.26072,53,0.25299
ENSG00000188290,HES4,58,0.18427,54,0.07726,32,-0.7115,88,0.86042,115,1.31880,32,-0.7157,16,-1.7805,68,0.45151,67,0.42870,33,-0.6551,27,-1.0635
ENSG00000187608,ISG15,58,-0.3037,150,1.23894,89,0.37141,121,0.87567,124,0.92254,31,-1.2337,28,-1.3904,23,-1.6798,60,-0.2507,34,-1.0852,63,-0.1899
ENSG00000188157,AGRN,58,1.14068,34,0.25422,12,-1.2331,38,0.46540,18,-0.6798,29,0.02911,9,-1.7102,7,-2.0990,40,0.52073,18,-0.6906,40,0.58974
ENSG00000078808,SDF4,58,-0.0374,54,-0.1387,30,-1.0177,77,0.42575,66,0.16801,55,-0.1200,55,-0.1219,65,0.15369,57,-0.0628,73,0.32560,60,0.02833
ENSG00000160087,UBE2J2,58,0.86497,14,-1.2833,29,-0.2412,30,-0.1628,54,0.74307,24,-0.5047,25,-0.4759,52,0.68896,42,0.34590,16,-1.1551,30,-0.1672
ENSG00000131584,ACAP3,66,-0.1410,85,0.27224,37,-1.0016,126,0.91584,42,-0.8129,167,1.39321,83,0.22322,37,-1.0186,98,0.48991,31,-1.2892,45,-0.7672
ENSG00000127054,INTS11,58,0.71041,35,-0.0748,20,-0.9063,50,0.47468,20,-0.8977,44,0.27753,41,0.16993,14,-1.4312,46,0.33281,30,-0.3236,42,0.23940
ENSG00000107404,DVL1,58,0.29060,10,-2.2457,62,0.40191,83,0.88621,78,0.77891,41,-0.2595,45,-0.1063,23,-1.0983,47,-0.0197,75,0.71729,27,-0.9538
ENSG00000175756,AURKAIP1,58,-1.4525,75,-1.0575,174,0.23203,261,0.89023,203,0.47839,66,-1.2473,149,-0.0199,138,-0.1343,220,0.60454,144,-0.0714,159,0.09680
ENSG00000221978,CCNL2,58,-0.0765,77,0.36859,26,-1.2846,33,-0.9283,38,-0.7317,102,0.84421,54,-0.1815,60,-0.0092,69,0.21120,50,-0.3041,81,0.50398
ENSG00000242485,MRPL20,85,-1.0523,59,-1.5822,170,0.01128,272,0.77193,175,0.06065,101,-0.7862,300,0.93789,115,-0.5868,202,0.28695,211,0.35523,166,-0.0263
ENSG00000235098,ANKRD65,58,1.07050,55,0.97481,10,-1.6161,37,0.32457,42,0.55210,6,-2.3310,27,-0.1602,31,0.05743,51,0.87665,11,-1.4893,15,-1.0940
ENSG00000205090,TMEM240,58,1.38706,4,-2.5547,6,-2.1452,37,0.64054,13,-0.9295,21,-0.2229,28,0.17030,14,-0.8849,51,1.18233,26,0.08823,19,-0.3989
ENSG00000160075,SSU72,58,-1.4588,66,-1.2583,136,-0.1684,224,0.62708,168,0.16953,111,-0.4831,171,0.19066,119,-0.3717,172,0.20212,186,0.32547,202,0.52109
ENSG00000228594,FNDC10,58,0.87597,7,-2.3257,46,0.51179,62,1.00026,41,0.30445,13,-1.4381,32,-0.0911,20,-0.7845,28,-0.2647,7,-2.1863,44,0.48336
ENSG00000197530,MIB2,58,0.93447,27,-0.2576,22,-0.5876,56,0.87115,22,-0.5728,22,-0.5607,9,-1.9463,50,0.69895,61,1.01400,21,-0.6613,20,-0.7707
ENSG00000248333,CDK11B,58,0.00989,134,1.40077,60,0.06540,45,-0.3739,60,0.06788,111,1.06973,28,-1.0837,33,-0.8621,25,-1.2640,36,-0.7242,50,-0.2318
ENSG00000008128,CDK11A,58,0.54245,95,1.38107,91,1.30839,22,-0.9699,23,-0.8765,71,0.88535,26,-0.6802,7,-2.6020,22,-0.9534,36,-0.1862,21,-1.1012
ENSG00000215790,SLC35E2A,58,1.04157,22,-0.5064,49,0.75902,47,0.70723,26,-0.2197,20,-0.6061,24,-0.3252,31,0.04226,24,-0.3274,23,-0.3931,19,-0.7646
ENSG00000008130,NADK,58,1.29040,16,-0.7290,26,-0.0286,25,-0.0725,34,0.38776,14,-0.9586,32,0.33565,22,-0.2618,26,-0.0054,19,-0.4967,21,-0.3363
ENSG00000078369,GNB1,484,-0.1551,320,-0.7902,759,0.56167,677,0.37686,628,0.25637,359,-0.6150,637,0.27810,448,-0.2765,567,0.09257,589,0.15290,473,-0.2097
ENSG00000187730,GABRD,58,-1.4405,13,-3.5488,138,-0.1269,137,-0.1312,67,-1.2309,139,-0.1151,147,-0.0192,171,0.21037,299,1.13454,151,0.01858,236,0.83881
ENSG00000067606,PRKCZ,161,-0.3577,161,-0.3604,225,0.15957,207,0.03070,163,-0.3380,179,-0.1949,284,0.53397,106,-0.9959,217,0.10307,239,0.25859,247,0.34745
ENSG00000162585,FAAP20,58,0.59733,43,0.13982,38,-0.0666,86,1.26897,44,0.15387,25,-0.6731,72,0.96497,34,-0.2463,32,-0.3322,19,-1.0966,12,-1.8471
ENSG00000157933,SKI,58,0.84931,52,0.68695,45,0.45891,51,0.63283,44,0.40430,60,0.91686,42,0.32270,12,-1.5260,9,-1.8886,8,-2.1817,13,-1.4825
ENSG00000157916,RER1,58,0.31316,24,-1.0096,23,-1.1057,59,0.33797,59,0.34753,35,-0.4550,37,-0.3992,26,-0.9116,72,0.66502,38,-0.3488,69,0.67985
ENSG00000157870,PRXL2B,58,0.07877,13,-2.0872,90,0.79120,74,0.46252,59,0.12040,36,-0.6446,46,-0.2804,43,-0.3902,70,0.38230,48,-0.2168,61,0.19522
ENSG00000177133,PRDM16-DT,58,1.50725,5,-2.0878,23,-0.0219,32,0.48835,93,2.43401,8,-1.5134,16,-0.5165,13,-0.8292,8,-1.5075,0,-5.7538,10,-1.2606
ENSG00000158109,TPRG1L,58,-1.7850,69,-1.5164,178,-0.0850,159,-0.2686,132,-0.5501,131,-0.5565,343,0.97576,171,-0.1485,242,0.39704,249,0.44138,264,0.60672
