Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000237491,LINC01409,8,0.01922,7,-0.2476,7,-0.3700,9,0.16821,14,0.79920,6,-0.4399
ENSG00000228794,LINC01128,16,-1.0396,25,-0.3998,38,0.31821,37,0.31741,30,-0.0986,35,0.14841
ENSG00000188976,NOC2L,22,-0.8406,32,-0.2728,41,0.13616,40,0.09879,51,0.47210,40,0.10106
ENSG00000188290,HES4,109,1.46633,42,-0.1408,43,-0.1343,36,-0.4629,39,-0.2694,34,-0.4931
ENSG00000187608,ISG15,93,1.00839,46,-0.1681,73,0.67144,44,-0.3096,11,-2.2861,36,-0.5328
ENSG00000188157,AGRN,18,-0.3143,21,-0.0387,24,0.19657,16,-0.5422,34,0.75211,25,0.21905
ENSG00000131591,C1orf159,3,-1.3769,9,0.01494,6,-0.7139,7,-0.4993,17,1.09512,18,1.17508
ENSG00000078808,SDF4,69,0.03294,61,-0.1730,96,0.65781,50,-0.5736,80,0.26632,62,-0.1313
ENSG00000176022,B3GALT6,17,-0.4273,22,-0.0163,27,0.30708,20,-0.2588,30,0.45451,21,-0.1091
ENSG00000160087,UBE2J2,28,-0.4795,40,0.07604,44,0.24904,34,-0.2301,43,0.17199,42,0.14939
ENSG00000162572,SCNN1D,5,-0.9665,7,-0.5394,17,0.93216,9,-0.1918,14,0.45494,7,-0.5298
ENSG00000131584,ACAP3,36,-0.7483,71,0.37231,51,-0.2257,38,-0.8142,109,1.05306,78,0.47799
ENSG00000169972,PUSL1,10,0.19755,9,0.05039,7,-0.4121,9,-0.0581,15,0.89737,5,-0.7970
ENSG00000127054,INTS11,36,-0.3459,47,0.07432,51,0.22660,35,-0.4684,56,0.36725,55,0.33703
ENSG00000224051,CPTP,15,-0.5262,15,-0.6005,32,0.73367,17,-0.4781,31,0.58163,25,0.23057
ENSG00000107404,DVL1,54,0.27698,51,0.20421,45,-0.0097,31,-0.7565,48,0.08040,69,0.68243
ENSG00000175756,AURKAIP1,180,0.03435,176,0.00410,173,-0.0340,180,0.04344,181,0.04367,162,-0.1328
ENSG00000221978,CCNL2,63,-0.1665,56,-0.3854,66,-0.0957,71,0.02652,110,0.74375,69,-0.0170
ENSG00000242485,MRPL20,190,0.04421,208,0.21529,206,0.20159,187,0.02600,122,-0.6441,145,-0.3775
ENSG00000235098,ANKRD65,29,0.22324,27,0.12914,25,0.01738,28,0.19325,24,-0.0913,11,-1.2295
ENSG00000179403,VWA1,21,0.42981,7,-1.2407,6,-1.5454,6,-1.6655,21,0.42612,72,2.85903
ENSG00000160072,ATAD3B,12,0.11924,15,0.52709,11,-0.0937,5,-1.2853,18,0.73948,15,0.44823
ENSG00000197785,ATAD3A,3,-2.0261,8,-0.7399,12,0.04011,14,0.25771,26,1.26464,11,-0.1811
ENSG00000205090,TMEM240,7,-1.7183,30,0.39498,24,0.00241,22,-0.1682,35,0.62693,23,-0.0468
ENSG00000160075,SSU72,119,-0.1755,141,0.11143,146,0.17917,132,-0.0059,120,-0.1522,115,-0.2191
ENSG00000228594,FNDC10,14,-0.6922,17,-0.4141,36,0.97752,21,-0.0494,12,-0.9437,22,0.00545
ENSG00000272106,AL691432.2,26,0.57229,21,0.27080,12,-0.6710,19,0.08969,17,-0.1067,15,-0.2764
ENSG00000197530,MIB2,20,-0.3219,29,0.27770,25,0.04208,20,-0.4276,33,0.44771,27,0.12148
ENSG00000248333,CDK11B,16,-0.2664,17,-0.2119,19,-0.0608,17,-0.2550,28,0.58426,27,0.52134
ENSG00000189339,SLC35E2B,12,-0.7427,18,-0.1470,28,0.60927,19,-0.1034,24,0.28745,14,-0.4991
ENSG00000008128,CDK11A,10,0.41898,6,-0.4359,6,-0.4393,7,-0.2690,16,1.19452,7,-0.1001
ENSG00000215790,SLC35E2A,38,0.22686,24,-0.5292,37,0.25179,28,-0.3004,37,0.21967,44,0.49235
ENSG00000008130,NADK,33,0.42919,26,0.01330,26,0.00026,21,-0.3736,25,-0.0635,32,0.34513
ENSG00000078369,GNB1,526,0.02003,485,-0.1232,661,0.44824,458,-0.2517,502,-0.0555,501,-0.0577
ENSG00000187730,GABRD,64,-1.2309,172,0.33137,219,0.81130,130,-0.1909,110,-0.4119,87,-0.7857
ENSG00000067606,PRKCZ,97,-0.6562,153,0.07387,181,0.38333,130,-0.2421,143,-0.0432,172,0.24853
ENSG00000162585,FAAP20,58,1.08181,34,0.23347,26,-0.2668,22,-0.6064,14,-1.1404,43,0.58390
ENSG00000157933,SKI,29,0.89095,16,-0.0605,20,0.29858,10,-1.0048,19,0.21856,18,0.15586
ENSG00000157916,RER1,61,-0.0898,56,-0.2379,60,-0.1108,71,0.20419,66,0.04515,70,0.14142
ENSG00000157911,PEX10,32,0.88692,14,-0.4835,12,-0.6859,15,-0.4368,13,-0.5699,44,1.45318
ENSG00000149527,PLCH2,14,-0.1407,28,1.12966,21,0.52211,7,-1.3295,12,-0.4787,11,-0.5366
ENSG00000157881,PANK4,7,-1.1064,26,1.00467,20,0.44829,9,-1.0157,18,0.22687,11,-0.5059
