Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,116,2.01660,19,-0.9873,6,-2.6608,11,-1.7998,24,-0.7467,46,0.38942,39,0.10791
ENSG00000188976,NOC2L,116,1.45367,52,0.07197,29,-0.8010,22,-1.2584,18,-1.6059,64,0.48734,55,0.19373
ENSG00000188290,HES4,116,2.02579,4,-3.2711,3,-3.4663,12,-1.6774,41,0.19205,51,0.60112,25,-0.6615
ENSG00000187608,ISG15,116,1.73000,4,-3.2549,13,-1.7964,47,0.14542,46,0.12939,50,0.29016,28,-0.7441
ENSG00000188157,AGRN,116,2.38506,35,0.18902,20,-0.6786,13,-1.3491,21,-0.6516,22,-0.5571,20,-0.7285
ENSG00000078808,SDF4,116,1.02869,113,0.98057,47,-0.4405,47,-0.4401,54,-0.2465,56,-0.1961,41,-0.7319
ENSG00000176022,B3GALT6,116,2.38152,24,-0.4116,10,-1.6461,20,-0.7154,24,-0.4185,26,-0.2940,20,-0.7218
ENSG00000160087,UBE2J2,116,1.74761,62,0.61322,21,-1.0761,15,-1.5831,26,-0.8414,46,0.14503,33,-0.4120
ENSG00000131584,ACAP3,116,0.67080,121,0.73979,65,-0.2745,33,-1.3162,91,0.29963,65,-0.2824,62,-0.3864
ENSG00000127054,INTS11,116,1.45776,53,0.10368,45,-0.1447,41,-0.2814,43,-0.2537,46,-0.1164,30,-0.8246
ENSG00000224051,CPTP,116,2.71823,21,-0.3751,9,-1.5801,7,-1.9407,18,-0.6607,23,-0.2519,17,-0.8111
ENSG00000107404,DVL1,116,1.35996,35,-0.6245,44,-0.2569,17,-1.7220,73,0.62947,44,-0.2723,37,-0.5853
ENSG00000175756,AURKAIP1,116,-0.3261,161,0.19759,87,-0.7742,113,-0.3672,168,0.30775,198,0.62500,107,-0.4949
ENSG00000221978,CCNL2,116,1.14149,40,-0.5887,78,0.47343,33,-0.8936,42,-0.5666,66,0.21966,51,-0.2434
ENSG00000242485,MRPL20,116,-0.2639,124,-0.1620,109,-0.3609,112,-0.3123,190,0.61971,153,0.20466,111,-0.3708
ENSG00000235098,ANKRD65,116,1.92226,42,0.12821,63,0.78487,28,-0.5113,37,-0.0663,26,-0.6802,6,-2.7988
ENSG00000179403,VWA1,116,0.86899,200,1.88297,179,1.66319,105,0.70330,21,-1.8809,12,-2.7371,9,-3.1491
ENSG00000205090,TMEM240,116,2.65763,9,-1.6163,4,-2.6372,0,-5.0215,21,-0.4434,34,0.37363,18,-0.7174
ENSG00000160075,SSU72,116,-0.0056,116,-0.0072,66,-0.8826,72,-0.7566,122,0.08399,172,0.75279,102,-0.2232
ENSG00000228594,FNDC10,116,2.21841,11,-1.6560,4,-3.1824,6,-2.4186,33,-0.0446,38,0.21151,29,-0.2565
ENSG00000197530,MIB2,116,1.86718,39,-0.0344,15,-1.4757,27,-0.6197,48,0.32862,29,-0.5406,24,-0.8439
ENSG00000248333,CDK11B,116,1.10207,14,-2.1523,62,0.04427,91,0.68105,54,-0.1986,31,-1.1060,74,0.38486
ENSG00000008128,CDK11A,116,2.34694,6,-2.4536,42,0.46785,29,-0.1139,11,-1.6960,15,-1.1893,35,0.19285
ENSG00000215790,SLC35E2A,116,1.94863,30,-0.3916,17,-1.2485,13,-1.6332,42,0.17118,39,0.01246,23,-0.8547
ENSG00000008130,NADK,116,2.26029,26,-0.3718,19,-0.8380,17,-1.0358,23,-0.6174,27,-0.3511,26,-0.3964
ENSG00000078369,GNB1,116,-1.8570,361,-0.1249,202,-1.0251,219,-0.9037,636,0.94913,491,0.42730,376,-0.0658
ENSG00000187730,GABRD,116,-0.2747,75,-0.9381,4,-5.0272,2,-5.6872,90,-0.7345,313,1.73166,187,0.57431
ENSG00000067606,PRKCZ,116,-0.7444,293,0.74334,87,-1.1700,82,-1.2621,212,0.23122,225,0.34621,207,0.18741
ENSG00000162585,FAAP20,116,1.67870,22,-1.0801,32,-0.4936,55,0.35246,52,0.29890,27,-0.8056,28,-0.7428
ENSG00000157933,SKI,116,1.67042,34,-0.4205,41,-0.1070,47,0.09720,40,-0.1899,22,-1.1484,40,-0.1757
ENSG00000157916,RER1,116,1.08972,93,0.71809,56,-0.1191,51,-0.2601,53,-0.2350,65,0.14256,25,-1.4278
ENSG00000157911,PEX10,116,2.39421,32,0.05599,19,-0.7328,43,0.54313,27,-0.2608,21,-0.6730,2,-3.8071
ENSG00000157870,PRXL2B,116,1.95054,3,-3.5264,10,-2.0005,15,-1.4451,30,-0.4105,58,0.80282,31,-0.3731
ENSG00000158109,TPRG1L,116,-0.5845,145,-0.2364,42,-2.0913,50,-1.8461,195,0.27383,267,0.89689,202,0.33459
ENSG00000130764,LRRC47,116,0.63058,84,0.10075,62,-0.3738,30,-1.4681,65,-0.3241,114,0.70875,68,-0.2605
ENSG00000116198,CEP104,116,1.19053,58,0.02370,112,1.12929,93,0.80062,34,-0.8737,20,-1.7013,42,-0.5356
ENSG00000196581,AJAP1,116,1.48506,57,0.27135,24,-1.0480,21,-1.2866,24,-1.1891,49,0.03164,60,0.39664
ENSG00000069424,KCNAB2,116,-0.2367,103,-0.4263,11,-3.6916,14,-3.3939,176,0.50827,237,1.12409,137,0.03092
ENSG00000116254,CHD5,116,-0.9166,178,-0.2494,17,-3.7591,42,-2.4166,171,-0.3528,207,-0.0176,490,1.81888
ENSG00000116251,RPL22,116,-2.4251,492,-0.2417,644,0.18740,1202,1.25524,837,0.72315,394,-0.6480,407,-0.5930
ENSG00000116237,ICMT,116,1.69765,50,0.21634,19,-1.2954,16,-1.5148,37,-0.2821,49,0.23897,31,-0.5992
ENSG00000097021,ACOT7,116,-0.5737,167,0.00188,33,-2.4397,36,-2.3332,113,-0.6783,352,1.54377,194,0.27359
ENSG00000162408,NOL9,116,1.94448,40,0.07027,25,-0.6518,8,-2.2991,32,-0.3191,35,-0.1411,30,-0.4344
ENSG00000162413,KLHL21,116,1.96847,69,0.98542,36,-0.0722,20,-1.0106,16,-1.4033,30,-0.4034,23,-0.8278
ENSG00000116273,PHF13,116,2.67172,38,0.53171,14,-1.0400,2,-3.7432,15,-1.0263,19,-0.6548,19,-0.6040
ENSG00000041988,THAP3,116,2.84704,20,-0.3910,18,-0.5737,3,-2.9507,21,-0.3165,25,-0.0740,4,-2.7908
ENSG00000007923,DNAJC11,116,1.84173,33,-0.2920,22,-0.9256,17,-1.3307,26,-0.7523,39,-0.0696,43,0.11262
ENSG00000171735,CAMTA1,116,-1.7682,241,-0.6618,179,-1.1149,122,-1.6904,321,-0.2388,481,0.50476,706,1.31850
ENSG00000049245,VAMP3,116,0.93224,117,0.95791,141,1.28932,170,1.63848,36,-1.0382,13,-2.5897,9,-3.0880
ENSG00000049246,PER3,116,1.23791,54,-0.0328,102,1.01486,42,-0.4532,50,-0.1998,28,-1.1420,43,-0.4415
ENSG00000116288,PARK7,116,-1.0336,213,-0.0928,154,-0.6000,168,-0.4642,297,0.51763,334,0.74975,171,-0.4822
ENSG00000116285,ERRFI1,116,2.59481,13,-1.2290,20,-0.5648,21,-0.4986,11,-1.5561,32,0.22814,15,-1.0842
ENSG00000162426,SLC45A1,116,2.50388,7,-2.1638,7,-2.2045,8,-2.0134,12,-1.4349,43,0.70686,24,-0.3450
ENSG00000142599,RERE,116,-0.2604,107,-0.3853,190,0.54177,121,-0.1965,144,0.09752,106,-0.4402,166,0.35651
ENSG00000074800,ENO1,116,-1.8184,411,0.12689,218,-0.8685,352,-0.1248,616,0.93679,484,0.44934,253,-0.7013
ENSG00000171612,SLC25A33,116,2.11570,5,-2.9274,17,-1.1237,25,-0.5361,62,1.09981,21,-0.8681,12,-1.6979
ENSG00000171603,CLSTN1,116,-2.3288,624,0.24185,135,-2.1071,172,-1.7457,407,-0.4826,1062,1.38671,693,0.47567
ENSG00000178585,CTNNBIP1,116,2.03586,43,0.26790,27,-0.4877,22,-0.8007,34,-0.1293,26,-0.5935,19,-1.0543
ENSG00000162441,LZIC,116,0.68476,101,0.44832,133,0.92544,118,0.71641,50,-0.7073,48,-0.8047,49,-0.7400
ENSG00000162444,RBP7,116,1.98143,116,1.99009,71,1.04866,51,0.49250,10,-2.0310,0,-7.8308,1,-4.9552
ENSG00000130939,UBE4B,116,1.21631,56,-0.0069,65,0.22614,28,-1.0697,42,-0.5144,60,0.12479,47,-0.3205
ENSG00000054523,KIF1B,116,-2.1562,540,0.19849,722,0.68014,567,0.27818,416,-0.2443,379,-0.4045,620,0.48791
ENSG00000142657,PGD,116,1.04651,53,-0.2416,48,-0.3864,43,-0.5604,39,-0.7688,96,0.84483,43,-0.6046
ENSG00000241563,CORT,116,1.63338,6,-2.8324,11,-2.0610,6,-3.0463,102,1.71948,43,-0.0896,10,-2.3321
ENSG00000160049,DFFA,116,0.85904,75,0.14252,110,0.76568,78,0.20608,66,-0.0654,42,-0.8562,47,-0.6633
ENSG00000142655,PEX14,116,2.81730,16,-0.7151,10,-1.4125,8,-1.6621,7,-2.0050,27,0.05293,21,-0.4045
ENSG00000120948,TARDBP,116,0.42315,151,0.87340,118,0.45762,56,-0.7190,64,-0.5794,80,-0.2017,82,-0.1517
ENSG00000116649,SRM,116,1.59061,41,-0.1685,24,-0.9839,27,-0.8060,50,0.15553,45,-0.0531,31,-0.6874
ENSG00000171824,EXOSC10,116,1.90233,26,-0.6186,61,0.71817,12,-1.7135,17,-1.4076,33,-0.2711,38,-0.0545
