Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to12,Feature log2 fold change topic 8to12
ENSG00000228794,LINC01128,5,-3.1851,60,0.65619,23,-1.0003,48,0.22193,47,0.31456
ENSG00000188976,NOC2L,30,-1.0680,52,-0.2375,28,-1.2374,59,-0.0398,83,0.90591
ENSG00000188290,HES4,10,-1.7147,15,-1.2026,62,1.28372,28,-0.1895,31,-0.0014
ENSG00000187608,ISG15,17,-0.9381,10,-1.7776,50,0.75399,15,-1.1929,45,0.87395
ENSG00000188157,AGRN,13,-1.1677,25,-0.2525,23,-0.3527,54,1.16068,26,-0.2640
ENSG00000078808,SDF4,26,-1.1431,49,-0.2216,67,0.32322,65,0.28502,56,0.00776
ENSG00000176022,B3GALT6,17,-0.4368,11,-1.1047,15,-0.6904,30,0.50400,28,0.60531
ENSG00000160087,UBE2J2,12,-1.5407,18,-1.0237,32,-0.1089,56,0.87363,38,0.22806
ENSG00000131584,ACAP3,74,-0.1342,52,-0.7364,61,-0.4629,105,0.46936,92,0.32807
ENSG00000127054,INTS11,52,0.28044,22,-1.1364,38,-0.2430,44,-0.0043,53,0.52215
ENSG00000224051,CPTP,19,0.05092,11,-0.8978,15,-0.2982,33,1.05127,17,-0.1958
ENSG00000107404,DVL1,75,0.68249,19,-1.5245,77,0.81157,72,0.69222,36,-0.7121
ENSG00000175756,AURKAIP1,87,-0.9399,55,-1.7057,163,0.01650,171,0.10362,213,0.78568
ENSG00000221978,CCNL2,51,-0.3542,52,-0.3373,55,-0.2500,56,-0.2264,78,0.52577
ENSG00000242485,MRPL20,96,-0.5813,69,-1.1438,176,0.41375,134,-0.0708,164,0.42415
ENSG00000235098,ANKRD65,25,0.13716,7,-1.8975,28,0.37569,33,0.70762,22,-0.0639
ENSG00000179403,VWA1,106,2.85828,4,-2.4825,28,0.45293,17,-0.4196,11,-1.3142
ENSG00000205090,TMEM240,16,-0.8796,12,-1.3629,20,-0.6125,49,0.92339,35,0.42822
ENSG00000160075,SSU72,83,-0.9215,75,-1.1447,140,-0.1344,138,-0.1614,206,0.86516
ENSG00000228594,FNDC10,8,-2.0470,16,-1.0707,32,0.07220,46,0.69966,35,0.32726
ENSG00000272106,AL691432.2,18,-0.1901,13,-0.7868,39,1.19854,15,-0.5601,19,-0.1704
ENSG00000197530,MIB2,25,-0.2496,14,-1.1681,31,0.08275,41,0.54694,32,0.17452
ENSG00000248333,CDK11B,92,1.31390,94,1.60445,32,-0.4402,36,-0.2460,16,-1.8569
ENSG00000189339,SLC35E2B,7,-1.4360,27,0.63929,22,0.26885,21,0.19906,15,-0.4135
ENSG00000008128,CDK11A,53,0.97653,67,1.64850,14,-1.1372,25,-0.2141,16,-1.2376
ENSG00000215790,SLC35E2A,29,0.52676,23,0.19178,25,0.29132,21,-0.0020,17,-0.5028
ENSG00000008130,NADK,24,-0.0685,21,-0.3016,22,-0.2433,36,0.62118,24,-0.0945
ENSG00000078369,GNB1,287,-0.9134,363,-0.6026,692,0.51011,625,0.32497,518,-0.0066
ENSG00000187730,GABRD,6,-5.1381,91,-1.2361,96,-1.1554,251,0.45710,289,1.20006
ENSG00000067606,PRKCZ,139,-0.7409,136,-0.8312,148,-0.7016,345,0.77880,261,0.38368
ENSG00000162585,FAAP20,29,0.15598,6,-2.1938,53,1.28121,38,0.62643,19,-0.7154
ENSG00000157933,SKI,80,1.12749,39,-0.0503,55,0.54987,58,0.67407,19,-1.4785
ENSG00000157916,RER1,48,-0.2001,19,-1.7167,69,0.40879,37,-0.6419,72,0.75100
ENSG00000157870,PRXL2B,19,-1.3101,20,-1.3459,53,0.27899,63,0.58148,51,0.28933
ENSG00000158109,TPRG1L,75,-1.5132,97,-1.2068,144,-0.5814,274,0.52633,269,0.76249
ENSG00000130764,LRRC47,50,-0.8379,49,-0.9371,65,-0.4790,97,0.18887,114,0.75105
ENSG00000116198,CEP104,101,1.58614,71,1.10704,36,-0.1575,18,-1.2690,24,-1.0551
ENSG00000196581,AJAP1,26,-1.0445,78,0.73601,54,0.06661,40,-0.4213,50,-0.0707
ENSG00000069424,KCNAB2,46,-2.1194,91,-1.1748,186,-0.0032,231,0.37271,236,0.63610
ENSG00000116254,CHD5,105,-1.4510,493,1.09569,174,-0.7508,409,0.72530,206,-0.6442
ENSG00000116251,RPL22,723,0.73053,312,-0.6469,778,0.97192,558,0.34073,300,-0.9362
ENSG00000116237,ICMT,25,-0.7792,25,-0.8530,44,0.09111,43,0.03774,51,0.50882
ENSG00000097021,ACOT7,46,-2.3654,117,-1.0626,93,-1.4275,149,-0.6878,386,1.81687
ENSG00000171680,PLEKHG5,3,-2.9713,18,-0.5468,27,0.05623,30,0.25910,31,0.50187
ENSG00000162408,NOL9,36,-0.0105,36,-0.0145,36,-0.0208,42,0.26870,34,-0.1410
ENSG00000162413,KLHL21,45,0.69602,12,-1.4281,28,-0.0771,32,0.16387,32,0.25430
ENSG00000007923,DNAJC11,28,-0.7085,42,-0.0668,30,-0.6461,69,0.80492,44,-0.0115
ENSG00000171735,CAMTA1,282,-0.8479,833,0.98531,373,-0.4563,530,0.14053,423,-0.3420
ENSG00000049245,VAMP3,99,2.53567,3,-3.0537,38,0.88627,12,-1.0576,15,-0.9222
ENSG00000049246,PER3,79,1.15332,50,0.46206,68,1.04932,25,-0.7403,20,-1.3731
ENSG00000116288,PARK7,145,-0.8576,109,-1.3631,369,0.68025,216,-0.2740,301,0.45923
ENSG00000116285,ERRFI1,19,-0.6951,13,-1.4273,15,-1.1216,28,-0.1397,48,1.31425
ENSG00000162426,SLC45A1,1,-4.9571,10,-1.8340,23,-0.5281,38,0.33059,48,1.19910
ENSG00000142599,RERE,176,0.49610,174,0.53625,163,0.40841,127,-0.0281,89,-0.8219
ENSG00000074800,ENO1,200,-1.1927,136,-1.8717,799,1.12891,273,-0.7828,526,0.49409
ENSG00000171612,SLC25A33,23,-0.5793,10,-1.9350,83,1.81026,13,-1.4548,33,-0.0236
ENSG00000171603,CLSTN1,239,-1.7996,635,-0.3557,397,-1.1165,993,0.42100,1023,0.73835
ENSG00000178585,CTNNBIP1,35,0.24486,14,-1.1673,34,0.23289,39,0.50630,29,-0.0429
ENSG00000162441,LZIC,104,0.94120,65,0.18935,70,0.31405,65,0.20087,39,-0.8797
ENSG00000130939,UBE4B,44,-0.0852,59,0.44559,27,-0.8825,46,-0.0039,49,0.15416
ENSG00000054523,KIF1B,700,0.62742,684,0.66583,396,-0.3036,425,-0.1838,394,-0.4278
ENSG00000142657,PGD,48,-0.3884,35,-0.9297,48,-0.4108,43,-0.5961,87,1.02510
ENSG00000241563,CORT,6,-3.5707,22,-1.7720,92,0.53874,27,-1.4974,105,1.35199
ENSG00000160049,DFFA,114,1.15249,50,-0.1833,88,0.81169,46,-0.3489,38,-0.8304
ENSG00000142655,PEX14,12,-0.9117,10,-1.2513,20,-0.1746,15,-0.5984,32,1.12597
ENSG00000120948,TARDBP,82,-0.2250,92,-0.0629,80,-0.2935,72,-0.4613,114,0.48552
ENSG00000116649,SRM,29,-1.0549,21,-1.6427,78,0.51423,61,0.07024,70,0.49790
ENSG00000171824,EXOSC10,33,-0.1618,70,1.20545,30,-0.3304,33,-0.1631,28,-0.5991
ENSG00000198793,MTOR,21,-1.0804,44,0.00532,43,-0.0207,24,-0.9845,56,0.68848
ENSG00000116661,FBXO2,65,-1.3251,33,-2.4471,299,1.23429,134,-0.2553,174,0.28965
ENSG00000132879,FBXO44,28,-1.6747,46,-0.9933,61,-0.5370,105,0.38041,112,0.79430
ENSG00000177000,MTHFR,29,0.18026,36,0.59418,24,-0.1642,28,0.12515,21,-0.4446
ENSG00000011021,CLCN6,52,-0.7102,55,-0.6944,72,-0.2348,104,0.39210,97,0.39424
ENSG00000116685,KIAA2013,48,0.52820,18,-1.0546,38,0.17968,42,0.36676,33,-0.0602
ENSG00000116688,MFN2,84,-0.7854,119,-0.2773,110,-0.4159,131,-0.1230,176,0.61675
ENSG00000048707,VPS13D,46,-1.0161,128,0.63650,67,-0.4821,95,0.10173,90,0.00717
ENSG00000116731,PRDM2,238,-0.0264,473,1.26776,166,-0.6290,232,-0.0737,185,-0.6099
ENSG00000189337,KAZN,159,1.12021,67,-0.2986,64,-0.3851,80,0.00532,76,-0.1287
ENSG00000142634,EFHD2,41,-1.3510,59,-0.8751,21,-2.4135,129,0.44288,149,1.17541
ENSG00000116138,DNAJC16,54,0.07248,53,0.05432,29,-0.9577,71,0.55503,52,0.02164
ENSG00000197312,DDI2,44,0.07554,78,1.15691,24,-0.9365,33,-0.4048,38,-0.2311
ENSG00000116786,PLEKHM2,75,-0.5220,68,-0.7224,144,0.55067,211,1.30996,70,-0.9183
ENSG00000065526,SPEN,343,1.26221,404,1.86545,134,-0.2971,92,-0.9120,62,-1.8710
ENSG00000116809,ZBTB17,24,0.31432,15,-0.4740,21,0.13180,26,0.44300,18,-0.2265
ENSG00000037637,FBXO42,22,-0.0898,28,0.27380,25,0.07758,12,-1.1477,27,0.30933
ENSG00000055070,SZRD1,60,1.43931,18,-0.5025,50,1.33234,30,0.34902,8,-2.1268
ENSG00000159363,ATP13A2,38,-1.7429,67,-0.9553,74,-0.7957,120,-0.0031,177,1.13312
ENSG00000117118,SDHB,26,-1.2700,22,-1.5684,69,0.26826,37,-0.7616,86,1.07560
ENSG00000117115,PADI2,288,3.00721,11,-2.4984,119,1.42064,28,-1.1267,15,-2.5172
ENSG00000179051,RCC2,27,-0.0056,14,-1.0722,19,-0.6101,16,-0.8842,41,1.17035
ENSG00000117154,IGSF21,34,-0.9006,38,-0.8285,41,-0.7004,89,0.64547,75,0.51113
ENSG00000159423,ALDH4A1,21,0.05946,2,-3.2463,69,2.73907,9,-1.2608,11,-1.1460
ENSG00000127481,UBR4,67,0.36770,125,1.67872,34,-0.7408,30,-0.9182,38,-0.7227
ENSG00000127463,EMC1,22,-0.8793,31,-0.4186,30,-0.4558,40,0.02034,50,0.64059
ENSG00000053372,MRTO4,27,-0.7026,37,-0.2904,31,-0.5871,64,0.68229,47,0.17317
ENSG00000053371,AKR7A2,46,0.89778,4,-2.7568,55,1.38434,20,-0.4401,23,-0.3765
ENSG00000077549,CAPZB,105,-0.6017,125,-0.3726,142,-0.1548,113,-0.5388,200,0.69575
ENSG00000173436,MICOS10,184,-0.5759,79,-1.9353,427,0.85714,339,0.41997,267,-0.0052
ENSG00000158747,NBL1,97,-0.7689,95,-0.8468,130,-0.3490,231,0.67170,180,0.32342
ENSG00000169914,OTUD3,3,-2.6422,27,0.35696,12,-0.9382,23,0.06208,28,0.56909
ENSG00000162545,CAMK2N1,675,-1.2354,1136,-0.4838,3127,1.39333,2118,0.60541,944,-1.0236
ENSG00000158828,PINK1,135,-1.7795,213,-1.1800,350,-0.3797,547,0.39720,579,0.78300
ENSG00000244038,DDOST,30,-0.0166,8,-2.0981,29,-0.0725,23,-0.4514,42,0.98383
ENSG00000117245,KIF17,2,-3.3064,18,-0.5937,3,-2.9666,33,0.46046,39,1.27264
ENSG00000189410,SH2D5,5,-3.0906,24,-0.8969,30,-0.5329,73,1.02559,48,0.37955
ENSG00000127483,HP1BP3,476,0.75822,507,0.98429,256,-0.2588,247,-0.3164,215,-0.7257
ENSG00000075151,EIF4G3,159,-0.8325,547,1.32421,148,-1.0097,128,-1.2370,294,0.19114
ENSG00000117298,ECE1,66,1.64061,15,-0.7807,35,0.63671,19,-0.4091,18,-0.6906
ENSG00000076864,RAP1GAP,38,-2.0179,59,-1.4620,50,-1.7193,220,0.74366,212,1.08381
ENSG00000090686,USP48,148,0.75794,162,1.03816,59,-0.7320,57,-0.7907,81,-0.3165
ENSG00000070831,CDC42,186,-0.2020,135,-0.7508,139,-0.7011,186,-0.2190,286,0.85885
ENSG00000133216,EPHB2,20,-0.0352,32,0.83044,7,-1.5883,32,0.78402,16,-0.4867
ENSG00000004487,KDM1A,13,-2.4585,78,0.25689,41,-0.8138,39,-0.9054,96,1.02377
ENSG00000169641,LUZP1,58,-1.7131,337,1.18614,126,-0.5870,146,-0.3474,175,-0.0579
ENSG00000125944,HNRNPR,204,0.61868,169,0.34816,125,-0.1776,114,-0.3221,128,-0.1817
ENSG00000142676,RPL11,501,0.47944,102,-2.0531,686,1.15409,498,0.52683,276,-0.6699
ENSG00000011007,ELOA,41,0.40325,50,0.80777,32,0.00807,19,-0.8384,28,-0.3114
ENSG00000057757,PITHD1,80,-1.0092,84,-1.0197,86,-0.9833,185,0.30554,216,0.93303
ENSG00000011009,LYPLA2,4,-2.6998,16,-0.8916,29,0.06611,25,-0.1731,38,0.86328
ENSG00000189266,PNRC2,61,0.08693,53,-0.1396,89,0.77292,59,0.02536,47,-0.5072
ENSG00000188529,SRSF10,98,0.20234,109,0.41964,69,-0.3760,69,-0.3797,89,0.06398
ENSG00000001461,NIPAL3,478,1.88212,182,0.24611,63,-1.4917,110,-0.6159,143,-0.2487
ENSG00000133226,SRRM1,521,1.72018,395,1.42743,135,-0.5562,83,-1.3199,102,-1.2919
ENSG00000169504,CLIC4,265,3.97582,4,-3.3908,44,0.29340,26,-0.5585,6,-3.1116
ENSG00000117614,SYF2,156,0.55143,130,0.28654,150,0.54488,112,0.01813,77,-0.7921
ENSG00000117616,RSRP1,96,0.19702,121,0.64440,67,-0.3948,27,-1.8286,98,0.38223
ENSG00000183726,TMEM50A,82,0.13614,51,-0.6435,78,0.06654,59,-0.3994,88,0.43252
ENSG00000204178,MACO1,59,-0.1971,132,1.26829,48,-0.5678,48,-0.5469,58,-0.3314
ENSG00000117643,MAN1C1,14,-1.6267,26,-0.7959,41,-0.0872,33,-0.4084,59,0.94347
ENSG00000162430,SELENON,41,0.77071,15,-0.9115,49,1.20356,27,0.10743,17,-0.8987
ENSG00000117640,MTFR1L,50,-0.5151,35,-1.1246,70,-0.0119,78,0.19517,85,0.51052
ENSG00000117632,STMN1,694,-0.9259,949,-0.4863,583,-1.2649,1348,0.10957,1748,0.92205
ENSG00000158008,EXTL1,14,-1.6860,16,-1.5946,30,-0.6735,80,1.08206,54,0.49427
ENSG00000175087,PDIK1L,11,-0.9846,20,-0.1791,7,-1.7459,28,0.41458,29,0.71215
ENSG00000142684,ZNF593,28,-0.5521,23,-0.8967,41,0.05532,50,0.38002,45,0.28913
ENSG00000142669,SH3BGRL3,78,-0.9513,60,-1.4286,108,-0.4950,217,0.73968,177,0.55072
ENSG00000117682,DHDDS,9,-1.5320,21,-0.3516,16,-0.7249,33,0.44698,31,0.55379
ENSG00000198830,HMGN2,318,1.34846,83,-0.8765,254,1.10512,119,-0.2769,91,-0.9400
ENSG00000117713,ARID1A,162,0.88581,89,-0.0822,111,0.29753,89,-0.0928,77,-0.4583
ENSG00000142751,GPN2,20,-0.0443,27,0.50970,23,0.17674,19,-0.1174,17,-0.3615
ENSG00000090273,NUDC,153,-0.5717,175,-0.3953,237,0.11634,275,0.38349,226,0.05101
ENSG00000253368,TRNP1,1,-5.2988,35,-0.5768,39,-0.3783,50,0.02600,68,0.93296
ENSG00000090020,SLC9A1,4,-2.4841,14,-1.0160,9,-1.5904,35,0.54743,37,1.10387
ENSG00000142784,WDTC1,39,0.29314,26,-0.3380,44,0.53863,41,0.43233,25,-0.5655
ENSG00000186501,TMEM222,41,-0.0966,24,-0.9618,32,-0.5232,62,0.60444,50,0.33055
ENSG00000158195,WASF2,217,2.85871,32,-0.5724,77,0.97949,29,-0.7337,10,-2.7852
ENSG00000126705,AHDC1,39,-0.5933,73,0.41610,32,-0.9697,67,0.25656,62,0.17851
ENSG00000126709,IFI6,79,-0.0719,45,-1.0009,59,-0.5499,70,-0.2741,112,0.87692
ENSG00000009780,FAM76A,26,0.02454,33,0.41355,12,-1.2316,39,0.73468,23,-0.2403
ENSG00000117758,STX12,107,-0.1836,75,-0.7845,88,-0.5322,94,-0.4176,165,0.89286
ENSG00000117751,PPP1R8,41,0.41085,29,-0.1469,39,0.39536,26,-0.3346,29,-0.1355
ENSG00000117748,RPA2,43,-0.0864,19,-1.4053,41,-0.1589,33,-0.5120,63,0.92751
ENSG00000126698,DNAJC8,264,0.33046,329,0.78103,203,-0.0936,175,-0.3475,179,-0.4205
ENSG00000130770,ATP5IF1,120,-1.6228,189,-1.0121,410,0.28471,358,0.04134,431,0.56925
ENSG00000204138,PHACTR4,85,1.67795,55,1.06230,47,0.76565,19,-0.8180,9,-2.3296
ENSG00000180098,TRNAU1AP,17,-0.1225,18,-0.0715,13,-0.6246,17,-0.1594,22,0.46426
ENSG00000198492,YTHDF2,72,-0.6731,119,0.11346,69,-0.7930,97,-0.2478,140,0.60410
ENSG00000159023,EPB41,8,-1.8329,59,1.54254,16,-0.7929,21,-0.4116,24,-0.2651
ENSG00000116350,SRSF4,129,0.35339,157,0.75556,86,-0.3118,83,-0.3775,92,-0.2740
ENSG00000116353,MECR,2,-3.6841,19,-0.4586,16,-0.7568,27,0.14798,35,0.94338
ENSG00000162511,LAPTM5,57,1.76758,1,-4.1085,48,1.73096,16,-0.4064,10,-1.3233
ENSG00000162512,SDC3,178,0.78595,88,-0.3557,171,0.81350,100,-0.1470,83,-0.6268
ENSG00000134644,PUM1,192,0.08593,249,0.55875,142,-0.4215,188,0.05563,167,-0.2060
ENSG00000121766,ZCCHC17,179,0.57477,132,0.10092,86,-0.6199,122,-0.0425,128,0.05742
ENSG00000121769,FABP3,12,-2.4448,45,-0.6235,35,-1.0231,53,-0.3255,100,1.32463
ENSG00000162517,PEF1,53,-0.5791,34,-1.3479,51,-0.7068,96,0.37924,103,0.79948
ENSG00000084636,COL16A1,43,0.13319,37,-0.0954,40,0.04169,32,-0.3600,42,0.17329
ENSG00000121753,ADGRB2,64,-2.0205,102,-1.4173,152,-0.7919,398,0.89350,314,0.68182
ENSG00000184007,PTP4A2,843,2.26250,247,0.11921,164,-0.5783,195,-0.2875,143,-1.0318
ENSG00000121774,KHDRBS1,178,0.31181,142,-0.0581,193,0.48810,113,-0.4332,137,-0.1636
ENSG00000025800,KPNA6,143,0.44718,153,0.62580,60,-0.9538,116,0.12334,99,-0.2121
ENSG00000084652,TXLNA,62,0.95284,27,-0.3820,27,-0.4175,34,-0.0297,35,0.03899
ENSG00000084623,EIF3I,51,-1.0299,64,-0.7254,110,0.17560,88,-0.2064,124,0.58631
ENSG00000175130,MARCKSL1,727,3.07843,51,-1.6241,205,0.69987,70,-1.1213,58,-1.7485
ENSG00000160058,BSDC1,80,0.51874,59,0.01864,50,-0.2466,83,0.65392,46,-0.5188
ENSG00000160062,ZBTB8A,31,0.33471,32,0.43337,21,-0.3257,38,0.75954,18,-0.7788
ENSG00000176261,ZBTB8OS,24,-0.5040,20,-0.8864,46,0.55644,31,-0.1367,37,0.25956
ENSG00000162521,RBBP4,127,0.04870,138,0.19646,141,0.24175,119,-0.0615,111,-0.2483
ENSG00000162522,KIAA1522,13,-0.5865,10,-0.9801,26,0.50724,30,0.78806,17,-0.2649
