Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,120,1.55393,80,0.79850,43,-0.2311,42,-0.2662,44,-0.2513,8,-2.6828,21,-1.3214
ENSG00000188976,NOC2L,120,1.40133,54,0.02446,23,-1.3003,43,-0.3492,68,0.55815,27,-1.0682,10,-2.5402
ENSG00000188290,HES4,120,1.84725,16,-1.4556,30,-0.5338,41,-0.0804,38,-0.2364,19,-1.2302,43,0.01934
ENSG00000187608,ISG15,120,1.64555,13,-1.9278,11,-2.1223,43,-0.1522,48,0.02253,30,-0.7333,65,0.51212
ENSG00000188157,AGRN,120,2.15570,67,0.99285,11,-1.8264,11,-1.7660,29,-0.4653,23,-0.7604,13,-1.6234
ENSG00000078808,SDF4,120,0.94633,95,0.52750,34,-1.1117,41,-0.7968,68,-0.0213,79,0.22814,45,-0.6528
ENSG00000176022,B3GALT6,120,2.50329,8,-2.0219,26,-0.3448,19,-0.7829,28,-0.2850,8,-2.0526,22,-0.5665
ENSG00000160087,UBE2J2,120,1.59563,28,-0.8763,45,-0.1327,39,-0.3514,45,-0.1534,48,-0.0009,21,-1.2690
ENSG00000131584,ACAP3,120,0.11483,209,1.06107,110,-0.0356,69,-0.7731,96,-0.3324,139,0.34888,76,-0.6138
ENSG00000127054,INTS11,120,1.52006,36,-0.5440,31,-0.7657,17,-1.6270,47,-0.1550,63,0.37151,46,-0.1592
ENSG00000224051,CPTP,120,2.34043,33,-0.0429,15,-1.2522,18,-0.9855,30,-0.2634,15,-1.2369,15,-1.2333
ENSG00000107404,DVL1,120,1.05360,45,-0.5735,32,-1.0747,77,0.28856,51,-0.4783,48,-0.4749,106,0.82601
ENSG00000175756,AURKAIP1,120,-0.1896,76,-0.9134,52,-1.4752,104,-0.4177,201,0.97309,103,-0.4294,159,0.25908
ENSG00000221978,CCNL2,120,0.94088,119,0.92362,61,-0.1882,48,-0.5599,47,-0.7643,73,0.09210,57,-0.2893
ENSG00000242485,MRPL20,120,-0.0801,39,-1.7856,105,-0.3029,87,-0.5863,170,0.69085,129,0.03220,149,0.26320
ENSG00000235098,ANKRD65,120,2.27225,3,-3.4022,2,-4.2709,22,-0.7252,30,-0.3182,50,0.58355,29,-0.3189
ENSG00000179403,VWA1,120,1.67066,5,-3.2784,2,-4.1380,14,-1.8607,8,-2.9825,239,3.37402,16,-1.6484
ENSG00000205090,TMEM240,120,1.89186,52,0.36106,29,-0.5799,42,0.00142,37,-0.2589,11,-2.0012,11,-1.9466
ENSG00000160075,SSU72,120,-0.2564,130,-0.1343,123,-0.2227,148,0.07941,174,0.48230,110,-0.3953,116,-0.3101
ENSG00000228594,FNDC10,120,1.55619,22,-1.2486,28,-0.8881,53,0.11779,53,0.15754,16,-1.7072,46,-0.1125
