Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to12,Feature log2 fold change topic 7to12
ENSG00000228794,LINC01128,10,-1.6935,36,0.24250,15,-1.1409,14,-1.1812,73,1.42209,35,0.33603
ENSG00000188976,NOC2L,25,-0.8815,40,-0.1688,25,-0.9498,53,0.27399,26,-0.8538,57,0.81385
ENSG00000188290,HES4,14,-1.1316,14,-1.2203,40,0.45891,45,0.62104,14,-1.1467,33,0.25968
ENSG00000187608,ISG15,23,0.10239,3,-2.7147,14,-0.7233,8,-1.5360,33,0.67088,28,0.78361
ENSG00000188157,AGRN,27,0.36975,6,-1.8881,25,0.28135,15,-0.4733,11,-1.0328,24,0.41471
ENSG00000078808,SDF4,27,-1.1727,62,0.06875,64,0.11914,80,0.47947,32,-0.9452,64,0.22065
ENSG00000160087,UBE2J2,19,-0.7911,20,-0.7213,28,-0.2226,37,0.22119,44,0.48248,35,0.24874
ENSG00000131584,ACAP3,77,0.21792,93,0.52529,64,-0.0610,71,0.10847,16,-2.1153,69,0.10388
ENSG00000127054,INTS11,30,-0.3901,20,-1.0219,32,-0.3366,61,0.73173,39,0.01291,42,0.23348
ENSG00000107404,DVL1,31,-0.7554,22,-1.2482,68,0.53981,66,0.43650,42,-0.2821,51,0.04425
ENSG00000175756,AURKAIP1,52,-1.7270,96,-0.8135,147,-0.1681,247,0.67360,109,-0.6146,192,0.52692
ENSG00000221978,CCNL2,55,-0.2071,43,-0.5654,58,-0.1325,76,0.30768,23,-1.5210,73,0.48334
ENSG00000242485,MRPL20,47,-1.8934,98,-0.7976,172,0.07295,205,0.34393,151,-0.1401,190,0.42400
ENSG00000235098,ANKRD65,14,-1.2404,10,-1.6226,40,0.41010,40,0.38231,31,-0.0015,34,0.20301
ENSG00000179403,VWA1,60,1.84283,18,-0.1113,27,0.54182,47,1.39172,0,-6.6697,10,-1.5280
ENSG00000205090,TMEM240,4,-2.5010,22,-0.1040,18,-0.4494,21,-0.1348,22,-0.0698,29,0.72026
ENSG00000160075,SSU72,38,-1.9195,117,-0.2554,126,-0.1469,136,-0.0108,105,-0.4213,167,0.62374
ENSG00000228594,FNDC10,5,-2.5382,14,-1.0748,32,0.20871,36,0.39142,44,0.72004,29,0.10795
ENSG00000197530,MIB2,11,-1.5648,30,-0.0348,43,0.58233,12,-1.3580,13,-1.3072,37,0.51644
ENSG00000248333,CDK11B,158,2.13791,93,1.15951,22,-1.1616,14,-1.7458,66,0.57522,29,-1.1028
ENSG00000008128,CDK11A,148,2.75281,51,0.74764,23,-0.5381,2,-3.8021,6,-2.5226,22,-0.9279
ENSG00000215790,SLC35E2A,13,-1.2054,4,-2.6651,42,0.68045,39,0.50383,8,-1.7858,32,0.37924
ENSG00000008130,NADK,8,-1.5646,9,-1.4557,20,-0.3068,20,-0.2801,15,-0.7245,32,1.06847
ENSG00000078369,GNB1,125,-2.1485,312,-0.7859,611,0.28402,484,-0.1104,377,-0.4981,619,0.56009
ENSG00000187730,GABRD,14,-3.5526,64,-1.3214,75,-1.1683,126,-0.3067,155,0.01695,222,1.38267
ENSG00000067606,PRKCZ,62,-1.7714,192,-0.0708,199,-0.0204,109,-0.9376,140,-0.5630,252,0.74568
ENSG00000162585,FAAP20,32,-0.1927,15,-1.3359,49,0.56298,57,0.72681,8,-2.2402,37,0.07981
ENSG00000157933,SKI,45,0.83044,35,0.40984,42,0.81035,34,0.36029,23,-0.2229,17,-1.1097
ENSG00000157916,RER1,41,-0.6085,17,-1.9176,68,0.21893,69,0.21778,45,-0.4325,69,0.42246
