Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to12,Feature log2 fold change topic 7to12
ENSG00000228794,LINC01128,11,-1.5943,27,-0.2989,31,-0.0951,30,-0.1259,39,0.57068
ENSG00000188976,NOC2L,10,-2.4314,34,-0.6548,49,-0.0453,36,-0.5475,67,1.01767
ENSG00000188290,HES4,34,-0.3320,60,0.62454,77,0.95318,38,-0.1858,34,-0.5984
ENSG00000187608,ISG15,51,0.40930,39,-0.0266,18,-1.1980,36,-0.1587,42,0.22032
ENSG00000188157,AGRN,27,0.11827,25,0.01156,53,1.22671,10,-1.4909,25,0.00311
ENSG00000078808,SDF4,50,-0.0587,51,-0.0296,62,0.27408,30,-0.8938,58,0.34600
ENSG00000176022,B3GALT6,6,-1.7452,25,0.49579,12,-0.7079,12,-0.6829,22,0.52584
ENSG00000160087,UBE2J2,32,-0.0284,27,-0.2950,26,-0.3378,25,-0.3911,37,0.45721
ENSG00000131584,ACAP3,74,0.15243,53,-0.4043,185,1.69834,44,-0.7052,59,-0.3486
ENSG00000127054,INTS11,25,-0.6541,32,-0.3213,79,1.17331,28,-0.5184,40,0.08514
ENSG00000224051,CPTP,14,-0.2658,15,-0.1410,18,0.09854,8,-1.1449,20,0.61226
ENSG00000107404,DVL1,64,0.51455,84,1.12506,35,-0.4257,35,-0.4403,36,-0.6484
ENSG00000175756,AURKAIP1,146,-0.4002,218,0.25029,144,-0.4294,133,-0.5880,213,0.36385
ENSG00000221978,CCNL2,45,-0.2328,28,-1.0024,159,1.87926,38,-0.5207,49,-0.2054
ENSG00000242485,MRPL20,83,-1.0204,223,0.58037,117,-0.5001,135,-0.2942,169,0.15178
ENSG00000235098,ANKRD65,24,0.10233,31,0.57382,9,-1.2767,9,-1.4948,26,0.46128
ENSG00000179403,VWA1,57,2.33975,14,-0.1266,22,0.61045,0,-4.5078,12,-0.5884
ENSG00000205090,TMEM240,3,-2.9193,22,0.05135,42,1.11689,16,-0.4234,22,0.12698
ENSG00000160075,SSU72,70,-1.1407,168,0.21809,149,0.01282,99,-0.6636,171,0.43935
ENSG00000228594,FNDC10,33,0.56417,36,0.75384,16,-0.5505,12,-1.0649,23,-0.0946
ENSG00000197530,MIB2,28,-0.0751,32,0.14035,32,0.09360,21,-0.5977,32,0.20105
ENSG00000248333,CDK11B,59,0.14334,36,-0.6491,86,0.76011,77,0.63609,46,-0.4354
ENSG00000008128,CDK11A,47,0.54860,14,-1.3945,72,1.28168,51,0.76513,25,-0.7231
ENSG00000215790,SLC35E2A,21,-0.0550,31,0.64762,43,1.13543,14,-0.6727,17,-0.5668
ENSG00000008130,NADK,25,0.22963,21,-0.0524,35,0.77190,17,-0.4215,20,-0.1287
ENSG00000078369,GNB1,429,-0.1907,593,0.35498,359,-0.4669,441,-0.1640,494,0.05397
ENSG00000187730,GABRD,29,-2.4212,124,-0.3127,101,-0.6042,117,-0.4059,196,0.93799
ENSG00000067606,PRKCZ,138,-0.5259,226,0.27664,207,0.10843,157,-0.3485,201,0.11882
ENSG00000162585,FAAP20,65,1.06431,54,0.87492,18,-0.9412,22,-0.6839,28,-0.4894
ENSG00000157933,SKI,36,0.32926,41,0.60670,40,0.50715,29,-0.0045,22,-0.6855
ENSG00000157916,RER1,41,-0.3331,48,-0.0792,61,0.28935,19,-1.5790,62,0.65008
ENSG00000157911,PEX10,34,0.73994,27,0.44395,22,0.05660,5,-2.2956,22,0.16630
ENSG00000149527,PLCH2,13,-0.2385,25,0.90143,13,-0.1510,9,-0.8244,14,-0.1193
ENSG00000157881,PANK4,8,-0.6994,10,-0.5111,20,0.58420,10,-0.4490,16,0.44314
ENSG00000157870,PRXL2B,29,-0.4972,44,0.17912,35,-0.2131,27,-0.6316,46,0.39375
ENSG00000177133,PRDM16-DT,24,0.83713,41,2.18518,7,-1.0743,9,-0.7553,6,-1.6896
ENSG00000158109,TPRG1L,99,-0.8814,158,-0.1828,170,-0.0553,133,-0.4713,210,0.56486
ENSG00000130764,LRRC47,41,-0.9236,50,-0.6472,113,0.67591,60,-0.3521,86,0.45824
ENSG00000116198,CEP104,44,0.82045,22,-0.3063,29,0.14541,33,0.37232,22,-0.4335
ENSG00000198912,C1orf174,9,-0.6106,12,-0.2275,16,0.21577,11,-0.3539,16,0.38960
ENSG00000196581,AJAP1,35,-0.5383,30,-0.8340,56,0.18044,69,0.57550,52,0.09935
ENSG00000069424,KCNAB2,131,-0.4878,226,0.41011,128,-0.5187,109,-0.8296,204,0.39687
ENSG00000116254,CHD5,151,-0.7139,246,0.04035,221,-0.1282,442,1.14319,189,-0.6228
ENSG00000116251,RPL22,1044,1.15674,690,0.51924,373,-0.5042,447,-0.2435,417,-0.5613
ENSG00000116237,ICMT,15,-1.4149,33,-0.2873,41,0.05100,30,-0.4850,49,0.67645
ENSG00000097021,ACOT7,50,-2.4576,152,-0.8711,170,-0.6423,161,-0.7810,374,1.40478
ENSG00000171680,PLEKHG5,2,-3.3380,24,0.26489,40,1.02425,14,-0.6491,22,0.16281
ENSG00000162408,NOL9,24,0.18669,16,-0.4716,9,-1.2834,28,0.44134,23,0.17686
ENSG00000162413,KLHL21,30,0.26201,20,-0.4092,39,0.69682,17,-0.6622,27,0.17437
ENSG00000041988,THAP3,11,-0.5844,19,0.23993,15,-0.1407,11,-0.6155,19,0.34868
ENSG00000007923,DNAJC11,26,-0.2373,27,-0.1908,50,0.79845,39,0.45605,26,-0.4213
ENSG00000171735,CAMTA1,241,-0.7443,309,-0.3964,366,-0.1031,726,1.16686,335,-0.4142
ENSG00000049245,VAMP3,62,2.08503,18,0.01618,15,-0.2446,8,-1.2888,15,-0.5460
