Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6to10,Feature log2 fold change topic 6to10
ENSG00000237491,LINC01409,5,-1.0742,6,-0.8909,14,0.64644,10,-0.0470
ENSG00000228794,LINC01128,35,-0.3631,16,-1.5289,54,0.47009,45,0.06289
ENSG00000188976,NOC2L,60,0.12678,28,-1.0328,48,-0.2729,64,0.45659
ENSG00000188290,HES4,47,0.31408,39,-0.0041,24,-0.9091,46,0.54347
ENSG00000187608,ISG15,106,-0.4307,78,-0.8989,69,-1.2861,201,1.34932
ENSG00000188157,AGRN,26,0.34889,16,-0.4351,23,0.18142,20,-0.1557
ENSG00000078808,SDF4,66,0.08793,67,0.11322,54,-0.2932,66,0.16156
ENSG00000176022,B3GALT6,25,0.26022,13,-0.6942,19,-0.2328,23,0.29565
ENSG00000160087,UBE2J2,42,0.10093,35,-0.1774,32,-0.4206,44,0.35691
ENSG00000162572,SCNN1D,14,0.42790,12,0.17421,8,-0.5184,11,0.16331
ENSG00000131584,ACAP3,95,0.42018,69,-0.0983,69,-0.1029,72,-0.0502
ENSG00000127054,INTS11,38,-0.1890,40,-0.0836,38,-0.2349,47,0.28566
ENSG00000224051,CPTP,32,0.88714,15,-0.3358,10,-1.0512,21,0.44936
ENSG00000107404,DVL1,57,0.37743,80,0.93448,35,-0.4791,42,-0.2106
ENSG00000175756,AURKAIP1,113,-0.4360,160,0.11496,88,-0.9942,191,0.82787
ENSG00000221978,CCNL2,46,-0.5828,59,-0.1779,80,0.40922,64,-0.1223
ENSG00000242485,MRPL20,133,-0.0345,158,0.23868,96,-0.6614,156,0.42446
ENSG00000235098,ANKRD65,9,-0.6878,22,0.70086,13,-0.2327,15,0.08803
ENSG00000179403,VWA1,24,0.66077,30,1.02461,23,0.82616,7,-1.7072
ENSG00000160072,ATAD3B,18,0.77513,8,-0.4472,13,0.36198,9,-0.5268
ENSG00000197785,ATAD3A,11,-0.1733,11,-0.1636,12,-0.0823,13,0.18441
ENSG00000205090,TMEM240,24,-0.2368,21,-0.4371,25,-0.2601,32,0.43287
ENSG00000160075,SSU72,164,0.08550,144,-0.1219,129,-0.3624,172,0.30042
ENSG00000228594,FNDC10,53,1.00996,25,-0.1829,20,-0.6341,29,0.06701
ENSG00000272106,AL691432.2,12,-0.6727,16,-0.2218,18,0.01945,20,0.26046
ENSG00000197530,MIB2,25,-0.2331,33,0.17206,25,-0.3556,33,0.29811
ENSG00000248333,CDK11B,30,-0.5985,23,-1.0134,64,0.82501,40,-0.3017
ENSG00000189339,SLC35E2B,12,-0.6479,20,0.12488,24,0.58176,16,-0.3775
ENSG00000008128,CDK11A,11,-0.6815,13,-0.4432,28,1.05903,14,-0.6578
ENSG00000215790,SLC35E2A,22,0.43514,19,0.17896,17,-0.0140,16,-0.2330
