"pathway","sender","receiver","diff_value"
"NGL","L1 (spd07) ","L1 (spd07) ",0
"NGL","L1 (spd07) ","L2/3 (spd06) ",0
"NGL","L1 (spd07) ","L3/4 (spd02) ",0
"NGL","L1 (spd07) ","L5 (spd05) ",0
"NGL","L1 (spd07) ","L6 (spd03) ",0
"NGL","L1 (spd07) ","L6/WM (spd01) ",0
"NGL","L1 (spd07) ","WM (spd04) ",0
"NGL","L2/3 (spd06) ","L1 (spd07) ",0
"NGL","L2/3 (spd06) ","L2/3 (spd06) ",0.0010089627525122452
"NGL","L2/3 (spd06) ","L3/4 (spd02) ",7.845012634144197e-4
"NGL","L2/3 (spd06) ","L5 (spd05) ",7.601070530160203e-4
"NGL","L2/3 (spd06) ","L6 (spd03) ",3.5729075120447234e-4
"NGL","L2/3 (spd06) ","L6/WM (spd01) ",0
"NGL","L2/3 (spd06) ","WM (spd04) ",0
"NGL","L3/4 (spd02) ","L1 (spd07) ",0
"NGL","L3/4 (spd02) ","L2/3 (spd06) ",0
"NGL","L3/4 (spd02) ","L3/4 (spd02) ",0
"NGL","L3/4 (spd02) ","L5 (spd05) ",0
"NGL","L3/4 (spd02) ","L6 (spd03) ",0
"NGL","L3/4 (spd02) ","L6/WM (spd01) ",0
"NGL","L3/4 (spd02) ","WM (spd04) ",0
"NGL","L5 (spd05) ","L1 (spd07) ",0
"NGL","L5 (spd05) ","L2/3 (spd06) ",1.55044820091112e-4
"NGL","L5 (spd05) ","L3/4 (spd02) ",1.6383315224585736e-4
"NGL","L5 (spd05) ","L5 (spd05) ",1.0782888972174867e-4
"NGL","L5 (spd05) ","L6 (spd03) ",-3.1539584112445394e-5
"NGL","L5 (spd05) ","L6/WM (spd01) ",0
"NGL","L5 (spd05) ","WM (spd04) ",-5.597151590427687e-4
"NGL","L6 (spd03) ","L1 (spd07) ",0
"NGL","L6 (spd03) ","L2/3 (spd06) ",6.289536112570279e-5
"NGL","L6 (spd03) ","L3/4 (spd02) ",9.794431222035621e-5
"NGL","L6 (spd03) ","L5 (spd05) ",3.719944081122142e-5
"NGL","L6 (spd03) ","L6 (spd03) ",-7.571822257002573e-5
"NGL","L6 (spd03) ","L6/WM (spd01) ",0
"NGL","L6 (spd03) ","WM (spd04) ",-6.343927462669547e-4
"NGL","L6/WM (spd01) ","L1 (spd07) ",0
"NGL","L6/WM (spd01) ","L2/3 (spd06) ",0
"NGL","L6/WM (spd01) ","L3/4 (spd02) ",0
"NGL","L6/WM (spd01) ","L5 (spd05) ",0
"NGL","L6/WM (spd01) ","L6 (spd03) ",0
"NGL","L6/WM (spd01) ","L6/WM (spd01) ",0
"NGL","L6/WM (spd01) ","WM (spd04) ",0
"NGL","WM (spd04) ","L1 (spd07) ",0
"NGL","WM (spd04) ","L2/3 (spd06) ",0
"NGL","WM (spd04) ","L3/4 (spd02) ",0
"NGL","WM (spd04) ","L5 (spd05) ",0
"NGL","WM (spd04) ","L6 (spd03) ",0
"NGL","WM (spd04) ","L6/WM (spd01) ",0
"NGL","WM (spd04) ","WM (spd04) ",0
"PTPR","L1 (spd07) ","L1 (spd07) ",0
"PTPR","L1 (spd07) ","L2/3 (spd06) ",0
"PTPR","L1 (spd07) ","L3/4 (spd02) ",0
"PTPR","L1 (spd07) ","L5 (spd05) ",0
"PTPR","L1 (spd07) ","L6 (spd03) ",0
"PTPR","L1 (spd07) ","L6/WM (spd01) ",0
"PTPR","L1 (spd07) ","WM (spd04) ",0
"PTPR","L2/3 (spd06) ","L1 (spd07) ",0
"PTPR","L2/3 (spd06) ","L2/3 (spd06) ",6.675558193245434e-4
"PTPR","L2/3 (spd06) ","L3/4 (spd02) ",9.742212392465006e-4
"PTPR","L2/3 (spd06) ","L5 (spd05) ",9.860097784424133e-4
"PTPR","L2/3 (spd06) ","L6 (spd03) ",8.944486784751422e-4
"PTPR","L2/3 (spd06) ","L6/WM (spd01) ",0.0012304721510046017
"PTPR","L2/3 (spd06) ","WM (spd04) ",0.003450181507162149
"PTPR","L3/4 (spd02) ","L1 (spd07) ",0
"PTPR","L3/4 (spd02) ","L2/3 (spd06) ",0
"PTPR","L3/4 (spd02) ","L3/4 (spd02) ",0
