Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to10,Feature log2 fold change topic 6to10
ENSG00000228794,LINC01128,29,0.04949,8,-1.9365,33,0.26039,26,-0.1351,7,-2.1431,36,0.79754
ENSG00000188976,NOC2L,4,-2.9411,7,-2.0777,70,1.44280,48,0.79056,36,0.28727,27,-0.3040
ENSG00000188290,HES4,259,2.47847,31,-1.1897,31,-1.2136,38,-0.8849,90,0.47561,45,-0.9902
ENSG00000187608,ISG15,46,0.60642,40,0.36185,9,-1.8281,12,-1.4250,37,0.27604,34,0.24121
ENSG00000078808,SDF4,12,-1.8309,37,-0.1819,64,0.71015,23,-0.8902,53,0.37377,45,0.25622
ENSG00000160087,UBE2J2,4,-2.6938,1,-4.3225,34,0.50001,32,0.38327,28,0.17457,30,0.60777
ENSG00000131584,ACAP3,4,-3.7389,12,-2.1903,63,0.31226,134,1.64122,41,-0.3450,53,0.05150
ENSG00000127054,INTS11,163,2.55303,16,-1.4005,43,0.09068,26,-0.7171,24,-0.8100,27,-0.9814
ENSG00000107404,DVL1,4,-3.5602,25,-0.9397,30,-0.6703,26,-0.8777,33,-0.4887,68,1.51099
ENSG00000175756,AURKAIP1,37,-1.8213,61,-1.0661,167,0.52057,77,-0.7028,102,-0.2697,154,0.78867
ENSG00000221978,CCNL2,18,-0.9944,17,-1.0342,62,1.01336,51,0.67768,57,0.86768,26,-0.6269
ENSG00000242485,MRPL20,204,0.79952,64,-1.0382,130,0.05246,60,-1.1374,137,0.13174,133,0.15421
ENSG00000235098,ANKRD65,4,-2.7619,14,-0.9863,10,-1.4989,16,-0.7825,68,1.62619,30,0.44723
ENSG00000179403,VWA1,4,-3.3248,37,-0.0647,9,-2.0966,11,-1.9103,137,2.28101,38,-0.0674
ENSG00000160075,SSU72,171,0.40133,64,-1.1236,189,0.57375,70,-0.9866,127,-0.0694,142,0.18931
ENSG00000228594,FNDC10,4,-2.0920,0,-7.5939,13,-0.3399,19,0.20767,11,-0.6353,24,1.31177
ENSG00000197530,MIB2,4,-2.5420,13,-0.8488,30,0.45649,31,0.50763,23,0.05818,25,0.29399
ENSG00000248333,CDK11B,9,-2.3934,96,1.34001,41,-0.1155,67,0.69724,5,-3.0150,44,0.00303
ENSG00000189339,SLC35E2B,4,-2.4352,18,-0.2694,16,-0.4165,29,0.54593,4,-2.3481,28,0.94209
ENSG00000008128,CDK11A,4,-2.6518,63,1.64688,19,-0.4172,54,1.35973,7,-1.7828,19,-0.6179
ENSG00000008130,NADK,47,1.11907,10,-1.3656,31,0.40100,11,-1.1642,30,0.35501,22,-0.2044
ENSG00000078369,GNB1,223,-1.0995,162,-1.5806,469,0.05569,351,-0.4049,344,-0.4342,596,0.94381
ENSG00000187730,GABRD,4,-4.5332,0,-6.9861,176,1.12678,166,1.02286,11,-3.1544,108,0.60047
ENSG00000067606,PRKCZ,89,-0.7440,57,-1.4146,230,0.78140,170,0.28281,62,-1.2871,165,0.43490
ENSG00000162585,FAAP20,38,0.21449,30,-0.1512,20,-0.7739,7,-2.2865,56,0.85372,37,0.25659
ENSG00000157933,SKI,4,-3.0058,30,-0.0778,18,-0.8570,57,0.99699,41,0.46603,32,0.10822
ENSG00000157916,RER1,71,0.78279,17,-1.4482,47,0.09128,19,-1.2991,95,1.28161,39,-0.3556
ENSG00000157911,PEX10,4,-2.3095,34,0.95306,10,-1.0232,14,-0.4820,23,0.27103,21,0.33215
ENSG00000157870,PRXL2B,24,-0.4000,1,-4.2582,43,0.55270,29,-0.1052,17,-0.8590,38,0.73745
ENSG00000177133,PRDM16-DT,4,-2.7789,14,-0.9362,5,-2.4499,15,-0.8988,49,1.00222,36,1.02804
ENSG00000158109,TPRG1L,5,-4.4493,27,-1.9863,213,1.29804,87,-0.1949,97,-0.0316,112,0.38633
ENSG00000130764,LRRC47,75,0.75210,7,-2.8017,104,1.33841,52,0.15951,39,-0.3151,39,-0.4956
ENSG00000116198,CEP104,4,-2.9009,50,0.88535,16,-0.9182,61,1.26068,27,-0.0822,26,-0.2645
ENSG00000196581,AJAP1,26,-0.3052,10,-1.7239,47,0.65315,58,0.98863,4,-2.8260,34,0.23211
ENSG00000069424,KCNAB2,16,-3.1909,21,-2.7695,187,0.55252,117,-0.2076,113,-0.2701,176,0.95490
ENSG00000116254,CHD5,4,-5.8687,40,-2.6248,178,-0.3906,577,1.60839,65,-1.9035,283,0.70856
ENSG00000116251,RPL22,204,-1.6261,1226,1.24235,465,-0.3743,355,-0.7896,738,0.36690,580,-0.0436
ENSG00000116237,ICMT,22,-0.0365,3,-2.8270,28,0.30836,12,-0.9359,24,0.06187,28,0.62762
ENSG00000097021,ACOT7,108,0.26593,1,-5.7836,304,2.14404,110,0.28761,18,-2.4058,75,-0.5202
ENSG00000162413,KLHL21,83,1.92529,12,-1.2319,48,0.92471,23,-0.2535,19,-0.5371,18,-1.0380
ENSG00000007923,DNAJC11,4,-2.1579,3,-2.6497,31,0.98517,30,0.90698,6,-1.5965,20,0.40753
ENSG00000171735,CAMTA1,451,0.29277,133,-1.5934,347,-0.1318,696,1.02764,111,-1.8660,406,0.22173
ENSG00000049245,VAMP3,54,0.70116,91,1.63718,13,-1.5241,21,-0.7594,60,0.89454,22,-1.0863
ENSG00000049246,PER3,306,3.23728,42,-0.5553,31,-0.9820,28,-1.1743,34,-0.8672,31,-1.5056
ENSG00000116288,PARK7,115,-1.2895,197,-0.4655,341,0.41300,147,-0.9140,379,0.58600,294,0.31605
ENSG00000116285,ERRFI1,4,-2.4881,5,-2.2130,29,0.48148,31,0.54895,56,1.60672,19,-0.4053
ENSG00000142599,RERE,45,-1.3543,84,-0.4113,112,0.02992,165,0.67092,97,-0.1899,119,0.23306
ENSG00000074800,ENO1,335,-0.8067,262,-1.1797,597,0.09698,275,-1.1110,1391,1.56497,552,-0.0521
ENSG00000142583,SLC2A5,4,-3.3644,39,-0.0248,17,-1.2930,32,-0.3335,135,2.18431,34,-0.4012
ENSG00000171612,SLC25A33,4,-2.2657,14,-0.3993,16,-0.1995,10,-0.8750,40,1.29186,20,0.23429
ENSG00000171603,CLSTN1,636,0.73174,99,-2.1504,985,1.51758,396,-0.0473,255,-0.7373,342,-0.4721
ENSG00000178585,CTNNBIP1,48,1.05359,7,-1.8177,24,-0.0930,12,-1.1333,19,-0.4643,29,0.37694
ENSG00000162441,LZIC,4,-3.5678,73,0.75010,28,-0.7674,32,-0.5679,45,-0.0411,56,0.61389
ENSG00000130939,UBE4B,4,-2.8440,16,-0.8537,29,0.08630,36,0.40068,33,0.28459,32,0.43138
ENSG00000054523,KIF1B,85,-1.8940,260,-0.1904,351,0.29082,501,0.88886,300,0.03540,288,-0.0593
ENSG00000142657,PGD,90,1.19006,25,-0.8728,73,0.82938,31,-0.5324,44,-0.0259,36,-0.5493
ENSG00000241563,CORT,18963,9.41213,5,-8.5914,20,-6.6990,13,-7.2951,24,-6.4719,37,-6.6700
ENSG00000160049,DFFA,4,-3.3353,48,0.34367,17,-1.2265,59,0.66211,32,-0.3280,46,0.52128
