Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to7,Feature log2 fold change topic 2to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,24,-0.6909,42,0.47573,38,0.02938,29,-0.4159
ENSG00000188976,NOC2L,29,-0.6277,53,0.95243,30,-0.5729,25,-0.8793
ENSG00000188290,HES4,29,-0.7400,45,-0.1470,66,0.55832,52,0.18828
ENSG00000187608,ISG15,29,-0.0690,29,-0.0495,23,-0.3887,35,0.29136
ENSG00000188157,AGRN,6,-1.1662,16,0.59803,11,-0.4047,12,-0.1763
ENSG00000078808,SDF4,60,-0.1727,71,0.20164,64,-0.0813,61,-0.1661
ENSG00000176022,B3GALT6,13,-0.7780,25,0.48700,14,-0.6780,22,-0.0312
ENSG00000160087,UBE2J2,21,-0.9322,42,0.21928,22,-0.9191,50,0.44272
ENSG00000131584,ACAP3,56,-0.3591,72,0.07904,105,0.65543,56,-0.4110
ENSG00000127054,INTS11,30,-0.5834,49,0.49489,36,-0.2951,37,-0.2970
ENSG00000224051,CPTP,26,0.28609,22,0.08007,22,0.00383,18,-0.3163
ENSG00000107404,DVL1,62,0.23420,51,-0.1694,51,-0.0627,58,0.14657
ENSG00000175756,AURKAIP1,98,-0.5538,144,0.11661,109,-0.3779,161,0.27007
ENSG00000221978,CCNL2,54,-0.4127,75,0.24604,80,0.20221,59,-0.2929
ENSG00000242485,MRPL20,169,0.07332,156,-0.1099,142,-0.1990,182,0.21991
ENSG00000235098,ANKRD65,15,0.01039,14,-0.2017,19,0.37109,16,0.06835
ENSG00000179403,VWA1,91,2.31380,8,-2.6176,32,0.40157,40,0.91097
ENSG00000205090,TMEM240,20,-0.5851,34,0.58894,15,-1.0379,28,-0.1220
ENSG00000160075,SSU72,130,-0.2700,162,0.17593,130,-0.2685,156,0.02067
ENSG00000228594,FNDC10,8,-1.5650,27,0.41889,25,0.03503,23,-0.0516
ENSG00000272106,AL691432.2,18,-0.4607,24,0.04718,24,-0.0045,26,0.15511
ENSG00000197530,MIB2,14,-1.1399,36,0.94532,21,-0.5310,20,-0.6458
ENSG00000248333,CDK11B,51,1.17525,20,-0.7595,33,0.42943,25,-0.0048
ENSG00000189339,SLC35E2B,17,-0.5413,25,0.14599,29,0.27601,22,-0.1253
