Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000237491,LINC01409,3,-1.6964,11,0.20095,11,0.26409,32,1.98630,13,0.43689,7,-0.4565,11,0.13939,6,-0.6709,4,-1.2112,4,-1.3578,10,0.00482
ENSG00000228794,LINC01128,40,0.18144,50,0.53416,27,-0.4476,46,0.40296,39,0.14481,40,0.20325,38,0.11313,43,0.33121,11,-1.7638,26,-0.4994,20,-0.8829
ENSG00000188976,NOC2L,75,0.85562,57,0.42625,97,1.29440,45,0.04269,32,-0.4744,33,-0.4431,47,0.10933,35,-0.3580,20,-1.1413,30,-0.5712,28,-0.7017
ENSG00000188290,HES4,11,-1.1849,31,0.41757,33,0.53936,27,0.19243,13,-0.9312,17,-0.5305,11,-1.1566,16,-0.6720,35,0.60802,49,1.15627,33,0.53963
ENSG00000187608,ISG15,117,1.97892,22,-0.7669,71,1.07801,15,-1.2717,22,-0.7573,10,-1.9973,14,-1.3750,33,-0.1428,39,0.12808,34,-0.0831,49,0.47209
ENSG00000188157,AGRN,15,-0.4992,38,0.93465,27,0.38442,34,0.76624,25,0.22930,17,-0.3215,14,-0.5733,8,-1.4354,29,0.46508,24,0.18183,17,-0.3068
ENSG00000078808,SDF4,47,0.13913,60,0.52063,61,0.52644,58,0.45380,35,-0.3395,39,-0.1678,22,-1.0198,31,-0.5271,53,0.29921,56,0.40784,31,-0.5347
ENSG00000176022,B3GALT6,21,0.22363,28,0.66706,18,0.00089,18,0.01910,20,0.14047,17,-0.1233,23,0.38315,11,-0.7953,18,-0.0083,15,-0.2461,18,0.01049
ENSG00000160087,UBE2J2,21,-0.3261,30,0.20176,43,0.78060,30,0.19141,15,-0.8182,30,0.23994,37,0.52872,14,-1.0375,19,-0.5281,30,0.21711,29,0.14886
ENSG00000131584,ACAP3,21,-1.4011,98,0.98119,57,0.12131,123,1.37549,63,0.27784,37,-0.6025,31,-0.8112,20,-1.5716,52,-0.0374,73,0.51596,58,0.13812
ENSG00000127054,INTS11,35,0.25176,53,0.94886,62,1.20780,39,0.43330,15,-1.0101,20,-0.6564,19,-0.6511,13,-1.3127,26,-0.1752,40,0.49515,28,-0.0812
ENSG00000224051,CPTP,14,-0.1028,24,0.73902,34,1.28641,14,-0.1103,15,-0.0556,10,-0.6296,12,-0.3685,11,-0.5090,19,0.38615,12,-0.3152,10,-0.6330
ENSG00000107404,DVL1,17,-1.1345,57,0.68601,31,-0.2872,31,-0.2765,44,0.28011,29,-0.3732,18,-1.0759,22,-0.8007,67,0.95798,70,1.01600,41,0.17238
ENSG00000175756,AURKAIP1,205,0.48269,191,0.36850,209,0.50768,124,-0.3019,115,-0.4285,115,-0.4570,91,-0.7703,140,-0.1349,134,-0.1893,235,0.69943,154,0.02405
ENSG00000221978,CCNL2,50,0.09211,68,0.57973,47,-0.0037,93,1.10906,63,0.45458,37,-0.3760,33,-0.5420,27,-0.8736,64,0.48796,36,-0.3930,27,-0.8410
ENSG00000242485,MRPL20,152,0.24765,179,0.51329,202,0.70211,95,-0.4715,90,-0.5682,117,-0.1704,97,-0.4531,106,-0.3307,109,-0.2624,190,0.60926,125,-0.0632
ENSG00000235098,ANKRD65,9,-1.4035,42,0.83840,28,0.19661,15,-0.7364,33,0.45871,16,-0.7072,19,-0.4090,20,-0.3410,36,0.59676,41,0.79337,25,0.04782
ENSG00000179403,VWA1,9,-0.8384,3,-2.4058,12,-0.4566,5,-1.7151,40,1.53092,28,1.04282,11,-0.4761,5,-1.7775,32,1.11725,12,-0.4452,15,-0.0657
ENSG00000197785,ATAD3A,11,0.07222,15,0.48494,17,0.72069,14,0.40843,6,-0.8805,5,-1.2100,7,-0.5247,6,-0.7967,14,0.39456,19,0.86342,14,0.39270
ENSG00000205090,TMEM240,14,-0.4018,37,1.08562,20,0.12614,18,-0.0986,19,-0.0189,15,-0.3247,18,-0.0499,18,-0.0364,4,-2.0897,31,0.75870,16,-0.2807
ENSG00000160075,SSU72,161,0.38970,148,0.26158,190,0.66066,107,-0.2486,82,-0.6620,124,-0.0280,72,-0.8485,113,-0.1852,114,-0.1490,179,0.55993,108,-0.2371
ENSG00000228594,FNDC10,51,0.91905,20,-0.5175,55,1.05120,23,-0.2970,15,-0.9283,22,-0.4135,16,-0.8770,23,-0.3609,24,-0.2611,50,0.89665,26,-0.1626
ENSG00000272106,AL691432.2,4,-1.7789,29,1.18109,19,0.49454,8,-0.7973,6,-1.1959,18,0.46849,5,-1.4484,12,-0.2526,17,0.30286,15,0.08200,17,0.31836
ENSG00000197530,MIB2,24,-0.1594,30,0.17382,43,0.76881,33,0.36478,20,-0.3878,23,-0.2130,5,-2.2639,11,-1.3632,55,1.16657,31,0.25204,33,0.36637
ENSG00000248333,CDK11B,38,-0.5439,44,-0.2972,23,-1.2486,54,0.00255,57,0.09965,54,0.00210,110,1.14744,70,0.45879,40,-0.4662,42,-0.3881,44,-0.3104
ENSG00000189339,SLC35E2B,12,0.39614,10,0.13708,12,0.39238,15,0.75212,10,0.17411,5,-1.0123,3,-1.4536,6,-0.6540,19,1.10156,7,-0.3240,10,0.05564
ENSG00000008128,CDK11A,18,0.12697,14,-0.2195,16,-0.0385,16,-0.0690,20,0.27884,11,-0.6774,37,1.29114,14,-0.3211,20,0.27396,11,-0.6281,15,-0.1887
