Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,20,-0.7572,2,-3.9378,30,-0.0946,43,0.45820,63,1.11216,30,-0.1179,51,0.75606,27,-0.3337
ENSG00000188976,NOC2L,32,-0.8543,9,-2.7368,33,-0.7834,34,-0.7335,96,0.92464,57,0.07116,61,0.16425,85,0.84241
ENSG00000188290,HES4,9,-2.2934,10,-2.0914,104,1.57983,12,-1.9150,63,0.68468,52,0.42378,16,-1.4347,48,0.27564
ENSG00000187608,ISG15,1,-4.4240,44,0.46181,54,0.79402,2,-4.1467,11,-1.6286,66,1.40042,14,-1.3068,36,0.16663
ENSG00000188157,AGRN,24,0.04242,18,-0.4266,30,0.37021,13,-0.8566,42,0.93928,22,-0.1129,4,-2.4559,30,0.44814
ENSG00000078808,SDF4,77,0.47311,47,-0.3284,55,-0.0746,30,-1.0047,67,0.24012,49,-0.2778,71,0.32835,66,0.23863
ENSG00000176022,B3GALT6,17,-0.3050,3,-2.8806,27,0.38509,14,-0.6911,27,0.35175,25,0.29763,13,-0.7906,31,0.72172
ENSG00000160087,UBE2J2,19,-0.8294,11,-1.6816,29,-0.2253,8,-2.1804,65,1.10520,41,0.40081,17,-1.0336,51,0.80772
ENSG00000131584,ACAP3,80,0.00896,50,-0.7031,141,0.96218,55,-0.5636,168,1.27331,61,-0.4691,21,-2.0080,78,-0.0352
ENSG00000127054,INTS11,29,-0.5769,29,-0.6099,41,-0.0429,30,-0.5296,89,1.24355,48,0.22633,25,-0.8411,43,0.00921
ENSG00000107404,DVL1,36,-0.6540,20,-1.5136,142,1.63866,37,-0.6048,43,-0.3698,69,0.41015,29,-0.9909,52,-0.0921
ENSG00000175756,AURKAIP1,123,-0.6797,110,-0.8508,184,-0.0436,122,-0.6911,147,-0.4013,257,0.57737,131,-0.5804,281,0.75666
ENSG00000221978,CCNL2,56,0.07346,44,-0.3268,47,-0.2272,48,-0.1834,98,1.00103,33,-0.8382,30,-0.9211,75,0.62385
ENSG00000242485,MRPL20,106,-0.6565,69,-1.2968,157,-0.0371,93,-0.8502,111,-0.5775,246,0.82220,177,0.15234,200,0.41030
ENSG00000235098,ANKRD65,46,0.51148,15,-1.2136,59,0.92905,12,-1.5704,28,-0.3134,39,0.28563,8,-2.1118,45,0.53693
ENSG00000179403,VWA1,196,3.75766,33,0.03546,26,-0.3135,1,-4.5667,20,-0.7152,13,-1.4336,0,-7.3649,10,-1.9242
ENSG00000205090,TMEM240,1,-4.3281,6,-2.1577,32,0.41646,16,-0.6506,55,1.35787,24,-0.0156,9,-1.5153,40,0.89669
ENSG00000160075,SSU72,61,-1.2280,77,-0.8879,164,0.30617,88,-0.6783,130,-0.0696,173,0.44766,110,-0.3303,191,0.64575
ENSG00000228594,FNDC10,22,-0.4678,2,-4.0389,34,0.24535,7,-2.1518,30,0.00455,50,0.99905,10,-1.5579,46,0.83427
ENSG00000197530,MIB2,20,-0.9816,35,-0.1283,48,0.38601,14,-1.4518,49,0.43010,42,0.17854,20,-0.9355,53,0.65871
ENSG00000248333,CDK11B,108,0.41346,163,1.11845,83,-0.0052,128,0.70945,73,-0.2008,55,-0.6987,66,-0.3711,51,-0.8395
