Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,47,0.27235,55,0.52891,51,0.41137,41,0.06115,40,0.02050,34,-0.2482,49,0.33341,33,-0.2935,30,-0.4348,21,-0.9762
ENSG00000188976,NOC2L,48,-0.0674,50,-0.0275,79,0.71970,75,0.64441,34,-0.6153,60,0.30521,60,0.28342,31,-0.7485,26,-1.0054,32,-0.6963
ENSG00000188290,HES4,23,-0.5893,12,-1.5409,43,0.39125,22,-0.6804,25,-0.4784,28,-0.3041,58,0.86375,39,0.22311,63,1.03181,30,-0.1619
ENSG00000187608,ISG15,8,-2.1377,6,-2.6115,33,-0.0492,3,-3.5878,54,0.75560,41,0.34012,84,1.53892,13,-1.3926,27,-0.3393,62,0.99537
ENSG00000188157,AGRN,10,-1.2659,21,-0.1666,33,0.52125,39,0.83309,10,-1.3161,29,0.35102,30,0.36487,19,-0.3509,26,0.15774,14,-0.7822
ENSG00000078808,SDF4,29,-1.1141,39,-0.6504,59,-0.0054,54,-0.1464,66,0.15980,48,-0.3585,61,0.04586,55,-0.1130,109,1.00167,84,0.56979
ENSG00000176022,B3GALT6,33,0.41758,11,-1.2684,34,0.45153,35,0.47681,30,0.27452,27,0.09339,15,-0.8350,38,0.63435,13,-1.0713,19,-0.4680
ENSG00000160087,UBE2J2,33,-0.2401,36,-0.0987,48,0.36532,52,0.50946,48,0.35199,24,-0.7851,34,-0.1954,54,0.54841,46,0.29748,22,-0.8361
ENSG00000131584,ACAP3,45,-0.8053,113,0.61915,121,0.73997,114,0.64627,90,0.25236,39,-1.1197,58,-0.4345,87,0.19885,78,0.01729,60,-0.3809
ENSG00000127054,INTS11,28,-0.7634,45,-0.0091,53,0.23487,57,0.34745,45,-0.0160,44,-0.0772,26,-0.8317,42,-0.1420,85,1.01432,34,-0.4662
ENSG00000224051,CPTP,27,0.37851,11,-0.9797,15,-0.5413,24,0.21358,42,1.10466,18,-0.3057,26,0.31321,14,-0.6265,13,-0.7296,26,0.31870
