Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4to10,Feature log2 fold change topic 4to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12to13,Feature log2 fold change topic 12to13
ENSG00000237491,LINC01409,8,-0.2321,12,0.69074,4,-1.2112,7,-0.5768
ENSG00000228794,LINC01128,39,0.16435,41,0.51789,11,-1.7638,23,-0.7282
ENSG00000188976,NOC2L,76,1.16069,37,-0.4519,20,-1.1413,29,-0.6811
ENSG00000188290,HES4,25,0.10189,16,-0.9343,35,0.60802,41,0.98535
ENSG00000187608,ISG15,70,1.40989,20,-1.4694,39,0.12808,41,0.23777
ENSG00000188157,AGRN,27,0.45347,18,-0.4759,29,0.46508,21,-0.0489
ENSG00000078808,SDF4,56,0.50085,37,-0.4825,53,0.29921,43,0.00110
ENSG00000176022,B3GALT6,22,0.39224,17,-0.2345,18,-0.0083,17,-0.1227
ENSG00000160087,UBE2J2,31,0.33851,24,-0.2370,19,-0.5281,30,0.20120
ENSG00000131584,ACAP3,58,0.18996,47,-0.3410,52,-0.0374,66,0.37197
ENSG00000127054,INTS11,50,1.09317,20,-1.0344,26,-0.1752,34,0.25345
ENSG00000224051,CPTP,24,0.92592,12,-0.6586,19,0.38615,11,-0.5021
ENSG00000107404,DVL1,35,-0.0998,28,-0.7362,67,0.95798,55,0.71677
ENSG00000175756,AURKAIP1,202,0.56482,120,-0.6453,134,-0.1893,194,0.43503
ENSG00000221978,CCNL2,55,0.29524,45,-0.0944,64,0.48796,32,-0.6455
ENSG00000242485,MRPL20,178,0.62101,104,-0.6133,109,-0.2624,157,0.33590
ENSG00000235098,ANKRD65,26,0.13189,20,-0.5986,36,0.59676,33,0.50861
ENSG00000179403,VWA1,8,-1.1753,17,0.35188,32,1.11725,13,-0.2650
ENSG00000197785,ATAD3A,14,0.55385,7,-1.0196,14,0.39456,16,0.71838
ENSG00000205090,TMEM240,24,0.46600,17,-0.2220,4,-2.0897,23,0.34647
ENSG00000160075,SSU72,167,0.55323,105,-0.5177,114,-0.1490,143,0.22679
ENSG00000228594,FNDC10,42,0.76968,21,-0.8495,24,-0.2611,38,0.49164
ENSG00000272106,AL691432.2,17,0.42908,11,-0.5475,17,0.30286,16,0.22425
ENSG00000197530,MIB2,32,0.37221,18,-0.9566,55,1.16657,32,0.34192
ENSG00000248333,CDK11B,35,-0.7490,67,0.79162,40,-0.4662,43,-0.3767
ENSG00000189339,SLC35E2B,11,0.38418,7,-0.6596,19,1.10156,9,-0.1342
ENSG00000008128,CDK11A,16,-0.0452,17,0.14852,20,0.27396,13,-0.4247
ENSG00000215790,SLC35E2A,13,-0.3591,16,-0.0241,20,0.38522,18,0.25205
ENSG00000008130,NADK,24,0.29209,16,-0.5794,28,0.53730,24,0.32042
