Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9to11,Feature log2 fold change topic 9to11
ENSG00000228794,LINC01128,18,-0.9592,19,-0.8665,37,0.12866,51,0.64881,43,0.53731,26,-0.4820
ENSG00000188976,NOC2L,31,-0.9983,26,-1.2827,37,-0.7359,70,0.22405,84,0.83046,55,-0.1882
ENSG00000188290,HES4,22,-1.1563,72,0.71428,48,0.07155,49,0.07623,50,0.17086,40,-0.2942
ENSG00000187608,ISG15,20,-1.1034,52,0.39164,28,-0.5611,27,-0.6043,51,0.55903,38,-0.1143
ENSG00000188157,AGRN,16,-1.1919,30,-0.2764,21,-0.7749,42,0.24111,40,0.24778,41,0.30532
ENSG00000078808,SDF4,50,-0.3019,81,0.46804,41,-0.6163,56,-0.1198,71,0.37509,52,-0.3095
ENSG00000176022,B3GALT6,14,-0.5427,15,-0.4565,14,-0.5030,2,-3.3541,32,1.17352,17,-0.3352
ENSG00000160087,UBE2J2,22,-0.9819,28,-0.5809,15,-1.5190,42,0.01628,54,0.62951,45,0.15371
ENSG00000131584,ACAP3,99,0.09441,76,-0.3279,45,-1.1112,68,-0.4860,97,0.07432,118,0.47880
ENSG00000127054,INTS11,45,-0.1157,56,0.21322,26,-0.9428,58,0.27414,61,0.54893,35,-0.5944
ENSG00000224051,CPTP,9,-1.1993,24,0.35635,8,-1.3837,15,-0.4359,28,0.91935,15,-0.4139
ENSG00000107404,DVL1,38,-1.0646,112,0.60156,62,-0.3281,27,-1.5935,68,-0.2697,112,0.80125
ENSG00000175756,AURKAIP1,58,-1.5681,187,0.21944,80,-1.0905,159,-0.0380,213,0.66322,152,-0.1359
ENSG00000221978,CCNL2,58,0.28783,57,0.24950,39,-0.3239,67,0.51610,59,0.46673,25,-1.1494
ENSG00000242485,MRPL20,48,-1.3787,157,0.45794,82,-0.5591,82,-0.5649,140,0.40435,123,0.08600
ENSG00000235098,ANKRD65,20,-0.6699,31,0.01996,19,-0.6902,22,-0.4801,31,0.07429,39,0.50872
ENSG00000179403,VWA1,109,2.08777,58,0.93361,21,-0.7105,7,-2.2861,25,-0.5355,22,-0.7637
ENSG00000205090,TMEM240,11,-1.5184,13,-1.2502,14,-1.1530,26,-0.2215,34,0.28491,44,0.79068
ENSG00000160075,SSU72,50,-1.5576,155,0.15991,88,-0.7263,122,-0.2198,175,0.54115,142,0.02789
ENSG00000228594,FNDC10,7,-2.4564,29,-0.3369,35,-0.0658,17,-1.1266,40,0.18381,52,0.73410
ENSG00000197530,MIB2,24,-0.7167,39,0.00925,21,-0.9239,36,-0.1232,51,0.65722,34,-0.2240
ENSG00000248333,CDK11B,120,0.78049,30,-1.3651,171,1.39739,73,-0.0219,50,-0.8216,75,0.00605
ENSG00000008128,CDK11A,70,1.07227,23,-0.6816,53,0.60006,33,-0.1686,28,-0.5466,37,0.00237
ENSG00000215790,SLC35E2A,19,-0.3879,28,0.19191,19,-0.3745,21,-0.2443,31,0.59664,19,-0.4663
ENSG00000008130,NADK,4,-2.4787,25,0.11293,22,-0.0976,18,-0.4030,25,0.17979,29,0.43278
ENSG00000078369,GNB1,201,-1.3152,571,0.29695,423,-0.1789,368,-0.3949,496,0.10257,556,0.32669
ENSG00000187730,GABRD,17,-2.9573,54,-1.2893,51,-1.3602,146,0.24394,188,1.08065,118,-0.1136
ENSG00000067606,PRKCZ,80,-1.3765,103,-1.0018,144,-0.4875,163,-0.2965,237,0.43802,244,0.43972
ENSG00000162585,FAAP20,26,-0.7330,56,0.44102,43,0.02323,46,0.12215,32,-0.5883,56,0.57193
ENSG00000157933,SKI,47,0.65826,52,0.83473,44,0.54374,25,-0.3536,19,-1.0015,33,0.12670
ENSG00000157916,RER1,19,-1.3416,70,0.67502,46,-0.0197,19,-1.3314,51,0.23110,50,0.15749
ENSG00000157911,PEX10,20,-0.4453,30,0.20667,22,-0.3158,18,-0.6129,25,-0.0936,34,0.48141
ENSG00000149527,PLCH2,5,-1.9466,41,1.25817,8,-1.2629,8,-1.2587,24,0.53689,17,-0.1829
ENSG00000157870,PRXL2B,14,-1.7266,44,-0.0018,16,-1.5018,40,-0.1375,52,0.37609,55,0.43627
ENSG00000177133,PRDM16-DT,9,-1.8553,103,2.07003,44,0.55221,6,-2.4629,20,-0.9154,34,0.18696
ENSG00000142611,PRDM16,13,-0.2016,59,2.44860,25,0.81913,4,-1.8792,8,-1.1568,10,-0.7104
ENSG00000158109,TPRG1L,33,-2.2691,122,-0.3211,71,-1.1342,196,0.43987,186,0.53156,159,0.12463
ENSG00000130764,LRRC47,34,-0.8856,48,-0.3974,8,-2.9025,67,0.13680,88,0.92876,55,-0.2101
ENSG00000116198,CEP104,69,1.04581,11,-1.7241,53,0.59678,50,0.50630,33,-0.2193,29,-0.4573
ENSG00000196581,AJAP1,37,-0.3549,29,-0.7383,61,0.40684,44,-0.0933,53,0.29850,44,-0.1283
ENSG00000069424,KCNAB2,27,-2.9512,169,-0.2428,100,-1.0511,133,-0.6120,277,0.86117,212,0.14103
ENSG00000116254,CHD5,156,-1.1080,116,-1.5552,484,0.67091,564,0.93084,258,-0.4598,390,0.40497
ENSG00000116251,RPL22,472,0.28143,537,0.49075,269,-0.6018,258,-0.6680,331,-0.3885,499,0.48070
ENSG00000116237,ICMT,17,-1.0015,27,-0.2671,18,-0.8826,30,-0.1321,44,0.78786,29,-0.2162
ENSG00000097021,ACOT7,26,-2.3629,68,-0.9558,59,-1.1667,93,-0.4621,216,1.53279,91,-0.5989
ENSG00000215788,TNFRSF25,8,-1.6820,13,-1.0259,16,-0.7226,58,1.40238,35,0.81560,14,-1.0279
ENSG00000171680,PLEKHG5,13,-1.6008,21,-0.8937,16,-1.2442,30,-0.3185,41,0.19046,56,0.87545
ENSG00000162408,NOL9,23,-0.1808,21,-0.3219,17,-0.6054,21,-0.2979,29,0.24293,29,0.22372
ENSG00000162413,KLHL21,21,-0.2779,32,0.35341,18,-0.5362,16,-0.7026,30,0.37521,25,-0.0755
ENSG00000041988,THAP3,0,-5.5451,15,-0.4029,10,-1.0507,13,-0.5549,30,1.21158,17,-0.1840
ENSG00000007923,DNAJC11,22,-0.8853,20,-1.0156,61,0.69143,27,-0.5865,45,0.28871,42,0.11600
