Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to10,Feature log2 fold change topic 8to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000237491,LINC01409,3,-1.6964,11,0.25595,32,1.98630,13,0.43689,7,-0.4565,8,-0.3873,4,-1.2112,4,-1.3578,10,0.00482
ENSG00000228794,LINC01128,40,0.18144,38,0.12291,46,0.40296,39,0.14481,40,0.20325,42,0.29350,11,-1.7638,26,-0.4994,20,-0.8829
ENSG00000188976,NOC2L,75,0.85562,77,1.02749,45,0.04269,32,-0.4744,33,-0.4431,39,-0.2032,20,-1.1413,30,-0.5712,28,-0.7017
ENSG00000188290,HES4,11,-1.1849,32,0.53214,27,0.19243,13,-0.9312,17,-0.5305,14,-0.9005,35,0.60802,49,1.15627,33,0.53963
ENSG00000187608,ISG15,117,1.97892,46,0.42576,15,-1.2717,22,-0.7573,10,-1.9973,27,-0.5249,39,0.12808,34,-0.0831,49,0.47209
ENSG00000188157,AGRN,15,-0.4992,33,0.76069,34,0.76624,25,0.22930,17,-0.3215,10,-1.1926,29,0.46508,24,0.18183,17,-0.3068
ENSG00000078808,SDF4,47,0.13913,61,0.58208,58,0.45380,35,-0.3395,39,-0.1678,28,-0.7485,53,0.29921,56,0.40784,31,-0.5347
ENSG00000176022,B3GALT6,21,0.22363,23,0.40308,18,0.01910,20,0.14047,17,-0.1233,15,-0.3283,18,-0.0083,15,-0.2461,18,0.01049
ENSG00000160087,UBE2J2,21,-0.3261,36,0.57122,30,0.19141,15,-0.8182,30,0.23994,21,-0.3672,19,-0.5281,30,0.21711,29,0.14886
ENSG00000131584,ACAP3,21,-1.4011,77,0.67001,123,1.37549,63,0.27784,37,-0.6025,23,-1.3858,52,-0.0374,73,0.51596,58,0.13812
ENSG00000127054,INTS11,35,0.25176,58,1.23696,39,0.43330,15,-1.0101,20,-0.6564,15,-1.1568,26,-0.1752,40,0.49515,28,-0.0812
ENSG00000224051,CPTP,14,-0.1028,29,1.17490,14,-0.1103,15,-0.0556,10,-0.6296,11,-0.5108,19,0.38615,12,-0.3152,10,-0.6330
ENSG00000107404,DVL1,17,-1.1345,44,0.29266,31,-0.2765,44,0.28011,29,-0.3732,21,-0.9734,67,0.95798,70,1.01600,41,0.17238
ENSG00000175756,AURKAIP1,205,0.48269,200,0.48690,124,-0.3019,115,-0.4285,115,-0.4570,124,-0.3677,134,-0.1893,235,0.69943,154,0.02405
