category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Digestive system,hsa04978,Mineral absorption,4/25,41/5742,2.540091150052263e-5,0.004038744928583098,0.0036096032132321636,4502/4501/493/4499,4
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,3/25,84/5742,0.0055066888159470825,0.2659516815401984,0.23769266473304723,5595/51655/117,3
Human Diseases,Cancer: specific types,hsa05216,Thyroid cancer,2/25,31/5742,0.007833619744532007,0.2659516815401984,0.23769266473304723,5595/10912,2
Human Diseases,Endocrine and metabolic disease,hsa04930,Type II diabetes mellitus,2/25,34/5742,0.009375819853831704,0.2659516815401984,0.23769266473304723,5595/8660,2
Environmental Information Processing,Signal transduction,hsa04068,FoxO signaling pathway,3/25,106/5742,0.010468815226748905,0.2659516815401984,0.23769266473304723,5595/10912/8660,3
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,3/25,118/5742,0.013995738365107136,0.2659516815401984,0.23769266473304723,7704/10912/8938,3
Human Diseases,Infectious disease: bacterial,hsa05133,Pertussis,2/25,43/5742,0.014735276447922002,0.2659516815401984,0.23769266473304723,5595/710,2
Environmental Information Processing,Signal transduction,hsa04022,cGMP-PKG signaling pathway,3/25,123/5742,0.015642872269562725,0.2659516815401984,0.23769266473304723,5595/8660/493,3
Human Diseases,Cancer: overview,hsa05206,MicroRNAs in cancer,3/25,133/5742,0.019255867544736537,0.2659516815401984,0.23769266473304723,5595/54541/8660,3
Organismal Systems,Endocrine system,hsa04924,Renin secretion,2/25,50/5742,0.019622337083638926,0.2659516815401984,0.23769266473304723,358/117,2
Human Diseases,Cancer: specific types,hsa05225,Hepatocellular carcinoma,3/25,139/5742,0.021629458558080718,0.2659516815401984,0.23769266473304723,5595/2949/10912,3
Human Diseases,Cancer: specific types,hsa05213,Endometrial cancer,2/25,54/5742,0.0226807052117002,0.2659516815401984,0.23769266473304723,5595/10912,2
Human Diseases,Cancer: specific types,hsa05218,Melanoma,2/25,56/5742,0.024279533038652292,0.2659516815401984,0.23769266473304723,5595/10912,2
Human Diseases,Cancer: specific types,hsa05221,Acute myeloid leukemia,2/25,56/5742,0.024279533038652292,0.2659516815401984,0.23769266473304723,5595/7704,2
