category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,6/62,27/5742,3.072338024841967e-7,6.175399429932354e-5,5.7242508462845075e-5,2/718/3689/713/710/3687,6
Organismal Systems,Development and regeneration,hsa04380,Osteoclast differentiation,7/62,91/5742,4.8188083613139334e-5,0.0043975478600030045,0.004076281598431693,5595/7305/54209/1535/1436/11006/6850,7
Organismal Systems,Digestive system,hsa04978,Mineral absorption,5/62,41/5742,6.926874600616056e-5,0.0043975478600030045,0.004076281598431693,7018/4502/4501/493/4499,5
Human Diseases,Infectious disease: bacterial,hsa05133,Pertussis,5/62,43/5742,8.751339024881601e-5,0.0043975478600030045,0.004076281598431693,5595/718/3689/713/710,5
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,4/62,27/5742,1.7958934929085857e-4,0.007219491841492515,0.006692066278838309,718/6404/3689/713,4
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,6/62,87/5742,3.1684360002028e-4,0.01061426060067938,0.009838827579577119,5595/718/6404/1535/3689/6850,6
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,6/62,114/5742,0.0013348579015832367,0.03832949117403294,0.03552930053838089,5595/718/972/3689/3687/6850,6
Human Diseases,Infectious disease: parasitic,hsa05140,Leishmaniasis,4/62,51/5742,0.0021074359005309145,0.05294932700083923,0.04908107294657525,5595/718/1535/3689,4
Metabolism,Lipid metabolism,hsa00565,Ether lipid metabolism,3/62,32/5742,0.004758179186551449,0.10330227209906914,0.09575544467941995,122618/7368/5168,3
Organismal Systems,Immune system,hsa04650,Natural killer cell mediated cytotoxicity,4/62,66/5742,0.005388699793129894,0.10330227209906914,0.09575544467941995,5595/7305/3689/6850,4
Human Diseases,Infectious disease: bacterial,hsa05134,Legionellosis,3/62,34/5742,0.005653358174575923,0.10330227209906914,0.09575544467941995,718/3312/3689,3
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,6/62,156/5742,0.006401580811393934,0.1072264785908484,0.0993929652295374,718/6750/1325/7425/53829/117,6
Organismal Systems,Immune system,hsa04664,Fc epsilon RI signaling pathway,3/62,49/5742,0.01552560734092857,0.24004977504051098,0.22251275298334877,5595/241/6850,3
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,2/62,19/5742,0.01743212994364014,0.25027557990511917,0.23199150376122596,1524/1436,2
Organismal Systems,Immune system,hsa04662,B cell receptor signaling pathway,3/62,55/5742,0.021124053102442874,0.27827611562242216,0.2579464386759294,5595/11006/6850,3
Human Diseases,Cancer: specific types,hsa05221,Acute myeloid leukemia,3/62,56/5742,0.022151332586859477,0.27827611562242216,0.2579464386759294,5595/7704/1436,3
Cellular Processes,Transport and catabolism,hsa04145,Phagosome,4/62,107/5742,0.027834217795204962,0.3290986927550705,0.3050561331115343,718/1535/3689/4973,4
Human Diseases,Infectious disease: viral,hsa05171,Coronavirus disease - COVID-19,5/62,163/5742,0.030574128376920518,0.3414111002089458,0.31646904811198434,5595/718/6231/713/6850,5
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,6/62,230/5742,0.03671031929034625,0.3646695732725489,0.33802835542938553,5595/3312/1535/713/4715/9377,6
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,4/62,118/5742,0.03794148238615821,0.3646695732725489,0.33802835542938553,7704/10912/1436/8938,4
Cellular Processes,Cell motility,hsa04810,Regulation of actin cytoskeleton,5/62,173/5742,0.03809980616280362,0.3646695732725489,0.33802835542938553,5595/3689/3687/5216/3691,5
Human Diseases,Cancer: specific types,hsa05216,Thyroid cancer,2/62,31/5742,0.04365088617480764,0.3986275615496853,0.3695055165975088,5595/10912,2
Human Diseases,Infectious disease: parasitic,hsa05142,Chagas disease,3/62,75/5742,0.04675833162878865,0.3986275615496853,0.3695055165975088,5595/718/713,3
Cellular Processes,Transport and catabolism,hsa04148,Efferocytosis,4/62,127/5742,0.04759732078205198,0.3986275615496853,0.3695055165975088,5595/1524/64805/713,4
Human Diseases,Endocrine and metabolic disease,hsa04930,Type II diabetes mellitus,2/62,34/5742,0.051594517602334584,0.41481992152277003,0.38451493118371466,5595/8660,2
Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,5/62,195/5742,0.05839257101550775,0.4275043571446466,0.39627269554649097,5595/2949/1535/4715/9377,5
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,4/62,137/5742,0.05979142409478124,0.4275043571446466,0.39627269554649097,5595/3312/1535/4973,4
Organismal Systems,Digestive system,hsa04976,Bile secretion,2/62,37/5742,0.060011908326966214,0.4275043571446466,0.39627269554649097,9429/358,2
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,3/62,84/5742,0.061679733120371893,0.4275043571446466,0.39627269554649097,5595/51655/117,3
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,2/62,41/5742,0.07190759412848309,0.48178088066083674,0.4465840056400529,718/713,2
Organismal Systems,Immune system,hsa04611,Platelet activation,3/62,91/5742,0.0746394632835933,0.48395264903233076,0.448597113792734,5595/64805/6850,3
Organismal Systems,Endocrine system,hsa04915,Estrogen signaling pathway,3/62,94/5742,0.08053771098102196,0.5058774970995442,0.46892022511976605,5595/2289/3312,3
Organismal Systems,Immune system,hsa04612,Antigen processing and presentation,2/62,47/5742,0.09102430986021973,0.5387716432856949,0.4994112640040219,972/3312,2
Organismal Systems,Endocrine system,hsa04935,"Growth hormone synthesis, secretion and action",3/62,100/5742,0.0929220893461017,0.5387716432856949,0.4994112640040219,5595/6750/8660,3
Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,4/62,161/5742,0.09516433802995097,0.5387716432856949,0.4994112640040219,5595/6750/493/117,4
Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,2/62,50/5742,0.1010850398511373,0.5387716432856949,0.4994112640040219,2170/4973,2
Organismal Systems,Endocrine system,hsa04924,Renin secretion,2/62,50/5742,0.1010850398511373,0.5387716432856949,0.4994112640040219,358/117,2
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,4/62,165/5742,0.10185732559630052,0.5387716432856949,0.4994112640040219,5595/3689/1436/5216,4
Environmental Information Processing,Signal transduction,hsa04068,FoxO signaling pathway,3/62,106/5742,0.10604835500060404,0.5465569065415747,0.5066277688287967,5595/10912/8660,3
