"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006954","BP","GO:0006954","inflammatory response","16/56","440/11800",1.12560066755993e-10,1.8426082927956e-07,1.34361174422417e-07,"CX3CR1/A2M/C3/PLD4/TYROBP/AIF1/TREM2/HSPA8/CYBA/ITGB2/ALOX5AP/CSF1R/LILRB4/PLP1/SYK/OLR1",16
"GO:0002697","BP","GO:0002697","regulation of immune effector process","10/56","195/11800",2.21874914916547e-08,1.32697452274852e-05,9.67616698580087e-06,"CX3CR1/A2M/C3/TYROBP/CD74/LAPTM5/TREM2/ITGB2/LILRB4/SYK",10
"GO:0042116","BP","GO:0042116","macrophage activation","7/56","67/11800",2.56892576418196e-08,1.32697452274852e-05,9.67616698580087e-06,"CX3CR1/TYROBP/AIF1/CD74/TREM2/ITGB2/SYK",7
"GO:0002252","BP","GO:0002252","immune effector process","12/56","328/11800",3.24245454550647e-08,1.32697452274852e-05,9.67616698580087e-06,"CX3CR1/A2M/C3/TYROBP/CD74/LAPTM5/TREM2/ITGB2/LILRB4/C1QB/ITM2A/SYK",12
"GO:0097529","BP","GO:0097529","myeloid leukocyte migration","8/56","123/11800",1.03603464618625e-07,2.23264113129089e-05,1.62801983273888e-05,"CX3CR1/AIF1/CD74/TREM2/P2RY12/ITGB2/CSF1R/SYK",8
"GO:0032103","BP","GO:0032103","positive regulation of response to external stimulus","12/56","367/11800",1.11250130005429e-07,2.23264113129089e-05,1.62801983273888e-05,"CX3CR1/C3/TYROBP/AIF1/CD74/TREM2/P2RY12/HSPA8/CYBA/ALOX5AP/CSF1R/SYK",12
"GO:0032602","BP","GO:0032602","chemokine production","6/56","51/11800",1.32560259870573e-07,2.23264113129089e-05,1.62801983273888e-05,"AIF1/CD74/TREM2/CSF1R/LILRB4/SYK",6
"GO:0032642","BP","GO:0032642","regulation of chemokine production","6/56","51/11800",1.32560259870573e-07,2.23264113129089e-05,1.62801983273888e-05,"AIF1/CD74/TREM2/CSF1R/LILRB4/SYK",6
"GO:0032635","BP","GO:0032635","interleukin-6 production","7/56","85/11800",1.3654201399126e-07,2.23264113129089e-05,1.62801983273888e-05,"TYROBP/AIF1/CD74/TREM2/CYBA/LILRB4/SYK",7
"GO:0032675","BP","GO:0032675","regulation of interleukin-6 production","7/56","85/11800",1.3654201399126e-07,2.23264113129089e-05,1.62801983273888e-05,"TYROBP/AIF1/CD74/TREM2/CYBA/LILRB4/SYK",7
"GO:0002274","BP","GO:0002274","myeloid leukocyte activation","8/56","129/11800",1.50024755309711e-07,2.23264113129089e-05,1.62801983273888e-05,"CX3CR1/TYROBP/AIF1/CD74/TREM2/ITGB2/LILRB4/SYK",8
"GO:0001774","BP","GO:0001774","microglial cell activation","5/56","28/11800",1.81385521123554e-07,2.47440081732715e-05,1.80430860486062e-05,"CX3CR1/TYROBP/AIF1/TREM2/ITGB2",5
"GO:0002269","BP","GO:0002269","leukocyte activation involved in inflammatory response","5/56","29/11800",2.18385016627735e-07,2.55957549885173e-05,1.86641714027448e-05,"CX3CR1/TYROBP/AIF1/TREM2/ITGB2",5
"GO:0098883","BP","GO:0098883","synapse pruning","4/56","12/11800",2.18900775711205e-07,2.55957549885173e-05,1.86641714027448e-05,"CX3CR1/C3/TREM2/C1QB",4
"GO:0002443","BP","GO:0002443","leukocyte mediated immunity","9/56","200/11800",3.66911923998707e-07,4.00423213057256e-05,2.91984646887392e-05,"CX3CR1/C3/TYROBP/CD74/TREM2/ITGB2/LILRB4/C1QB/SYK",9
"GO:0061900","BP","GO:0061900","glial cell activation","5/56","33/11800",4.3019854169706e-07,4.14227448409543e-05,3.02050558786241e-05,"CX3CR1/TYROBP/AIF1/TREM2/ITGB2",5
"GO:0002281","BP","GO:0002281","macrophage activation involved in immune response","4/56","14/11800",4.39551338071066e-07,4.14227448409543e-05,3.02050558786241e-05,"CX3CR1/TYROBP/TREM2/SYK",4
"GO:0006909","BP","GO:0006909","phagocytosis","8/56","149/11800",4.55473064836394e-07,4.14227448409543e-05,3.02050558786241e-05,"C3/PLD4/TYROBP/AIF1/TREM2/CYBA/ITGB2/SYK",8
"GO:0002886","BP","GO:0002886","regulation of myeloid leukocyte mediated immunity","5/56","34/11800",5.02554978356308e-07,4.32990789246988e-05,3.15732601360694e-05,"CX3CR1/C3/TYROBP/ITGB2/SYK",5
"GO:0050778","BP","GO:0050778","positive regulation of immune response","12/56","428/11800",5.82836691522043e-07,4.77051832010792e-05,3.4786147799263e-05,"A2M/C3/TYROBP/CD74/LAPTM5/TREM2/HSPA8/CYBA/ITGB2/LILRB4/C1QB/SYK",12
"GO:0050900","BP","GO:0050900","leukocyte migration","9/56","213/11800",6.23980069175305e-07,4.86407320590464e-05,3.54683407741752e-05,"CX3CR1/SELPLG/AIF1/CD74/TREM2/P2RY12/ITGB2/CSF1R/SYK",9
"GO:0042554","BP","GO:0042554","superoxide anion generation","4/56","18/11800",1.32484556359386e-06,9.1672938581245e-05,6.68470001936353e-05,"TYROBP/CYBA/ITGB2/SYK",4
"GO:1905523","BP","GO:1905523","positive regulation of macrophage migration","4/56","18/11800",1.32484556359386e-06,9.1672938581245e-05,6.68470001936353e-05,"CX3CR1/TREM2/P2RY12/CSF1R",4
"GO:0002683","BP","GO:0002683","negative regulation of immune system process","10/56","303/11800",1.34401376050695e-06,9.1672938581245e-05,6.68470001936353e-05,"CX3CR1/A2M/TYROBP/CD74/LAPTM5/TREM2/HSPA8/LILRB4/LST1/SYK",10
"GO:0001817","BP","GO:0001817","regulation of cytokine production","12/56","466/11800",1.43234407810388e-06,9.37898902342422e-05,6.83906604029391e-05,"CX3CR1/C3/PLD4/TYROBP/AIF1/CD74/LAPTM5/TREM2/CYBA/CSF1R/LILRB4/SYK",12
