category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,5/37,27/5742,6.116729272230601e-7,5.8720601013413774e-5,4.8289967938662644e-5,2/718/3689/713/3687,5
Organismal Systems,Development and regeneration,hsa04380,Osteoclast differentiation,6/37,91/5742,2.101521496341903e-5,7.372947563960555e-4,6.063279246678088e-4,7305/54209/1535/1436/11006/6850,6
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,4/37,27/5742,2.3040461137376734e-5,7.372947563960555e-4,6.063279246678088e-4,718/6404/3689/713,4
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,5/37,87/5742,2.116546972728827e-4,0.005079712734549185,0.004177395340912158,718/6404/1535/3689/6850,5
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,5/37,114/5742,7.414548783579514e-4,0.014235933664472665,0.011707182289862391,718/972/3689/3687/6850,5
Metabolism,Lipid metabolism,hsa00565,Ether lipid metabolism,3/37,32/5742,0.001074319375487646,0.017189110007802336,0.014135781256416395,122618/7368/5168,3
Human Diseases,Infectious disease: bacterial,hsa05134,Legionellosis,3/37,34/5742,0.0012846777332443172,0.01761843748449349,0.014488846615537412,718/3312/3689,3
Human Diseases,Infectious disease: bacterial,hsa05133,Pertussis,3/37,43/5742,0.002545942381827695,0.030551308581932342,0.025124431399615413,718/3689/713,3
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,5/37,156/5742,0.002996846453578559,0.03196636217150463,0.026288126785776834,718/6750/1325/7425/53829,5
Human Diseases,Infectious disease: parasitic,hsa05140,Leishmaniasis,3/37,51/5742,0.004146911933337363,0.03981035456003868,0.03273877842108445,718/1535/3689,3
Cellular Processes,Transport and catabolism,hsa04145,Phagosome,4/37,107/5742,0.004691130494596876,0.04094077522557274,0.03366840067892495,718/1535/3689/4973,4
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,2/37,19/5742,0.006448647120609754,0.05158917696487803,0.04242531000401154,1524/1436,2
Organismal Systems,Immune system,hsa04650,Natural killer cell mediated cytotoxicity,3/37,66/5742,0.008528831418076145,0.06298213970271616,0.05179452278183895,7305/3689/6850,3
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,5/37,230/5742,0.015106196542226736,0.10358534771812619,0.08518531884714325,3312/1535/713/4715/9377,5
Human Diseases,Infectious disease: viral,hsa05171,Coronavirus disease - COVID-19,4/37,163/5742,0.01994601814460688,0.12765451612548404,0.10497904286635201,718/6231/713/6850,4
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,2/37,41/5742,0.028299945301190434,0.16979967180714262,0.1396378879992949,718/713,2
Organismal Systems,Immune system,hsa04612,Antigen processing and presentation,2/37,47/5742,0.036421444160165496,0.20567403761034633,0.1691398335611401,972/3312,2
Organismal Systems,Immune system,hsa04664,Fc epsilon RI signaling pathway,2/37,49/5742,0.03930651171484572,0.2060510603318977,0.16944988514136328,241/6850,2
Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,2/37,50/5742,0.040780939024021426,0.2060510603318977,0.16944988514136328,2170/4973,2
Cellular Processes,Transport and catabolism,hsa04148,Efferocytosis,3/37,127/5742,0.04757225161210365,0.22152883758432526,0.18217832038184648,1524/64805/713,3
Organismal Systems,Immune system,hsa04662,B cell receptor signaling pathway,2/37,55/5742,0.048459433221571153,0.22152883758432526,0.18217832038184648,11006/6850,2
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,3/37,137/5742,0.05727873772721168,0.24994358280965095,0.20554570954741036,3312/1535/4973,3
Human Diseases,Infectious disease: parasitic,hsa05142,Chagas disease,2/37,75/5742,0.0836418472296439,0.33203171229588135,0.2730523949801656,718/713,2
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,3/37,165/5742,0.08898471309137196,0.33203171229588135,0.2730523949801656,3689/1436/5216,3
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,2/37,79/5742,0.09140928360898534,0.33203171229588135,0.2730523949801656,1524/1436,2
Metabolism,Amino acid metabolism,hsa00340,Histidine metabolism,1/37,15/5742,0.09252364932423407,0.33203171229588135,0.2730523949801656,84735,1
Organismal Systems,Immune system,hsa04670,Leukocyte transendothelial migration,2/37,80/5742,0.09338391908321664,0.33203171229588135,0.2730523949801656,1535/3689,2
Cellular Processes,Cell motility,hsa04810,Regulation of actin cytoskeleton,3/37,173/5742,0.099176209660635,0.3326331938321148,0.2735470344014102,3689/3687/5216,3
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,3/37,174/5742,0.10048294397011802,0.3326331938321148,0.2735470344014102,1535/4715/9377,3
Metabolism,Metabolism of cofactors and vitamins,hsa00830,Retinol metabolism,1/37,18/5742,0.11000188671649025,0.3520060374927688,0.28947864925392175,216,1
Organismal Systems,Immune system,hsa04611,Platelet activation,2/37,91/5742,0.11588848489962182,0.3551742361517806,0.29208407578271434,64805/6850,2
Human Diseases,Endocrine and metabolic disease,hsa04936,Alcoholic liver disease,2/37,94/5742,0.12225217734264292,0.3551742361517806,0.29208407578271434,718/713,2
Human Diseases,Drug resistance: antineoplastic,hsa01523,Antifolate resistance,1/37,21/5742,0.12715241599844207,0.3551742361517806,0.29208407578271434,9429,1
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecules,2/37,97/5742,0.12870198310107034,0.3551742361517806,0.29208407578271434,6404/3689,2
Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,3/37,195/5742,0.12949060693033668,0.3551742361517806,0.29208407578271434,1535/4715/9377,3
Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,1/37,23/5742,0.1384069980123902,0.3690853280330405,0.3035241184482242,3689,1
Metabolism,Metabolism of other amino acids,hsa00410,beta-Alanine metabolism,1/37,24/5742,0.14398121397209362,0.3735728794951619,0.30721453905852125,84735,1
Environmental Information Processing,Membrane transport,hsa02010,ABC transporters,1/37,30/5742,0.17669699529194127,0.4385009228778577,0.3606093115771856,9429,1
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,2/37,119/5742,0.17814099991912968,0.4385009228778577,0.3606093115771856,4715/9377,2
Cellular Processes,Cell growth and death,hsa04216,Ferroptosis,1/37,35/5742,0.20302797701926767,0.47637643638623556,0.39175693781762794,7018,1
Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,1/37,36/5742,0.20819495876979954,0.47637643638623556,0.39175693781762794,1436,1
Organismal Systems,Digestive system,hsa04976,Bile secretion,1/37,37/5742,0.21332934126638547,0.47637643638623556,0.39175693781762794,9429,1
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,2/37,134/5742,0.213376945464668,0.47637643638623556,0.39175693781762794,4715/9377,2
Human Diseases,Infectious disease: viral,hsa05167,Kaposi sarcoma-associated herpesvirus infection,2/37,140/5742,0.22768184781100193,0.48739797032617665,0.40082069928139535,718/6850,2
Metabolism,Amino acid metabolism,hsa00330,Arginine and proline metabolism,1/37,41/5742,0.233544860781293,0.48739797032617665,0.40082069928139535,84735,1
Organismal Systems,Digestive system,hsa04978,Mineral absorption,1/37,41/5742,0.233544860781293,0.48739797032617665,0.40082069928139535,7018,1
Human Diseases,Cancer: overview,hsa05203,Viral carcinogenesis,2/37,145/5742,0.23966309085263846,0.4895246111032615,0.4025695814993927,718/6850,2
Metabolism,Lipid metabolism,hsa00600,Sphingolipid metabolism,1/37,45/5742,0.2532545789330687,0.5056739781018734,0.4158503109390408,7368,1
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,1/37,46/5742,0.25810442632283126,0.5056739781018734,0.4158503109390408,3689,1
Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,1/37,48/5742,0.26771235310633634,0.5140077179641658,0.4227037154310574,3689,1
Organismal Systems,Aging,hsa04213,Longevity regulating pathway - multiple species,1/37,54/5742,0.29581541193914884,0.5523581847444993,0.4542419282438317,3312,1
Organismal Systems,Digestive system,hsa04971,Gastric acid secretion,1/37,55/5742,0.30039607821169634,0.5523581847444993,0.4542419282438317,6750,1
Human Diseases,Cancer: specific types,hsa05221,Acute myeloid leukemia,1/37,56/5742,0.3049477478276923,0.5523581847444993,0.4542419282438317,1436,1
Environmental Information Processing,Signal transduction,hsa04064,NF-kappa B signaling pathway,1/37,60/5742,0.3228680135119284,0.563551441766275,0.4634469093472657,6850,1
Human Diseases,Infectious disease: parasitic,hsa05146,Amoebiasis,1/37,60/5742,0.3228680135119284,0.563551441766275,0.4634469093472657,3689,1
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,3/37,317/5742,0.3351199859542753,0.573201551274169,0.47138285466625746,4715/5216/9377,3
Organismal Systems,Circulatory system,hsa04260,Cardiac muscle contraction,1/37,64/5742,0.3403384210690379,0.573201551274169,0.47138285466625746,9377,1
