Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to8,Feature log2 fold change topic 3to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,30,-0.3583,45,0.74882,8,-2.2918,37,-0.0215
ENSG00000188976,NOC2L,39,-0.3871,54,0.40701,26,-0.9818,59,0.30668
ENSG00000188290,HES4,30,-0.1692,36,0.38848,21,-0.6652,29,-0.1667
ENSG00000187608,ISG15,26,-0.8480,45,0.08922,107,1.52615,9,-2.3821
ENSG00000078808,SDF4,33,-0.5980,58,0.94260,33,-0.5424,21,-1.2409
ENSG00000176022,B3GALT6,15,-0.5119,24,0.73939,11,-0.8938,16,-0.3579
ENSG00000160087,UBE2J2,32,0.06714,34,0.28356,12,-1.3775,33,0.08337
ENSG00000131584,ACAP3,57,-0.2764,69,0.12317,43,-0.6824,96,0.59666
ENSG00000127054,INTS11,25,-0.5613,42,0.79774,12,-1.5693,33,-0.0614
ENSG00000224051,CPTP,19,0.12102,19,0.11172,12,-0.5724,18,-0.0278
ENSG00000107404,DVL1,56,0.30859,51,0.28013,28,-0.7821,27,-0.8699
ENSG00000175756,AURKAIP1,83,-0.4669,137,1.04311,59,-0.9478,40,-1.5399
ENSG00000221978,CCNL2,38,-0.5526,57,0.26588,28,-0.9494,83,0.74146
ENSG00000242485,MRPL20,105,-0.0398,115,0.25827,74,-0.5910,101,-0.1058
ENSG00000235098,ANKRD65,16,-0.4375,29,1.40591,3,-2.7131,6,-1.9201
ENSG00000205090,TMEM240,26,-0.2520,30,0.08573,17,-0.8323,46,0.70758
ENSG00000160075,SSU72,84,-0.6060,154,1.19523,54,-1.2265,46,-1.4498
ENSG00000228594,FNDC10,29,0.11814,31,0.54809,1,-4.0085,25,-0.1179
ENSG00000272106,AL691432.2,15,-0.3447,24,1.24025,4,-2.1796,6,-1.7645
ENSG00000197530,MIB2,27,-0.1263,34,0.61710,9,-1.7976,25,-0.2464
ENSG00000248333,CDK11B,56,-0.1398,44,-0.9318,103,0.86854,126,1.22541
ENSG00000189339,SLC35E2B,20,-0.6275,36,1.06697,7,-2.1314,22,-0.4056
ENSG00000008128,CDK11A,18,-0.7730,14,-1.7346,45,0.77610,113,2.59599
ENSG00000008130,NADK,25,0.08640,24,0.12795,22,-0.1208,18,-0.4246
ENSG00000078369,GNB1,504,0.07234,555,0.55091,275,-0.8815,231,-1.1488
ENSG00000187730,GABRD,147,-0.3714,220,0.83389,23,-3.0783,176,-0.0443
ENSG00000067606,PRKCZ,232,0.41370,195,0.18726,58,-1.7766,163,-0.2025
ENSG00000162585,FAAP20,40,0.16051,39,0.19764,38,0.04431,17,-1.1906
ENSG00000157933,SKI,75,0.59231,44,-0.6813,51,-0.1144,82,0.66607
ENSG00000157916,RER1,32,-0.3562,47,0.70639,31,-0.3903,19,-1.1235
ENSG00000157911,PEX10,11,-0.7445,21,0.86446,17,0.03323,6,-1.5692
ENSG00000157870,PRXL2B,43,-0.0357,51,0.57797,26,-0.8325,24,-0.9630
ENSG00000177133,PRDM16-DT,21,-0.2191,26,0.43706,14,-0.7774,22,-0.1282
ENSG00000158109,TPRG1L,121,-0.4737,206,1.21584,42,-2.0077,69,-1.2867
ENSG00000130764,LRRC47,43,-0.6974,84,1.24709,22,-1.6221,32,-1.0518
ENSG00000116198,CEP104,41,-0.0790,30,-1.0704,82,1.07289,88,1.19242
ENSG00000196581,AJAP1,60,0.14283,59,0.25397,28,-1.0631,51,-0.1368
ENSG00000069424,KCNAB2,108,-0.4460,179,1.14380,51,-1.5556,56,-1.4038
ENSG00000116254,CHD5,448,0.43121,293,-0.6089,81,-2.2527,815,1.42067
ENSG00000116251,RPL22,395,-0.0099,394,-0.0304,680,0.89276,139,-1.6087
ENSG00000116237,ICMT,23,-0.5729,41,1.08334,8,-2.0002,22,-0.5971
ENSG00000097021,ACOT7,73,-1.2067,210,1.79129,17,-3.2067,78,-1.0217
ENSG00000171680,PLEKHG5,20,-0.3225,30,0.91596,1,-4.7489,22,-0.1616
ENSG00000162408,NOL9,36,0.08824,35,0.11079,24,-0.5587,35,0.02563
ENSG00000162413,KLHL21,19,-0.5672,35,1.17731,8,-1.7557,14,-1.0346
ENSG00000007923,DNAJC11,42,0.08190,45,0.42176,18,-1.1905,31,-0.4208
ENSG00000171735,CAMTA1,471,0.05892,502,0.37328,196,-1.3073,411,-0.1641
ENSG00000049245,VAMP3,12,-0.8064,16,-0.7494,77,2.46593,4,-2.2368
ENSG00000049246,PER3,23,-0.8559,41,0.29778,41,0.12245,46,0.32751
ENSG00000116288,PARK7,118,-0.7947,245,1.26431,108,-0.8593,63,-1.6775
ENSG00000116285,ERRFI1,14,-0.8374,31,1.56259,12,-0.9444,1,-4.0165
ENSG00000162426,SLC45A1,7,-1.6145,28,2.09779,4,-2.4097,7,-1.4609
ENSG00000142599,RERE,116,-0.3491,132,-0.2507,181,0.40154,213,0.67077
ENSG00000074800,ENO1,180,-0.9978,428,1.34234,212,-0.6673,102,-1.7705
ENSG00000171612,SLC25A33,21,-0.5302,39,1.62962,5,-2.5795,3,-3.2623
ENSG00000171603,CLSTN1,403,-0.6743,774,1.24094,136,-2.2425,367,-0.7584
ENSG00000178585,CTNNBIP1,31,0.14799,33,0.64719,16,-0.8879,7,-2.1142
ENSG00000162441,LZIC,69,0.19070,48,-0.8073,121,1.10367,77,0.34557
ENSG00000130939,UBE4B,18,-1.2385,46,0.78470,33,-0.1978,36,-0.0838
ENSG00000054523,KIF1B,407,-0.2922,510,0.22701,483,0.00837,446,-0.1188
ENSG00000142657,PGD,21,-1.1461,59,1.85041,11,-1.9274,11,-2.0486
ENSG00000241563,CORT,9,-2.0657,45,1.74579,29,-0.1943,6,-2.3760
ENSG00000160049,DFFA,56,-0.3678,71,0.07705,82,0.26354,75,0.11309
ENSG00000142655,PEX14,13,-0.2862,19,1.01096,5,-1.7402,7,-1.1959
ENSG00000120948,TARDBP,45,-0.8973,86,0.47688,85,0.18110,71,-0.1046
ENSG00000116649,SRM,33,-0.3704,50,0.79779,20,-1.1073,27,-0.6507
ENSG00000171824,EXOSC10,13,-1.5562,34,-0.0206,52,0.67004,61,0.93139
ENSG00000198793,MTOR,24,-0.4481,31,-0.1022,27,-0.2327,56,0.94149
ENSG00000116661,FBXO2,94,-0.3691,138,0.73175,111,-0.0764,33,-1.8976
ENSG00000132879,FBXO44,66,-0.2262,87,0.65731,25,-1.6577,65,-0.2212
ENSG00000177000,MTHFR,23,-0.6058,32,-0.0823,35,0.10172,55,0.84262
ENSG00000011021,CLCN6,57,-0.2362,78,0.78105,20,-1.8048,47,-0.4834
ENSG00000116685,KIAA2013,14,-1.1033,34,0.89037,15,-0.9133,29,0.07195
ENSG00000116688,MFN2,116,-0.1014,133,0.29981,97,-0.3612,101,-0.3013
ENSG00000048707,VPS13D,58,-0.5593,91,0.47137,70,-0.2163,74,-0.1264
ENSG00000162496,DHRS3,12,-0.8717,21,0.13556,30,0.68232,21,0.09606
ENSG00000116731,PRDM2,306,-0.0904,292,-0.3321,299,-0.1199,559,0.91664
ENSG00000189337,KAZN,52,-0.4107,72,0.33726,63,-0.0901,61,-0.1224
ENSG00000142634,EFHD2,117,0.35467,99,0.07781,76,-0.3775,64,-0.6505
ENSG00000116138,DNAJC16,19,-1.0609,47,1.15705,13,-1.5115,31,-0.2465
ENSG00000197312,DDI2,43,-0.1599,53,0.52488,14,-1.8057,48,0.04717
ENSG00000116786,PLEKHM2,182,0.87701,105,-0.3284,94,-0.3302,69,-0.8047
ENSG00000065526,SPEN,163,-0.3045,151,-0.7713,372,1.09610,333,0.90232
ENSG00000116809,ZBTB17,16,-0.3116,19,0.06216,13,-0.5331,29,0.67573
ENSG00000037637,FBXO42,14,-0.7367,22,0.13478,14,-0.6275,38,0.98481
ENSG00000055070,SZRD1,41,0.68761,21,-0.9115,41,0.60839,35,0.35512
ENSG00000159363,ATP13A2,69,-0.2029,98,1.05547,8,-3.3566,41,-0.9697
ENSG00000117118,SDHB,33,-0.2480,47,0.90174,17,-1.1829,16,-1.3261
ENSG00000117115,PADI2,53,-0.0657,39,-1.0212,195,2.27050,18,-1.6930
ENSG00000179051,RCC2,15,-0.5687,26,1.01288,11,-0.9335,10,-1.1051
ENSG00000074964,ARHGEF10L,19,0.08898,19,0.26994,11,-0.7270,15,-0.2941
ENSG00000117154,IGSF21,22,-1.3047,67,1.55192,27,-0.9470,19,-1.4585
ENSG00000159423,ALDH4A1,17,-0.1940,22,0.74373,12,-0.6315,7,-1.4725
ENSG00000127481,UBR4,33,-0.8243,42,-0.7686,66,0.34417,153,1.83910
ENSG00000127463,EMC1,25,-0.5987,43,0.81899,25,-0.5658,22,-0.7310
ENSG00000053372,MRTO4,56,0.38552,44,-0.1315,13,-1.8659,67,0.62517
ENSG00000053371,AKR7A2,20,-0.3794,27,0.34977,25,-0.0050,20,-0.3039
ENSG00000077549,CAPZB,102,-0.4668,157,0.67736,116,-0.2204,72,-0.9613
ENSG00000173436,MICOS10,231,0.19592,221,0.22914,227,0.14204,63,-1.8096
ENSG00000158747,NBL1,136,0.05261,151,0.52732,41,-1.7761,104,-0.3743
ENSG00000169914,OTUD3,20,0.02564,21,0.19909,5,-2.0793,28,0.53785
ENSG00000162545,CAMK2N1,1467,-0.0138,1684,0.52759,1178,-0.3586,562,-1.4914
ENSG00000090432,MUL1,20,0.09594,23,0.84922,7,-1.5375,4,-2.2786
ENSG00000158828,PINK1,290,-0.3701,434,0.83604,253,-0.5425,139,-1.4549
ENSG00000244038,DDOST,12,-0.6468,22,0.82982,19,0.12862,4,-2.0145
ENSG00000117245,KIF17,19,-0.0882,25,0.94528,6,-1.8583,7,-1.5296
ENSG00000189410,SH2D5,26,-0.5643,47,1.28436,0,-5.4232,24,-0.6138
ENSG00000127483,HP1BP3,265,-0.3198,310,-0.0850,440,0.53439,345,0.13511
ENSG00000075151,EIF4G3,192,-0.4833,274,0.29687,261,0.04754,246,-0.0476
