Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,33,-0.2752,48,0.32726,58,0.66118,36,-0.1444,51,0.61479,12,-1.8331,13,-1.7172
ENSG00000188976,NOC2L,51,0.21068,39,-0.2291,39,-0.2285,76,0.90826,55,0.47161,18,-1.3755,14,-1.7670
ENSG00000078808,SDF4,35,-0.4965,43,-0.1911,35,-0.5059,51,0.08438,53,0.20178,60,0.35598,52,0.11156
ENSG00000131584,ACAP3,78,-0.1187,59,-0.5693,20,-2.1682,164,1.13563,99,0.34710,57,-0.6120,85,0.01564
ENSG00000127054,INTS11,38,0.12352,33,-0.0819,23,-0.6672,54,0.73897,38,0.16566,30,-0.2625,23,-0.6191
ENSG00000107404,DVL1,82,0.71366,46,-0.2264,15,-1.9475,18,-1.6537,59,0.22449,58,0.12795,84,0.76108
ENSG00000175756,AURKAIP1,79,-0.8021,190,0.60759,68,-1.0243,90,-0.6061,193,0.93291,66,-1.0763,112,-0.2519
ENSG00000221978,CCNL2,31,-0.9342,43,-0.4569,22,-1.4750,70,0.34259,72,0.53699,78,0.52175,53,-0.1274
ENSG00000242485,MRPL20,82,-0.6949,185,0.61407,128,-0.0063,99,-0.4144,148,0.31850,90,-0.5609,126,-0.0291
ENSG00000160075,SSU72,85,-0.5108,155,0.46012,106,-0.1564,100,-0.2458,143,0.46054,64,-0.9521,114,-0.0440
ENSG00000248333,CDK11B,49,-0.4528,35,-0.9864,85,0.41813,106,0.81023,53,-0.4497,121,1.04049,36,-0.9303
ENSG00000078369,GNB1,404,-0.2855,882,1.02410,410,-0.2642,343,-0.5458,532,0.21312,194,-1.4151,520,0.11810
