Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to10,Feature log2 fold change topic 5to10
ENSG00000228794,LINC01128,18,-0.9958,17,-1.1354,16,-1.1871,42,0.27461,43,0.87993
ENSG00000188976,NOC2L,30,-0.9594,28,-1.0462,28,-1.0627,67,0.30148,67,0.80597
ENSG00000188290,HES4,66,0.57107,77,0.83172,29,-0.7325,20,-1.2658,45,-0.0815
ENSG00000187608,ISG15,54,-0.0081,86,0.74967,26,-1.1256,45,-0.2948,56,0.07003
ENSG00000188157,AGRN,26,0.11671,17,-0.5375,12,-1.1173,42,0.90894,24,0.00021
ENSG00000078808,SDF4,48,-0.1983,95,0.93209,18,-1.6536,43,-0.3460,56,0.13535
ENSG00000176022,B3GALT6,19,-0.3167,25,0.07857,13,-0.9287,10,-1.2640,28,0.73296
ENSG00000160087,UBE2J2,27,-0.4592,28,-0.4034,27,-0.4305,21,-0.8469,42,0.73060
ENSG00000131584,ACAP3,63,-0.0325,53,-0.3047,61,-0.0873,121,1.05037,58,-0.3668
ENSG00000127054,INTS11,47,0.18722,45,0.09837,16,-1.4270,37,-0.2079,46,0.33327
ENSG00000224051,CPTP,14,-0.2438,8,-0.9864,11,-0.6572,15,-0.0874,19,0.64170
ENSG00000107404,DVL1,97,1.28533,73,0.78644,36,-0.3630,27,-0.7828,37,-0.6664
ENSG00000175756,AURKAIP1,296,0.87183,165,-0.0957,102,-0.8333,101,-0.8496,181,0.12169
ENSG00000221978,CCNL2,30,-0.8129,64,0.36666,23,-1.2231,73,0.57624,54,0.16837
ENSG00000242485,MRPL20,220,0.57479,164,0.09451,132,-0.2485,73,-1.1525,159,0.11409
ENSG00000235098,ANKRD65,66,1.40856,21,-0.4504,15,-0.9699,16,-0.9290,28,-0.0705
ENSG00000179403,VWA1,32,0.33888,87,2.15316,26,-0.0141,1,-4.5997,19,-0.9191
ENSG00000205090,TMEM240,18,-0.4995,7,-1.9372,18,-0.4687,35,0.55950,28,0.52850
ENSG00000160075,SSU72,225,0.75582,106,-0.4698,87,-0.7696,124,-0.2189,147,0.11773
ENSG00000228594,FNDC10,28,-0.1091,17,-0.8707,22,-0.4715,15,-1.0847,37,0.81617
ENSG00000197530,MIB2,33,0.08757,30,-0.0965,13,-1.3735,41,0.43701,33,0.17292
ENSG00000248333,CDK11B,41,-0.8085,66,-0.0620,103,0.67139,115,0.86222,60,-0.4361
ENSG00000008128,CDK11A,21,-1.0283,52,0.36864,38,-0.1098,73,0.95932,38,-0.2846
ENSG00000008130,NADK,26,0.38187,21,0.00349,22,0.07389,40,1.10167,16,-0.7231
ENSG00000078369,GNB1,657,0.46144,487,-0.0267,561,0.20109,277,-0.9034,495,-0.0022
ENSG00000187730,GABRD,67,-1.4411,50,-1.8717,50,-1.8741,159,-0.1098,230,1.49250
ENSG00000067606,PRKCZ,211,-0.0481,97,-1.2425,193,-0.1860,183,-0.2688,248,0.53378
ENSG00000162585,FAAP20,62,0.61226,77,0.98774,51,0.29246,8,-2.4822,38,-0.3828
ENSG00000157933,SKI,29,-0.1190,58,1.02223,60,1.09897,41,0.46002,20,-1.1805
ENSG00000157916,RER1,57,0.15816,78,0.66292,9,-2.5446,49,-0.0849,54,0.16173
ENSG00000157911,PEX10,33,0.96450,44,1.48408,8,-1.2968,6,-1.7456,16,-0.5309
ENSG00000157870,PRXL2B,54,0.30249,24,-0.9817,27,-0.7952,62,0.51910,47,0.17474
ENSG00000158109,TPRG1L,196,-0.0944,94,-1.2193,203,-0.0364,147,-0.5410,240,0.57951
ENSG00000130764,LRRC47,45,-0.7671,47,-0.6755,49,-0.6307,45,-0.7620,91,0.96352
ENSG00000116198,CEP104,17,-0.9196,51,0.84019,42,0.51971,37,0.29470,26,-0.4622
ENSG00000196581,AJAP1,29,-0.9242,10,-2.4394,42,-0.3582,52,-0.0002,65,0.96075
ENSG00000069424,KCNAB2,283,0.83759,122,-0.5285,116,-0.6077,132,-0.4102,176,0.10718
ENSG00000116254,CHD5,204,-0.9027,178,-1.1068,590,0.79822,687,1.06515,330,-0.3287
ENSG00000116251,RPL22,1128,1.06449,751,0.36983,967,0.79441,331,-0.9219,467,-0.7645
ENSG00000116237,ICMT,35,0.23569,22,-0.5022,22,-0.5221,22,-0.5074,34,0.41884
ENSG00000097021,ACOT7,119,-0.6477,45,-2.1099,46,-2.0591,166,-0.1283,237,1.33032
ENSG00000215788,TNFRSF25,16,-0.2854,14,-0.5031,6,-1.6644,38,1.15923,19,0.06689
ENSG00000171680,PLEKHG5,25,0.45777,16,-0.2136,7,-1.5364,16,-0.2352,21,0.35284
ENSG00000162408,NOL9,26,-0.1536,7,-2.0016,36,0.39244,39,0.50437,29,0.11369
ENSG00000162413,KLHL21,15,-0.3783,22,0.20812,23,0.28919,16,-0.2090,19,0.00154
ENSG00000041988,THAP3,19,0.13860,5,-1.7157,6,-1.5327,7,-1.3079,23,1.22729
ENSG00000007923,DNAJC11,29,-0.2822,16,-1.1636,45,0.38019,54,0.68111,35,-0.0510
ENSG00000171735,CAMTA1,310,-0.7390,227,-1.2138,466,-0.1013,509,0.03821,576,0.60741
ENSG00000049246,PER3,29,0.15233,32,0.32315,27,0.04799,23,-0.1765,25,-0.1459
