Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to8,Feature log2 fold change topic 3to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,8,-2.1650,21,-0.7635,38,0.42591,34,-0.0327,51,0.64558
ENSG00000188976,NOC2L,27,-0.7539,24,-0.9242,51,0.64587,46,0.09084,33,-0.4373
ENSG00000188290,HES4,9,-1.7291,41,0.67238,33,0.74176,19,-0.5627,8,-1.7392
ENSG00000187608,ISG15,39,0.66984,28,0.11611,25,-0.1634,24,-0.1474,20,-0.3812
ENSG00000188157,AGRN,15,-0.2266,20,0.26993,19,0.55429,11,-0.7115,7,-1.2772
ENSG00000078808,SDF4,46,0.09288,42,-0.0604,48,0.35566,28,-0.6861,33,-0.4399
ENSG00000176022,B3GALT6,9,-1.2227,26,0.46685,20,0.02083,26,0.44197,17,-0.2247
ENSG00000160087,UBE2J2,19,-0.7307,26,-0.2717,37,0.64526,29,-0.1171,18,-0.8280
ENSG00000131584,ACAP3,39,-0.4232,46,-0.1610,57,0.45141,55,0.14107,26,-1.0275
ENSG00000169972,PUSL1,12,0.34345,10,0.08298,10,0.27902,10,0.00750,2,-2.0991
ENSG00000127054,INTS11,30,-0.2964,43,0.26193,40,0.28932,41,0.19226,14,-1.4230
ENSG00000224051,CPTP,8,-0.9511,8,-1.1049,19,0.82174,15,-0.1252,12,-0.3941
ENSG00000107404,DVL1,31,-0.4588,77,1.02947,42,0.07705,31,-0.4514,21,-1.0058
ENSG00000175756,AURKAIP1,100,-0.5751,188,0.42673,165,0.52753,66,-1.2214,103,-0.5310
ENSG00000221978,CCNL2,56,0.11205,19,-1.5081,52,0.01565,104,1.15663,28,-0.9591
ENSG00000242485,MRPL20,99,-0.5731,194,0.49758,150,0.17663,101,-0.5499,136,-0.0757
ENSG00000235098,ANKRD65,34,0.56102,41,0.84653,25,0.07667,8,-1.6604,11,-1.2044
ENSG00000179403,VWA1,96,2.56557,28,0.27128,16,-1.0822,10,-1.3275,6,-1.9517
ENSG00000205090,TMEM240,8,-1.5266,10,-1.1316,24,0.30713,36,0.80782,22,0.03058
ENSG00000160075,SSU72,66,-0.9292,136,0.21741,135,0.49798,80,-0.6331,100,-0.2714
ENSG00000228594,FNDC10,5,-2.1488,20,-0.0781,27,0.96214,19,-0.1649,9,-1.2339
ENSG00000272106,AL691432.2,14,-0.2364,15,-0.1618,20,0.68313,10,-0.7863,9,-0.8963
ENSG00000197530,MIB2,7,-1.4682,31,0.71038,22,0.39736,22,0.12498,7,-1.5920
ENSG00000248333,CDK11B,110,0.86672,28,-1.2586,49,-0.8703,112,0.90076,107,0.82681
ENSG00000189339,SLC35E2B,14,-0.7768,39,0.81208,24,0.03568,31,0.45075,9,-1.4880
ENSG00000008128,CDK11A,73,0.99239,19,-1.1204,26,-1.2035,102,1.60982,49,0.33179
ENSG00000215790,SLC35E2A,11,-1.2791,32,0.36318,26,0.07635,39,0.69547,16,-0.6518
ENSG00000008130,NADK,15,-0.2778,25,0.50028,21,0.50081,9,-1.0567,9,-1.0848
ENSG00000078369,GNB1,168,-1.5561,710,0.70901,519,0.46226,277,-0.7973,350,-0.4362
ENSG00000187730,GABRD,7,-4.1497,55,-1.1759,153,1.23865,80,-0.6026,117,-0.0160
ENSG00000067606,PRKCZ,83,-1.2141,169,-0.1194,217,0.72925,171,-0.0967,98,-0.9555
ENSG00000162585,FAAP20,44,0.52189,63,1.11578,30,-0.2350,20,-0.7406,14,-1.2155
ENSG00000157933,SKI,39,0.55446,40,0.62032,23,-0.5440,30,0.13064,27,-0.0277
ENSG00000157916,RER1,45,-0.1261,48,-0.0140,56,0.60123,31,-0.6774,23,-1.1149
ENSG00000157911,PEX10,25,0.49019,41,1.35031,16,-0.4213,14,-0.4378,7,-1.4107
ENSG00000149527,PLCH2,14,0.71811,19,1.23453,8,-0.1674,3,-1.4572,2,-1.9758
ENSG00000157881,PANK4,5,-0.9733,9,-0.2678,13,1.11139,6,-0.9072,4,-1.3479
ENSG00000197921,HES5,1,-3.3018,32,1.96683,9,-0.5485,15,0.61004,3,-1.6266
ENSG00000157870,PRXL2B,13,-1.8464,29,-0.6425,53,0.86201,39,-0.1517,35,-0.3338
ENSG00000177133,PRDM16-DT,3,-2.1720,39,1.53950,12,-0.7492,34,1.29007,7,-1.1851
ENSG00000142611,PRDM16,12,-0.0947,22,0.82841,8,-1.2861,42,2.03646,6,-1.1706
ENSG00000158109,TPRG1L,58,-1.7461,120,-0.6489,227,0.98968,118,-0.6773,160,-0.2009
ENSG00000116213,WRAP73,7,-0.5293,16,0.73459,12,0.50738,3,-1.7005,6,-0.8333
ENSG00000130764,LRRC47,43,-0.7706,62,-0.2161,85,0.79506,62,-0.2205,29,-1.3394
ENSG00000116198,CEP104,102,1.67929,27,-0.5409,27,-1.0435,38,-0.0273,57,0.63429
ENSG00000198912,C1orf174,8,-0.6686,9,-0.5557,15,0.67508,11,-0.1587,8,-0.5973
ENSG00000196581,AJAP1,18,-1.3939,17,-1.5528,51,0.35610,64,0.53024,59,0.39061
ENSG00000069424,KCNAB2,23,-2.7003,151,0.12908,166,0.76038,101,-0.5081,118,-0.2621
ENSG00000116254,CHD5,62,-2.0657,132,-0.9331,231,-0.1325,443,1.02813,376,0.74146
ENSG00000116251,RPL22,700,0.52104,908,0.96601,427,-0.5655,381,-0.4560,539,0.09150
ENSG00000116237,ICMT,17,-1.1394,33,-0.1538,44,0.78371,21,-0.8637,30,-0.2998
