Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to10,Feature log2 fold change topic 5to10
ENSG00000228794,LINC01128,9,-1.8800,32,0.20555,35,0.72527
ENSG00000188976,NOC2L,22,-1.0996,45,0.10669,49,0.52532
ENSG00000188290,HES4,12,-1.5476,29,-0.0744,37,0.84518
ENSG00000187608,ISG15,27,-0.5491,12,-1.8081,50,1.30435
ENSG00000188157,AGRN,29,0.36851,21,-0.1746,23,-0.1508
ENSG00000078808,SDF4,59,0.07572,55,-0.0340,56,-0.0286
ENSG00000176022,B3GALT6,11,-0.6954,14,-0.2068,19,0.55741
ENSG00000160087,UBE2J2,26,-0.2516,32,0.12534,31,0.07369
ENSG00000131584,ACAP3,62,-0.0344,100,0.88690,51,-0.6562
ENSG00000127054,INTS11,32,-0.2879,32,-0.2919,42,0.37494
ENSG00000224051,CPTP,11,-0.5323,4,-1.8688,20,1.31398
ENSG00000107404,DVL1,32,-0.4710,26,-0.7963,50,0.78738
ENSG00000175756,AURKAIP1,102,-0.7551,69,-1.3733,206,1.26619
ENSG00000221978,CCNL2,58,-0.0695,97,0.89836,49,-0.6442
ENSG00000242485,MRPL20,121,-0.2203,70,-1.1322,165,0.78442
ENSG00000235098,ANKRD65,46,0.59432,19,-0.9738,34,0.07900
ENSG00000179403,VWA1,173,3.13643,27,-1.0296,17,-2.5530
ENSG00000197785,ATAD3A,11,-0.5453,19,0.43212,15,0.00913
ENSG00000205090,TMEM240,5,-2.1168,15,-0.4465,26,1.33075
ENSG00000160075,SSU72,75,-0.9220,82,-0.7726,163,1.04483
ENSG00000228594,FNDC10,4,-2.6057,7,-1.6328,30,2.37260
ENSG00000272106,AL691432.2,17,0.30154,9,-0.8478,16,0.26074
ENSG00000197530,MIB2,19,-0.7410,30,0.09604,32,0.36568
ENSG00000248333,CDK11B,69,0.67209,51,0.09538,41,-0.5599
ENSG00000189339,SLC35E2B,16,-0.2315,21,0.21706,19,-0.0042
ENSG00000008128,CDK11A,36,0.54413,36,0.59058,20,-0.8200
ENSG00000215790,SLC35E2A,11,-0.6503,18,0.20855,17,0.23554
ENSG00000008130,NADK,17,-0.4057,21,-0.1246,24,0.33808
ENSG00000078369,GNB1,245,-1.0370,315,-0.6241,565,1.01414
ENSG00000187730,GABRD,2,-5.9562,65,-1.2094,200,2.55995
ENSG00000067606,PRKCZ,85,-1.4232,157,-0.4163,252,1.05399
ENSG00000162585,FAAP20,34,0.06197,22,-0.7065,36,0.37321
ENSG00000157933,SKI,27,0.48661,28,0.53467,17,-0.7310
ENSG00000157916,RER1,74,0.31742,53,-0.2646,61,-0.0585
ENSG00000157911,PEX10,39,0.92298,10,-1.4714,24,-0.0256
ENSG00000149527,PLCH2,24,1.31144,3,-1.9972,12,-0.2477
ENSG00000157881,PANK4,6,-1.0582,5,-1.3839,16,1.46419
ENSG00000157870,PRXL2B,13,-1.7733,32,-0.3634,50,1.15129
ENSG00000177133,PRDM16-DT,10,-1.1913,26,0.50564,21,0.24115
ENSG00000158109,TPRG1L,43,-2.1457,112,-0.6510,220,1.49933
ENSG00000116213,WRAP73,10,-0.5180,24,1.08774,11,-0.5596
ENSG00000130764,LRRC47,40,-0.8711,71,0.09875,75,0.42748
ENSG00000116198,CEP104,81,1.39387,58,0.65308,22,-1.6636
ENSG00000196581,AJAP1,19,-1.2224,71,1.17829,35,-0.3426
ENSG00000069424,KCNAB2,20,-3.3125,115,-0.6386,233,1.77642
ENSG00000116254,CHD5,33,-2.4311,235,0.86075,161,0.26681
ENSG00000116251,RPL22,672,0.41927,357,-0.6994,550,0.09710
ENSG00000116237,ICMT,20,-0.9647,27,-0.4869,44,0.88732
ENSG00000097021,ACOT7,43,-2.4308,119,-0.8283,269,1.72599
ENSG00000215788,TNFRSF25,2,-2.6039,21,0.85525,15,0.30229
ENSG00000171680,PLEKHG5,0,-5.3037,13,-0.4654,24,1.81171
ENSG00000162408,NOL9,18,-0.4635,26,0.11438,25,0.20480
ENSG00000162413,KLHL21,27,0.32887,20,-0.2217,22,-0.0926
ENSG00000041988,THAP3,12,-0.5619,18,0.06454,19,0.29497
ENSG00000007923,DNAJC11,15,-1.2867,38,0.29416,36,0.45265
ENSG00000171735,CAMTA1,149,-1.4200,498,0.67663,365,0.17695
ENSG00000049245,VAMP3,150,2.73201,34,-0.6038,18,-2.2913
ENSG00000049246,PER3,71,1.36040,32,-0.1991,26,-0.9902
ENSG00000116288,PARK7,210,-0.5896,155,-1.0817,369,1.01472
ENSG00000116285,ERRFI1,18,-0.5836,24,-0.1143,28,0.43290
ENSG00000162426,SLC45A1,5,-2.5613,35,0.41126,33,0.70580
ENSG00000142599,RERE,122,0.04449,158,0.52152,105,-0.4062
ENSG00000074800,ENO1,323,-0.6293,298,-0.7621,566,0.86762
ENSG00000171612,SLC25A33,23,-0.4989,20,-0.7050,36,0.75421
ENSG00000171603,CLSTN1,168,-2.1569,679,0.12103,777,0.87316
