Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to10,Feature log2 fold change topic 3to10
ENSG00000228794,LINC01128,18,-0.9943,18,-1.0134,39,1.09154
ENSG00000188976,NOC2L,20,-0.8743,32,-0.1567,38,0.52776
ENSG00000188290,HES4,59,-0.1527,118,1.00382,59,-0.5875
ENSG00000187608,ISG15,67,0.37907,76,0.60885,48,-0.5735
ENSG00000188157,AGRN,27,-0.0595,23,-0.2593,28,0.17507
ENSG00000131591,C1orf159,10,-0.0327,4,-1.3878,12,0.63451
ENSG00000078808,SDF4,80,0.13792,82,0.17800,71,-0.1791
ENSG00000176022,B3GALT6,11,-1.1865,22,-0.2056,27,0.68682
ENSG00000160087,UBE2J2,41,0.03218,38,-0.0781,40,0.02489
ENSG00000162572,SCNN1D,11,0.32957,11,0.32398,9,-0.3733
ENSG00000131584,ACAP3,59,-0.2681,73,0.05608,72,0.11049
ENSG00000169972,PUSL1,1,-2.6439,15,0.59701,11,0.37788
ENSG00000127054,INTS11,46,-0.0993,38,-0.3925,51,0.26713
ENSG00000224051,CPTP,15,-0.7195,29,0.32066,24,0.13861
ENSG00000107404,DVL1,50,0.10826,68,0.61305,43,-0.4320
ENSG00000175756,AURKAIP1,108,-0.8699,221,0.25961,194,0.23991
ENSG00000221978,CCNL2,80,0.13264,64,-0.2309,74,0.04487
ENSG00000224870,MRPL20-AS1,12,0.49843,6,-0.6183,9,-0.0283
ENSG00000242485,MRPL20,148,-0.4980,187,-0.1299,212,0.33807
ENSG00000235098,ANKRD65,33,0.25838,37,0.46485,26,-0.4171
ENSG00000179403,VWA1,113,2.42440,21,-0.5380,21,-1.6795
ENSG00000160072,ATAD3B,14,0.03588,8,-0.8024,15,0.36934
ENSG00000197785,ATAD3A,14,0.01943,16,0.24234,13,-0.1519
ENSG00000205090,TMEM240,5,-2.2267,32,0.47920,25,0.42149
ENSG00000160075,SSU72,95,-0.5902,141,0.04198,143,0.27352
ENSG00000228594,FNDC10,12,-1.1460,26,0.08366,27,0.46719
ENSG00000272106,AL691432.2,19,-0.0367,24,0.32256,19,-0.1717
ENSG00000197530,MIB2,26,-0.2563,26,-0.2271,31,0.26924
ENSG00000248333,CDK11B,34,1.51364,31,1.29927,9,-1.7429
ENSG00000189339,SLC35E2B,14,-0.8674,16,-0.7108,28,0.86120
ENSG00000008128,CDK11A,20,1.10077,16,0.72114,8,-1.0894
ENSG00000215790,SLC35E2A,27,-0.5978,39,-0.0351,41,0.32654
ENSG00000008130,NADK,26,0.03353,26,0.02928,25,-0.0353
ENSG00000078369,GNB1,297,-0.7869,622,0.38536,499,0.11796
ENSG00000187730,GABRD,25,-2.5255,121,-0.1741,150,1.03731
ENSG00000067606,PRKCZ,78,-1.0418,145,-0.0846,163,0.54775
ENSG00000162585,FAAP20,42,0.31994,56,0.77842,31,-0.6508
ENSG00000157933,SKI,35,0.94958,29,0.64684,16,-0.9446
ENSG00000157916,RER1,76,0.09844,70,-0.0364,71,-0.0363
ENSG00000157911,PEX10,29,0.43195,32,0.58526,20,-0.5886
ENSG00000149527,PLCH2,14,-0.7409,27,0.24290,24,0.20189
ENSG00000157881,PANK4,7,-1.3176,11,-0.5890,18,0.99491
ENSG00000197921,HES5,4,-2.2968,71,2.29523,15,-1.2631
ENSG00000157873,TNFRSF14,6,-1.1667,19,0.71795,12,-0.0150
ENSG00000157870,PRXL2B,17,-1.2598,57,0.58817,40,0.11573
ENSG00000177133,PRDM16-DT,26,0.06437,54,1.29395,21,-0.9005
ENSG00000142611,PRDM16,8,-0.2458,21,1.40082,8,-0.8625
ENSG00000158109,TPRG1L,73,-1.4237,135,-0.5021,206,0.97966
ENSG00000116213,WRAP73,15,-0.0535,13,-0.2306,16,0.15645
ENSG00000130764,LRRC47,62,-0.3969,61,-0.4052,84,0.44424
ENSG00000116198,CEP104,46,1.33090,9,-1.2651,19,-0.5107
ENSG00000198912,C1orf174,8,-1.0109,5,-1.5906,18,1.37643
ENSG00000196581,AJAP1,20,-0.8034,35,0.05185,35,0.35890
ENSG00000131697,NPHP4,10,-0.2580,11,-0.2076,13,0.25928
ENSG00000069424,KCNAB2,59,-1.6714,170,-0.0663,193,0.74709
ENSG00000116254,CHD5,37,-1.8004,114,-0.0860,131,0.79855
ENSG00000116251,RPL22,778,0.48670,739,0.40176,532,-0.5113
ENSG00000158286,RNF207,1,-2.3022,2,-2.1777,10,2.37424
ENSG00000116237,ICMT,23,-1.0409,32,-0.5558,50,0.85397
ENSG00000097021,ACOT7,71,-2.0984,159,-0.8805,322,1.48088
ENSG00000215788,TNFRSF25,5,-2.4859,27,-0.0061,30,0.88730
ENSG00000171680,PLEKHG5,4,-2.5499,27,0.12946,27,0.78125
ENSG00000162408,NOL9,24,-0.1811,25,-0.1672,28,0.19453
ENSG00000204859,ZBTB48,12,0.17596,13,0.29146,10,-0.2668
ENSG00000162413,KLHL21,65,0.72112,62,0.65382,36,-0.8023
ENSG00000116273,PHF13,18,0.20489,17,0.17094,15,-0.2133
ENSG00000041988,THAP3,21,0.07361,18,-0.1209,20,0.02365
