Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to8,Feature log2 fold change topic 2to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,9,-2.2027,49,1.47956,15,-1.4426,28,-0.5536
ENSG00000188976,NOC2L,50,-0.0233,57,0.72203,26,-1.0322,28,-0.9011
ENSG00000188290,HES4,20,-0.8038,31,-0.3972,38,0.19641,64,1.05927
ENSG00000187608,ISG15,14,-1.1302,30,0.13791,28,-0.0754,40,0.51010
ENSG00000188157,AGRN,16,-0.2156,18,0.00801,18,-0.0103,20,0.18511
ENSG00000078808,SDF4,54,-0.4101,72,0.10642,64,-0.1336,81,0.23454
ENSG00000176022,B3GALT6,11,-1.2634,27,0.43474,26,0.07173,22,-0.1341
ENSG00000160087,UBE2J2,33,-0.3193,45,0.62160,21,-0.9907,34,-0.2930
ENSG00000131584,ACAP3,113,0.16669,105,0.16469,69,-0.6074,100,-0.0368
ENSG00000127054,INTS11,35,-0.1148,41,0.45855,33,-0.1881,21,-0.9104
ENSG00000224051,CPTP,20,-0.2771,26,0.27579,15,-0.7016,28,0.20457
ENSG00000107404,DVL1,50,-0.2333,58,-0.0085,74,0.39027,51,-0.2077
ENSG00000175756,AURKAIP1,87,-0.8598,163,0.36715,208,0.51878,82,-0.9501
ENSG00000221978,CCNL2,107,0.66023,66,-0.3629,68,-0.0907,80,0.17516
ENSG00000242485,MRPL20,124,-0.5254,186,0.38439,187,0.12669,116,-0.6222
ENSG00000235098,ANKRD65,21,-0.4760,29,0.06740,45,0.74055,17,-0.8066
ENSG00000179403,VWA1,94,2.49854,12,-2.0674,50,1.20567,12,-0.9987
ENSG00000205090,TMEM240,16,-1.1290,39,1.14545,12,-1.4591,24,-0.4523
ENSG00000160075,SSU72,95,-0.9907,207,0.85518,139,-0.3935,108,-0.7845
ENSG00000228594,FNDC10,9,-1.9398,41,1.02000,24,-0.5379,26,-0.4497
ENSG00000272106,AL691432.2,29,0.19944,25,-0.1338,22,-0.2706,32,0.32730
ENSG00000197530,MIB2,43,0.30889,34,-0.0982,27,-0.4045,41,0.24089
ENSG00000248333,CDK11B,76,1.29167,24,-1.2968,11,-1.7021,95,1.70584
ENSG00000189339,SLC35E2B,10,-0.6942,19,0.72513,16,-0.0218,7,-1.3067
ENSG00000215790,SLC35E2A,2,-3.0136,21,0.15528,36,0.91064,19,-0.1410
ENSG00000008130,NADK,21,-0.3919,29,0.49200,28,0.07663,13,-1.0596
ENSG00000078369,GNB1,227,-1.4186,620,0.46535,715,0.37209,405,-0.5343
ENSG00000187730,GABRD,23,-3.1019,234,1.75080,67,-1.5532,117,-0.7075
ENSG00000067606,PRKCZ,158,-0.7613,306,1.10684,175,-0.5967,92,-1.5728
ENSG00000162585,FAAP20,45,0.04268,44,-0.0341,43,-0.0354,46,0.07070
ENSG00000157933,SKI,31,-0.6530,39,-0.7734,60,0.37081,110,1.43655
ENSG00000157916,RER1,58,-0.0403,60,0.07715,69,0.23946,45,-0.4458
