Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to6,Feature log2 fold change topic 3to6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,12,-1.6891,9,-2.1239,49,0.75074,58,0.87675,16,-1.2685,14,-1.4211,37,0.01292
ENSG00000188976,NOC2L,12,-1.8639,18,-1.2317,65,1.21762,45,0.14794,33,-0.3197,22,-0.9264,18,-1.2605
ENSG00000188290,HES4,196,2.88937,16,-1.4237,19,-1.4631,15,-1.6700,24,-0.8047,35,-0.2462,78,1.03038
ENSG00000188157,AGRN,12,-1.2020,11,-1.3091,27,0.06495,21,-0.3460,47,0.94282,50,1.05160,18,-0.5557
ENSG00000078808,SDF4,12,-2.1627,33,-0.6293,59,0.35774,36,-0.5705,47,-0.1034,58,0.23408,97,1.07656
ENSG00000160087,UBE2J2,12,-1.3179,14,-1.0858,35,0.48441,23,-0.3582,24,-0.2831,43,0.67892,34,0.31273
ENSG00000131584,ACAP3,38,-1.0240,128,0.88259,71,-0.0932,84,0.22591,32,-1.3062,115,0.70833,51,-0.5712
ENSG00000127054,INTS11,12,-1.7001,42,0.20402,48,0.68401,29,-0.3926,25,-0.5591,28,-0.4011,44,0.29816
ENSG00000107404,DVL1,12,-2.0208,32,-0.5428,47,0.04217,31,-0.6248,55,0.30989,102,1.33406,52,0.21028
ENSG00000175756,AURKAIP1,228,0.81783,32,-2.2160,183,0.70708,67,-1.1843,98,-0.5391,132,-0.0719,161,0.24744
ENSG00000221978,CCNL2,204,1.67591,93,0.32764,55,-0.6782,77,0.01725,29,-1.4831,54,-0.5264,84,0.15446
ENSG00000242485,MRPL20,358,1.42347,77,-1.0700,171,0.24726,89,-0.9182,143,-0.1114,124,-0.3341,128,-0.2932
