Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to11,Feature log2 fold change topic 5to11
ENSG00000228794,LINC01128,11,-1.6160,28,-0.1312,36,0.88528
ENSG00000188976,NOC2L,25,-0.8573,17,-1.4188,53,1.32244
ENSG00000188290,HES4,25,-0.9721,53,0.32178,47,0.28592
ENSG00000187608,ISG15,27,-0.2392,34,0.15916,31,0.04002
ENSG00000188157,AGRN,24,0.12165,12,-0.9903,25,0.44745
ENSG00000078808,SDF4,65,0.46185,33,-0.7001,51,0.05622
ENSG00000176022,B3GALT6,11,-0.8759,14,-0.4786,22,0.81200
ENSG00000160087,UBE2J2,22,-0.5512,19,-0.7899,37,0.81190
ENSG00000131584,ACAP3,44,-0.3164,58,0.16944,53,0.07698
ENSG00000127054,INTS11,34,-0.0177,25,-0.5081,37,0.31251
ENSG00000224051,CPTP,5,-1.2235,10,-0.3488,14,0.89175
ENSG00000107404,DVL1,36,0.00345,55,0.82212,30,-0.6006
ENSG00000175756,AURKAIP1,122,-0.5808,184,0.12469,182,0.25115
ENSG00000221978,CCNL2,51,0.00330,31,-0.8372,56,0.46497
ENSG00000242485,MRPL20,110,-0.5352,166,0.17293,158,0.19292
ENSG00000235098,ANKRD65,30,0.18862,31,0.21379,25,-0.2643
ENSG00000179403,VWA1,133,4.06171,14,-1.2008,6,-3.6263
ENSG00000205090,TMEM240,2,-3.2230,21,-0.0549,28,1.19745
ENSG00000160075,SSU72,58,-1.4103,150,0.17384,155,0.57251
ENSG00000228594,FNDC10,4,-2.3419,32,1.05004,18,0.04076
ENSG00000272106,AL691432.2,16,0.33709,11,-0.2670,13,-0.0707
ENSG00000197530,MIB2,19,-0.6889,32,0.18048,30,0.26477
ENSG00000248333,CDK11B,43,0.03014,30,-0.5563,45,0.30520
ENSG00000189339,SLC35E2B,10,-0.6565,16,0.09727,16,0.30925
ENSG00000008128,CDK11A,34,0.81904,14,-0.7332,20,-0.2196
ENSG00000215790,SLC35E2A,17,-0.5483,22,-0.0609,25,0.36367
ENSG00000008130,NADK,11,-0.8339,19,0.08953,20,0.40079
ENSG00000078369,GNB1,228,-1.0123,577,0.58994,427,0.08648
ENSG00000187730,GABRD,7,-4.4744,86,-0.7503,184,1.97921
ENSG00000067606,PRKCZ,83,-1.1764,195,0.25566,186,0.42054
ENSG00000162585,FAAP20,28,-0.0034,44,0.83711,23,-0.6087
ENSG00000157933,SKI,33,0.64932,29,0.44528,18,-0.7539
ENSG00000157916,RER1,46,-0.1924,36,-0.6053,57,0.48259
ENSG00000157911,PEX10,30,0.57727,27,0.40162,18,-0.6683
ENSG00000149527,PLCH2,18,0.68862,14,0.14578,10,-0.5821
ENSG00000157881,PANK4,9,-0.6354,6,-1.2626,17,1.10485
ENSG00000157870,PRXL2B,9,-1.6593,31,0.23643,31,0.60420
ENSG00000177133,PRDM16-DT,13,-0.4115,35,1.45523,12,-0.9330
ENSG00000158109,TPRG1L,38,-2.0345,147,0.12957,161,0.80067
ENSG00000116213,WRAP73,13,0.22883,5,-1.3865,13,0.51998
ENSG00000130764,LRRC47,28,-0.9258,36,-0.4854,57,0.84214
ENSG00000116198,CEP104,57,1.53452,11,-1.3645,22,-0.6403
ENSG00000198912,C1orf174,12,0.03525,9,-0.3196,12,0.17133
ENSG00000196581,AJAP1,12,-1.6795,25,-0.4863,42,1.17663
ENSG00000069424,KCNAB2,30,-2.4093,168,0.33211,162,0.71106
ENSG00000116254,CHD5,42,-2.1936,156,-0.0953,203,1.03113
ENSG00000116251,RPL22,813,0.79879,743,0.62177,388,-1.0016
ENSG00000116237,ICMT,13,-1.3879,17,-0.9787,40,1.38420
ENSG00000097021,ACOT7,28,-3.1763,111,-1.0808,296,2.08002
ENSG00000171680,PLEKHG5,2,-2.7115,15,-0.0745,20,1.12973
ENSG00000162408,NOL9,22,0.22742,18,-0.1501,19,-0.0598
ENSG00000162413,KLHL21,27,0.61707,14,-0.4720,18,-0.1758
ENSG00000041988,THAP3,17,0.23506,13,-0.1832,14,-0.0457
ENSG00000007923,DNAJC11,26,-0.0559,21,-0.3993,29,0.27800
ENSG00000171735,CAMTA1,118,-1.5975,307,-0.0483,374,0.81410
ENSG00000049245,VAMP3,132,2.97978,20,-1.0445,15,-2.2718
ENSG00000049246,PER3,57,1.12569,28,-0.1856,25,-0.7496
ENSG00000116288,PARK7,218,-0.7574,356,0.07881,372,0.37222
ENSG00000116285,ERRFI1,23,0.23070,9,-1.1974,22,0.44842
ENSG00000162426,SLC45A1,6,-2.3224,16,-0.8654,37,1.68107
ENSG00000142599,RERE,125,0.42227,80,-0.3675,97,-0.0789
ENSG00000074800,ENO1,561,0.14920,480,-0.1280,513,-0.0190
ENSG00000171612,SLC25A33,32,-0.0218,57,1.03436,26,-0.7632
ENSG00000171603,CLSTN1,177,-1.9362,324,-0.9967,780,1.63846
ENSG00000178585,CTNNBIP1,32,0.07988,31,0.02140,30,-0.0656
ENSG00000162441,LZIC,89,1.08911,39,-0.4089,42,-0.6014
ENSG00000130939,UBE4B,31,-0.3344,14,-1.6312,46,1.04596
ENSG00000054523,KIF1B,424,0.60491,241,-0.4044,289,-0.2004
ENSG00000142657,PGD,46,-0.1226,29,-0.8492,56,0.56010
ENSG00000175279,CENPS,7,-1.1444,19,0.55596,14,0.16506
ENSG00000241563,CORT,149,1.21081,22,-2.0663,76,-0.1623
ENSG00000160049,DFFA,60,0.37348,41,-0.2972,48,-0.0807
ENSG00000142655,PEX14,11,-0.8257,10,-0.9646,23,1.07273
ENSG00000120948,TARDBP,110,0.64493,56,-0.5444,74,-0.1625
