Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to10,Feature log2 fold change topic 8to10
ENSG00000188976,NOC2L,58,-0.2558,42,-0.8424,63,-0.1323,109,0.88764,37,-0.9499,75,0.19945
ENSG00000078808,SDF4,162,1.16261,92,0.22332,81,0.00779,85,0.09317,38,-1.1489,58,-0.6361
ENSG00000160087,UBE2J2,48,-0.4113,105,1.00126,60,-0.0728,85,0.58103,32,-1.0189,35,-1.0686
ENSG00000131584,ACAP3,147,-0.0760,123,-0.3986,80,-1.0201,168,0.15928,393,1.62243,113,-0.6023
ENSG00000127054,INTS11,73,0.44043,76,0.59173,101,0.99991,49,-0.2174,48,-0.2172,27,-1.2880
ENSG00000107404,DVL1,98,0.79645,19,-1.8698,16,-1.9613,93,0.81491,160,1.69087,35,-0.9947
ENSG00000175756,AURKAIP1,167,0.82612,33,-1.8061,132,0.43542,138,0.58116,124,0.32845,82,-0.4135
ENSG00000221978,CCNL2,63,-0.1898,146,1.46842,44,-0.7588,61,-0.2687,34,-1.1307,52,-0.5988
ENSG00000242485,MRPL20,153,0.53021,89,-0.3820,154,0.53949,142,0.45620,97,-0.2156,81,-0.6119
ENSG00000235098,ANKRD65,59,0.24311,48,-0.0776,93,1.02192,72,0.67437,33,-0.6658,26,-1.1967
ENSG00000179403,VWA1,275,2.14720,161,1.33963,102,0.33904,46,-0.9884,19,-2.2502,6,-4.0823
ENSG00000160075,SSU72,94,-0.7566,118,-0.4509,227,0.64719,232,0.79530,166,0.12583,115,-0.5639
ENSG00000228594,FNDC10,21,-1.2317,21,-1.3402,43,-0.1465,94,1.39345,86,0.99467,31,-0.8134
ENSG00000197530,MIB2,80,0.54503,41,-0.5752,50,-0.2283,84,0.71468,106,1.01729,30,-1.2170
ENSG00000248333,CDK11B,30,-1.6935,101,0.17718,52,-0.8652,61,-0.7022,133,0.60474,126,0.70439
ENSG00000008128,CDK11A,12,-2.3668,93,0.94916,27,-1.1393,41,-0.5637,54,-0.0936,70,0.43207
ENSG00000078369,GNB1,516,0.41303,135,-1.7806,243,-0.7803,497,0.40026,535,0.47274,482,0.39768
ENSG00000187730,GABRD,0,-8.6268,12,-3.8356,40,-1.9812,277,1.27057,202,0.52069,216,0.88280
ENSG00000067606,PRKCZ,157,-0.5222,227,0.06720,98,-1.2468,379,1.07888,187,-0.2493,179,-0.4026
ENSG00000162585,FAAP20,49,-0.0648,55,0.10733,53,0.04342,40,-0.4446,132,1.62009,31,-0.9721
ENSG00000157933,SKI,135,0.75660,26,-1.9359,34,-1.4126,76,-0.2018,162,1.07343,106,0.46999
ENSG00000157916,RER1,102,0.92602,61,0.08167,109,1.04924,76,0.50584,14,-2.1631,27,-1.3570
ENSG00000157870,PRXL2B,4,-3.6667,9,-2.7869,67,0.29166,105,1.25273,104,1.03947,52,-0.1588
ENSG00000177133,PRDM16-DT,9,-2.4989,1,-5.2895,226,3.04089,47,0.02111,60,0.40836,26,-1.1080
ENSG00000158109,TPRG1L,95,-0.6420,33,-2.3785,81,-0.8946,292,1.44306,113,-0.3828,167,0.31706
ENSG00000130764,LRRC47,79,-0.1482,108,0.40828,65,-0.4635,106,0.36500,62,-0.5279,78,-0.2119
ENSG00000116198,CEP104,50,-0.0747,68,0.47274,23,-1.2274,51,-0.0595,60,0.22859,51,-0.0482
ENSG00000196581,AJAP1,0,-7.2974,29,-1.1404,16,-1.9814,51,-0.2269,59,0.03401,115,1.75895
ENSG00000069424,KCNAB2,124,-0.4076,70,-1.3827,85,-0.9834,317,1.38501,167,0.06889,151,-0.1214
ENSG00000116254,CHD5,49,-3.3125,280,-0.7890,142,-1.7403,374,-0.3016,871,1.13668,688,1.02239
ENSG00000116251,RPL22,666,1.11045,325,-0.1031,291,-0.2649,289,-0.3102,400,0.24291,286,-0.3697
ENSG00000116237,ICMT,45,0.27890,18,-1.1829,37,-0.0060,44,0.30897,32,-0.2462,45,0.39401
ENSG00000097021,ACOT7,90,0.15271,30,-1.6585,0,-8.0787,198,1.91405,28,-1.6450,81,-0.0216
ENSG00000171680,PLEKHG5,2,-4.3173,32,-0.8260,39,-0.4521,79,0.79731,75,0.57893,61,0.33269
ENSG00000162408,NOL9,91,1.00573,24,-1.2321,24,-1.1422,41,-0.3461,68,0.50141,62,0.47447
ENSG00000007923,DNAJC11,22,-1.2899,46,-0.2002,64,0.35763,68,0.53930,48,-0.1130,50,-0.0446
