Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,22,-0.3161,1,-4.6475,7,-1.9383,21,-0.4067,52,1.10677,47,1.10758,30,0.15080,21,-0.4451
ENSG00000188976,NOC2L,15,-1.4087,17,-1.2120,41,0.14274,5,-2.9966,62,0.81328,52,0.60498,40,0.08419,47,0.39073
ENSG00000188290,HES4,33,-0.1662,24,-0.6396,7,-2.3681,10,-1.9580,56,0.68652,38,0.06553,82,1.37105,39,0.10723
ENSG00000187608,ISG15,43,0.42128,56,0.86817,15,-1.1658,11,-1.6060,8,-2.0758,34,0.04181,42,0.37668,43,0.51362
ENSG00000188157,AGRN,22,-0.0385,25,0.13621,23,-0.0143,2,-3.4425,27,0.26078,29,0.42014,21,-0.1370,26,0.21087
ENSG00000078808,SDF4,38,-0.8055,62,-0.0564,67,0.05245,6,-3.4007,101,0.72793,64,-0.0016,146,1.39302,48,-0.5158
ENSG00000160087,UBE2J2,35,-0.0746,20,-0.8865,22,-0.7993,12,-1.6068,33,-0.1453,45,0.39286,73,1.15619,39,0.13807
ENSG00000131584,ACAP3,65,-0.3362,41,-1.0489,55,-0.6105,24,-1.8511,172,1.27492,82,0.02024,104,0.40853,92,0.23839
ENSG00000127054,INTS11,38,-0.1668,39,-0.1092,39,-0.1170,10,-2.1890,51,0.31668,54,0.45743,48,0.20212,44,0.08317
ENSG00000107404,DVL1,25,-1.4286,36,-0.8931,39,-0.7554,29,-1.1949,42,-0.6310,71,0.18757,123,1.09740,101,0.88078
ENSG00000175756,AURKAIP1,70,-0.9509,138,0.11228,87,-0.6229,59,-1.2054,92,-0.5318,167,0.48340,140,0.13736,184,0.67940
ENSG00000221978,CCNL2,79,0.64569,57,0.09016,66,0.33813,13,-2.0909,76,0.58091,54,0.00562,60,0.19763,38,-0.6021
ENSG00000242485,MRPL20,75,-0.7367,119,-0.0187,102,-0.2638,94,-0.3913,99,-0.3125,148,0.37943,118,-0.0323,151,0.41758
ENSG00000235098,ANKRD65,25,0.37430,21,0.15039,39,1.16290,0,-4.8984,12,-0.7869,20,0.08737,19,-0.0257,19,-0.0675
ENSG00000179403,VWA1,51,-0.2007,134,1.42995,256,2.81088,11,-2.5304,9,-2.7850,11,-2.6779,58,-0.0110,20,-1.6944
ENSG00000205090,TMEM240,5,-1.9412,12,-0.6259,4,-2.2182,5,-1.8984,12,-0.6251,42,1.67722,16,-0.2522,24,0.45800
ENSG00000160075,SSU72,55,-1.2355,59,-1.1297,70,-0.8642,27,-2.2948,162,0.46161,173,0.66393,200,0.82134,150,0.38727
ENSG00000228594,FNDC10,7,-1.5569,8,-1.4897,5,-2.0942,7,-1.6835,16,-0.4392,39,1.16268,13,-0.7547,40,1.23460
ENSG00000197530,MIB2,20,-0.8079,31,-0.1301,18,-0.9341,0,-5.3629,23,-0.5854,54,0.92120,55,0.79685,40,0.32477
ENSG00000248333,CDK11B,94,1.24213,61,0.48488,40,-0.1728,75,0.84644,19,-1.3080,38,-0.3039,11,-2.1027,37,-0.3446
ENSG00000008128,CDK11A,66,1.46263,32,0.24245,32,0.21889,22,-0.3924,53,1.06504,16,-0.9672,21,-0.4665,11,-1.5154
ENSG00000008130,NADK,17,-0.3471,22,0.06004,8,-1.3653,16,-0.4043,24,0.21451,33,0.85873,23,0.12333,17,-0.3607
ENSG00000078369,GNB1,145,-1.8584,221,-1.2272,268,-0.9329,471,-0.0546,427,-0.2105,577,0.31225,539,0.16326,824,1.03130
ENSG00000187730,GABRD,0,-6.8143,1,-5.7812,9,-3.4728,36,-1.5088,103,0.12030,272,2.38866,17,-2.5527,123,0.46252
ENSG00000067606,PRKCZ,40,-2.1727,85,-1.0796,87,-1.0398,81,-1.1408,140,-0.3095,259,0.80435,166,-0.0340,292,1.06026
ENSG00000162585,FAAP20,39,-0.0264,51,0.41016,43,0.13077,6,-2.6738,23,-0.8398,24,-0.8837,41,0.06086,73,1.20596
ENSG00000157933,SKI,47,0.33709,20,-1.0055,32,-0.2564,75,1.15551,12,-1.6995,27,-0.5500,66,0.93005,35,-0.1170
ENSG00000157916,RER1,40,-0.4022,67,0.41300,60,0.22383,23,-1.2278,53,0.04390,79,0.80693,58,0.18875,29,-0.9588
ENSG00000157911,PEX10,28,-0.0223,62,1.32634,8,-1.9287,20,-0.5630,9,-1.6862,30,0.08565,34,0.32084,31,0.17615
ENSG00000157870,PRXL2B,7,-2.5602,14,-1.6309,18,-1.2700,13,-1.6886,29,-0.4963,52,0.47596,72,0.94395,74,1.18483
ENSG00000177133,PRDM16-DT,15,-0.8681,11,-1.3140,1,-4.5818,14,-1.0318,13,-1.1271,9,-1.7353,106,2.50351,46,1.03603
ENSG00000158109,TPRG1L,23,-2.8009,34,-2.2435,21,-2.9450,103,-0.5797,160,0.11214,270,1.18091,134,-0.1693,238,0.90635
ENSG00000130764,LRRC47,42,-0.6342,63,0.01167,34,-0.9509,15,-2.1784,72,0.23147,116,1.23284,33,-0.9746,67,0.13281
ENSG00000116198,CEP104,106,1.43247,43,-0.0898,80,0.94217,56,0.33203,34,-0.4439,23,-1.1120,21,-1.1574,34,-0.5082
ENSG00000196581,AJAP1,33,-0.3733,14,-1.6755,26,-0.7593,51,0.27835,61,0.57567,76,1.14205,23,-0.9530,33,-0.4453
ENSG00000069424,KCNAB2,1,-6.5690,16,-3.1989,23,-2.6812,127,-0.1417,145,0.07289,252,1.18934,145,0.07223,212,0.81863
ENSG00000116254,CHD5,33,-2.7004,17,-3.6061,21,-3.3187,345,0.92369,412,1.23910,269,0.58199,131,-0.6509,240,0.35963
ENSG00000116251,RPL22,584,-0.1618,1210,1.05054,816,0.37930,620,-0.0676,394,-0.7726,422,-0.7334,681,0.08360,657,0.02971
ENSG00000116237,ICMT,8,-1.9969,29,-0.0539,27,-0.1620,18,-0.7628,28,-0.1073,44,0.74101,28,-0.0695,36,0.34096
ENSG00000097021,ACOT7,14,-3.2068,28,-2.2024,53,-1.2693,12,-3.3603,125,0.06022,307,2.05910,64,-0.9704,146,0.35316
