Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,30,-0.3583,46,0.34444,23,-0.7581,50,0.76224,8,-2.2918,37,-0.0215
ENSG00000188976,NOC2L,39,-0.3871,31,-0.7257,35,-0.5379,65,0.76631,26,-0.9818,59,0.30668
ENSG00000188290,HES4,30,-0.1692,20,-0.7833,45,0.50474,38,0.38694,21,-0.6652,29,-0.1667
ENSG00000187608,ISG15,26,-0.8480,14,-1.7505,55,0.38477,50,0.33090,107,1.52615,9,-2.3821
ENSG00000078808,SDF4,33,-0.5980,44,-0.0692,75,0.78151,57,0.50612,33,-0.5424,21,-1.2409
ENSG00000176022,B3GALT6,15,-0.5119,16,-0.3643,16,-0.3125,28,0.89227,11,-0.8938,16,-0.3579
ENSG00000160087,UBE2J2,32,0.06714,28,-0.1796,28,-0.1772,36,0.39602,12,-1.3775,33,0.08337
ENSG00000131584,ACAP3,57,-0.2764,76,0.21004,51,-0.4240,71,0.17798,43,-0.6824,96,0.59666
ENSG00000127054,INTS11,25,-0.5613,24,-0.5613,41,0.26925,47,0.78543,12,-1.5693,33,-0.0614
ENSG00000224051,CPTP,19,0.12102,7,-1.2976,33,1.00821,18,-0.0450,12,-0.5724,18,-0.0278
ENSG00000107404,DVL1,56,0.30859,46,-0.0210,67,0.57013,48,0.03164,28,-0.7821,27,-0.8699
ENSG00000175756,AURKAIP1,83,-0.4669,58,-0.9789,133,0.32650,157,1.05007,59,-0.9478,40,-1.5399
ENSG00000221978,CCNL2,38,-0.5526,71,0.47365,57,0.11773,53,0.01233,28,-0.9494,83,0.74146
ENSG00000242485,MRPL20,105,-0.0398,63,-0.8320,137,0.38263,123,0.33516,74,-0.5910,101,-0.1058
ENSG00000235098,ANKRD65,16,-0.4375,6,-1.9575,39,0.98850,32,1.11326,3,-2.7131,6,-1.9201
ENSG00000205090,TMEM240,26,-0.2520,37,0.35591,24,-0.3537,30,0.05799,17,-0.8323,46,0.70758
ENSG00000160075,SSU72,84,-0.6060,96,-0.3414,121,0.01694,177,1.12690,54,-1.2265,46,-1.4498
ENSG00000228594,FNDC10,29,0.11814,7,-1.9873,24,-0.2141,39,1.00436,1,-4.0085,25,-0.1179
ENSG00000272106,AL691432.2,15,-0.3447,25,0.49488,27,0.58463,24,0.59477,4,-2.1796,6,-1.7645
ENSG00000197530,MIB2,27,-0.1263,31,0.10894,35,0.30285,34,0.40865,9,-1.7976,25,-0.2464
ENSG00000248333,CDK11B,56,-0.1398,77,0.39037,22,-1.5607,42,-0.8008,103,0.86854,126,1.22541
ENSG00000189339,SLC35E2B,20,-0.6275,31,0.14575,31,0.12373,39,0.82295,7,-2.1314,22,-0.4056
ENSG00000008128,CDK11A,18,-0.7730,26,-0.0945,16,-0.8779,11,-1.8136,45,0.77610,113,2.59599
ENSG00000008130,NADK,25,0.08640,18,-0.4321,31,0.42606,25,0.09026,22,-0.1208,18,-0.4246
ENSG00000078369,GNB1,504,0.07234,322,-0.6410,590,0.31870,604,0.57940,275,-0.8815,231,-1.1488
ENSG00000187730,GABRD,147,-0.3714,114,-0.7220,104,-0.8706,275,1.21458,23,-3.0783,176,-0.0443
ENSG00000067606,PRKCZ,232,0.41370,147,-0.3602,119,-0.6941,226,0.50867,58,-1.7766,163,-0.2025
ENSG00000162585,FAAP20,40,0.16051,3,-3.3906,51,0.53385,44,0.48871,38,0.04431,17,-1.1906
ENSG00000157933,SKI,75,0.59231,75,0.50585,65,0.28668,31,-1.1773,51,-0.1144,82,0.66607
ENSG00000157916,RER1,32,-0.3562,20,-1.0380,61,0.71542,50,0.60988,31,-0.3903,19,-1.1235
ENSG00000157911,PEX10,11,-0.7445,11,-0.7004,38,1.32315,19,0.29802,17,0.03323,6,-1.5692
ENSG00000157870,PRXL2B,43,-0.0357,19,-1.3041,44,-0.0061,61,0.86630,26,-0.8325,24,-0.9630
ENSG00000177133,PRDM16-DT,21,-0.2191,5,-2.2478,97,2.63438,14,-1.0863,14,-0.7774,22,-0.1282
ENSG00000158109,TPRG1L,121,-0.4737,126,-0.3627,115,-0.5134,249,1.32340,42,-2.0077,69,-1.2867
ENSG00000130764,LRRC47,43,-0.6974,66,0.04898,82,0.39571,88,0.87499,22,-1.6221,32,-1.0518
ENSG00000116198,CEP104,41,-0.0790,52,0.30723,18,-1.3475,27,-0.9697,82,1.07289,88,1.19242
ENSG00000196581,AJAP1,60,0.14283,131,1.47109,21,-1.4644,51,-0.2001,28,-1.0631,51,-0.1368
ENSG00000069424,KCNAB2,108,-0.4460,142,0.02506,152,0.13077,195,0.92227,51,-1.5556,56,-1.4038
ENSG00000116254,CHD5,448,0.43121,392,0.15765,175,-1.0948,298,-0.3969,81,-2.2527,815,1.42067
ENSG00000116251,RPL22,395,-0.0099,331,-0.2876,429,0.12471,401,0.02067,680,0.89276,139,-1.6087
ENSG00000116237,ICMT,23,-0.5729,32,-0.0303,37,0.20070,45,0.87048,8,-2.0002,22,-0.5971
ENSG00000097021,ACOT7,73,-1.2067,137,-0.1430,69,-1.1908,263,1.81192,17,-3.2067,78,-1.0217
