Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to12,Feature log2 fold change topic 7to12
ENSG00000228794,LINC01128,58,0.72761,14,-1.4361,11,-1.8065,22,-0.8126,40,0.14558,45,0.69237
ENSG00000188976,NOC2L,58,0.35297,21,-1.2130,20,-1.2234,31,-0.6345,33,-0.5280,60,0.87619
ENSG00000188290,HES4,58,0.18427,54,0.07726,32,-0.7115,101,1.27751,32,-0.7157,40,-0.6618
ENSG00000187608,ISG15,58,-0.3037,150,1.23894,89,0.37141,123,1.02977,31,-1.2337,45,-1.0718
ENSG00000188157,AGRN,58,1.14068,34,0.25422,12,-1.2331,28,-0.0150,29,0.02911,26,-0.3019
ENSG00000078808,SDF4,58,-0.0374,54,-0.1387,30,-1.0177,72,0.33540,55,-0.1200,62,0.11948
ENSG00000160087,UBE2J2,58,0.86497,14,-1.2833,29,-0.2412,42,0.38571,24,-0.5047,33,-0.0972
ENSG00000131584,ACAP3,66,-0.1410,85,0.27224,37,-1.0016,84,0.28196,167,1.39321,56,-0.6264
ENSG00000127054,INTS11,58,0.71041,35,-0.0748,20,-0.9063,35,-0.0845,44,0.27753,36,-0.0758
ENSG00000107404,DVL1,58,0.29060,10,-2.2457,62,0.40191,81,0.95071,41,-0.2595,41,-0.4389
ENSG00000175756,AURKAIP1,58,-1.4525,75,-1.0575,174,0.23203,232,0.78743,66,-1.2473,161,0.20831
ENSG00000221978,CCNL2,58,-0.0765,77,0.36859,26,-1.2846,35,-0.8886,102,0.84421,66,0.24187
ENSG00000242485,MRPL20,85,-1.0523,59,-1.5822,170,0.01128,223,0.50414,101,-0.7862,193,0.42758
ENSG00000235098,ANKRD65,58,1.07050,55,0.97481,10,-1.6161,39,0.49448,6,-2.3310,25,-0.4554
ENSG00000205090,TMEM240,58,1.38706,4,-2.5547,6,-2.1452,25,0.03111,21,-0.2229,26,0.17672
ENSG00000160075,SSU72,58,-1.4588,66,-1.2583,136,-0.1684,196,0.46107,111,-0.4831,175,0.46326
ENSG00000228594,FNDC10,58,0.87597,7,-2.3257,46,0.51179,51,0.77371,13,-1.4381,29,-0.3643
ENSG00000197530,MIB2,58,0.93447,27,-0.2576,22,-0.5876,39,0.32347,22,-0.5607,30,-0.1962
ENSG00000248333,CDK11B,58,0.00989,134,1.40077,60,0.06540,52,-0.1519,111,1.06973,37,-1.0682
ENSG00000008128,CDK11A,58,0.54245,95,1.38107,91,1.30839,22,-0.9891,71,0.88535,22,-1.4164
ENSG00000215790,SLC35E2A,58,1.04157,22,-0.5064,49,0.75902,37,0.33680,20,-0.6061,24,-0.6400
ENSG00000008130,NADK,58,1.29040,16,-0.7290,26,-0.0286,29,0.19094,14,-0.9586,24,-0.2678
