Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to8,Feature log2 fold change topic 4to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,18,-0.9943,18,-1.0134,35,0.04287,43,0.75590,30,-0.2129,26,-0.4185
ENSG00000188976,NOC2L,20,-0.8743,32,-0.1567,41,0.22838,44,0.67837,25,-0.5353,18,-1.0658
ENSG00000188290,HES4,59,-0.1527,118,1.00382,24,-1.4854,71,0.29118,64,-0.0254,26,-1.4136
ENSG00000187608,ISG15,67,0.37907,76,0.60885,23,-1.2904,51,-0.0615,84,0.76384,19,-1.5181
ENSG00000188157,AGRN,27,-0.0595,23,-0.2593,30,0.12245,33,0.50369,18,-0.6665,16,-0.8259
ENSG00000131591,C1orf159,10,-0.0327,4,-1.3878,20,1.01064,12,0.34876,3,-1.6522,9,-0.2752
ENSG00000078808,SDF4,80,0.13792,82,0.17800,104,0.57846,72,-0.0425,61,-0.2791,44,-0.7849
ENSG00000176022,B3GALT6,11,-1.1865,22,-0.2056,11,-1.1760,34,1.05679,16,-0.6251,19,-0.4308
ENSG00000160087,UBE2J2,41,0.03218,38,-0.0781,35,-0.1841,44,0.27562,45,0.19906,21,-0.9915
ENSG00000162572,SCNN1D,11,0.32957,11,0.32398,14,0.62667,10,0.16757,5,-0.9739,2,-2.0349
ENSG00000131584,ACAP3,59,-0.2681,73,0.05608,99,0.55443,76,0.23099,48,-0.5918,44,-0.7226
ENSG00000169972,PUSL1,1,-2.6439,15,0.59701,7,-0.6296,14,1.05350,7,-0.6495,3,-1.8134
ENSG00000127054,INTS11,46,-0.0993,38,-0.3925,54,0.13972,55,0.32575,44,-0.1618,35,-0.5100
ENSG00000224051,CPTP,15,-0.7195,29,0.32066,16,-0.6625,30,0.70951,19,-0.3777,12,-1.0770
ENSG00000107404,DVL1,50,0.10826,68,0.61305,46,-0.0272,48,0.09783,43,-0.1250,18,-1.4128
ENSG00000175756,AURKAIP1,108,-0.8699,221,0.25961,142,-0.4512,197,0.13242,230,0.31876,199,0.08575
ENSG00000221978,CCNL2,80,0.13264,64,-0.2309,61,-0.3058,86,0.45616,67,-0.1525,39,-0.9841
ENSG00000224870,MRPL20-AS1,12,0.49843,6,-0.6183,4,-0.9780,10,0.30493,6,-0.6115,11,0.33605
ENSG00000242485,MRPL20,148,-0.4980,187,-0.1299,125,-0.7572,202,-0.0152,253,0.35983,307,0.67929
ENSG00000235098,ANKRD65,33,0.25838,37,0.46485,17,-0.7672,26,-0.1216,24,-0.1972,34,0.31132
ENSG00000179403,VWA1,113,2.42440,21,-0.5380,48,0.78448,12,-1.8966,20,-0.5982,34,0.21980
ENSG00000160072,ATAD3B,14,0.03588,8,-0.8024,11,-0.4291,18,0.72199,11,-0.4023,8,-0.7616
