Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9to11,Feature log2 fold change topic 9to11
ENSG00000228794,LINC01128,6,-2.3731,6,-2.4218,37,0.28257,24,-0.4181,35,0.15845,36,0.29386,42,0.64306
ENSG00000188976,NOC2L,6,-2.8383,26,-0.7853,29,-0.6027,22,-1.0211,48,0.15401,71,1.10108,44,0.02874
ENSG00000188290,HES4,14,-0.7503,4,-2.4179,46,1.11218,29,0.35086,42,0.97017,25,0.13321,15,-0.7782
ENSG00000187608,ISG15,6,-2.2022,20,-0.5364,19,-0.6151,42,0.65664,71,1.58921,27,-0.0592,22,-0.4040
ENSG00000188157,AGRN,6,-1.7064,27,0.49317,40,1.13809,13,-0.6503,21,0.12890,20,0.06795,16,-0.3621
ENSG00000078808,SDF4,6,-2.8772,49,0.17420,63,0.57512,36,-0.3360,56,0.36885,61,0.67200,31,-0.6421
ENSG00000176022,B3GALT6,86,1.93386,8,-1.8597,11,-1.4492,22,-0.3907,18,-0.6679,36,0.49025,19,-0.7117
ENSG00000160087,UBE2J2,271,3.06918,19,-1.5600,23,-1.2586,43,-0.3231,37,-0.5515,47,-0.2626,18,-1.8412
ENSG00000131584,ACAP3,82,0.38396,42,-0.6614,97,0.67617,72,0.18495,41,-0.6833,86,0.61062,38,-0.9503
ENSG00000127054,INTS11,93,1.11683,43,-0.1341,43,-0.1371,21,-1.2357,42,-0.1847,62,0.57507,30,-0.8230
ENSG00000224051,CPTP,6,-1.2306,11,-0.3198,10,-0.5514,13,-0.1904,10,-0.4682,22,0.98369,13,-0.1908
ENSG00000107404,DVL1,6,-2.7066,26,-0.6249,47,0.27496,87,1.32637,38,-0.0390,50,0.48160,26,-0.7412
ENSG00000175756,AURKAIP1,95,-0.6233,79,-0.8968,87,-0.7651,136,-0.0719,255,0.96329,199,0.71904,105,-0.5778
ENSG00000221978,CCNL2,6,-3.1015,60,0.23949,104,1.16191,27,-1.0001,32,-0.7529,69,0.62031,44,-0.3220
ENSG00000242485,MRPL20,39,-1.7267,89,-0.4926,60,-1.0816,116,-0.0745,272,1.34545,145,0.34914,110,-0.1962
ENSG00000235098,ANKRD65,6,-2.0504,50,1.13028,10,-1.3533,19,-0.3894,42,0.85678,28,0.21880,21,-0.3192
ENSG00000179403,VWA1,6,-2.2545,181,3.69209,22,-0.3898,24,-0.2983,17,-0.7805,13,-1.3841,9,-1.9416
ENSG00000205090,TMEM240,6,-1.8894,3,-2.7323,4,-2.4780,18,-0.3108,27,0.27488,42,1.44481,21,-0.1425
ENSG00000160075,SSU72,307,1.27244,62,-1.2763,73,-1.0408,123,-0.2414,186,0.41601,169,0.33882,106,-0.5667
ENSG00000228594,FNDC10,20,-0.1205,4,-2.2802,5,-2.0170,36,0.81062,29,0.45514,36,1.10302,12,-1.0255
ENSG00000272106,AL691432.2,6,-1.4163,20,0.32334,14,-0.2273,10,-0.7685,17,0.07082,23,0.73938,14,-0.2600
ENSG00000197530,MIB2,6,-1.9944,13,-0.9511,32,0.47479,26,0.09491,33,0.52009,31,0.50655,21,-0.2891
ENSG00000248333,CDK11B,6,-3.0854,64,0.34981,59,0.22656,64,0.35162,26,-1.0415,38,-0.5375,76,0.86472
ENSG00000189339,SLC35E2B,6,-1.3170,10,-0.6756,18,0.25561,29,1.06788,10,-0.6568,19,0.46721,12,-0.3985
ENSG00000008128,CDK11A,6,-1.4599,28,0.85391,37,1.32626,10,-0.8023,14,-0.2919,4,-2.2826,25,0.89039
ENSG00000008130,NADK,218,3.20955,20,-1.0723,12,-1.8491,29,-0.5298,34,-0.3011,29,-0.6558,17,-1.5294
ENSG00000078369,GNB1,302,-0.6695,227,-1.1047,376,-0.3337,648,0.53524,652,0.54503,528,0.25932,442,-0.0999
ENSG00000187730,GABRD,6,-4.2211,1,-6.3744,52,-1.1882,63,-0.8818,141,0.36303,179,1.04385,144,0.52170
ENSG00000067606,PRKCZ,7,-4.6122,86,-0.9702,88,-0.9410,233,0.59111,186,0.22077,245,0.90523,148,-0.1699
ENSG00000162585,FAAP20,6,-2.1014,40,0.71143,15,-0.8458,53,1.19432,58,1.34504,24,-0.1103,13,-1.2377
ENSG00000157933,SKI,6,-2.0482,35,0.54631,55,1.30002,47,1.02251,12,-1.1287,18,-0.5626,22,-0.2771
ENSG00000157916,RER1,6,-2.7718,69,0.83837,41,-0.0103,26,-0.7223,43,0.06927,58,0.72100,31,-0.5010
ENSG00000157911,PEX10,6,-1.5697,27,0.65455,23,0.38015,15,-0.2409,41,1.34625,19,0.10034,10,-1.1013
ENSG00000157870,PRXL2B,6,-2.5190,6,-2.4572,31,-0.1670,37,0.11906,39,0.17808,49,0.72754,38,0.19617
ENSG00000158109,TPRG1L,90,-0.9383,34,-2.3509,73,-1.2418,179,0.12958,179,0.13452,262,1.03299,156,-0.1021
ENSG00000130764,LRRC47,6,-3.4523,52,-0.3533,54,-0.3182,46,-0.5684,67,0.03517,93,0.72754,74,0.22623
ENSG00000116198,CEP104,6,-2.5096,91,1.64683,67,1.10617,27,-0.3597,26,-0.4447,16,-1.3384,37,0.17373
ENSG00000196581,AJAP1,93,0.99211,15,-1.8428,44,-0.2199,23,-1.1752,15,-1.7772,49,-0.0519,73,0.77884
ENSG00000069424,KCNAB2,6,-4.3599,6,-4.3608,106,-0.2410,165,0.47196,118,-0.0743,202,1.10486,116,-0.1143
ENSG00000116254,CHD5,500,1.00801,12,-4.5492,227,-0.2797,344,0.38361,124,-1.1975,238,-0.2517,354,0.55668
ENSG00000116251,RPL22,488,-0.0437,862,0.88709,264,-0.9927,812,0.78595,847,0.85700,352,-0.6644,397,-0.4457
ENSG00000116237,ICMT,6,-2.4357,16,-1.0521,18,-0.8730,38,0.24220,36,0.17933,52,1.03444,29,-0.2309
ENSG00000097021,ACOT7,484,1.41525,37,-2.5927,61,-1.8752,45,-2.2939,129,-0.7441,340,1.08655,174,-0.3530
ENSG00000215788,TNFRSF25,6,-1.2406,0,-8.6146,22,0.68475,4,-1.8849,12,-0.2922,23,1.07981,14,0.02826
ENSG00000171680,PLEKHG5,6,-1.4858,0,-8.8506,18,0.12833,16,-0.0692,23,0.48222,21,0.38789,20,0.38044
ENSG00000162408,NOL9,6,-2.1059,23,-0.2096,41,0.72013,19,-0.4892,31,0.28963,29,0.18890,27,0.06244
ENSG00000162413,KLHL21,6,-2.1135,26,0.00963,35,0.46771,24,-0.1562,30,0.20688,31,0.33745,25,-0.1154
ENSG00000116273,PHF13,6,-1.4426,14,-0.2587,19,0.19964,12,-0.4527,17,0.06021,19,0.32056,18,0.21266
ENSG00000041988,THAP3,6,-1.3116,17,0.22716,0,-5.1567,13,-0.2289,7,-1.1506,25,1.13693,15,0.05260
ENSG00000007923,DNAJC11,6,-2.3768,24,-0.4112,14,-1.1706,37,0.28136,35,0.15609,48,0.94708,28,-0.2447
ENSG00000171735,CAMTA1,705,0.64437,140,-1.8518,458,-0.0534,414,-0.2115,363,-0.4176,380,-0.4213,664,0.72142
ENSG00000049245,VAMP3,6,-2.3011,166,3.33763,21,-0.5518,21,-0.5127,50,0.86011,15,-1.2316,6,-2.6412
ENSG00000049246,PER3,134,1.63820,60,0.24470,129,1.56353,46,-0.1657,34,-0.6373,20,-1.6119,33,-0.8020
ENSG00000116288,PARK7,106,-1.3538,165,-0.6807,169,-0.6466,240,-0.1000,512,1.15299,324,0.49389,216,-0.3221
ENSG00000116285,ERRFI1,6,-1.8870,17,-0.4583,34,0.69265,12,-0.9925,35,0.74397,24,0.18177,23,0.03069
ENSG00000162426,SLC45A1,187,2.80067,7,-2.5683,19,-1.1926,14,-1.6569,21,-1.0055,47,0.24905,22,-1.1517
ENSG00000142599,RERE,128,0.10336,127,0.08534,123,0.02808,159,0.44253,90,-0.4481,97,-0.4142,136,0.24049
ENSG00000074800,ENO1,141,-1.5233,285,-0.4557,389,0.03027,339,-0.1863,645,0.85827,526,0.68142,274,-0.6215
ENSG00000171612,SLC25A33,6,-2.0720,10,-1.3779,41,0.78048,54,1.26153,76,1.88117,14,-1.0259,16,-0.8217
ENSG00000171603,CLSTN1,995,0.50406,122,-2.6926,362,-1.0770,391,-0.9613,393,-0.9539,1085,0.86912,830,0.26648
ENSG00000178585,CTNNBIP1,6,-1.8959,25,0.15382,4,-2.5031,29,0.40746,47,1.22787,35,0.97310,10,-1.3857
ENSG00000162441,LZIC,99,0.76760,138,1.33742,33,-0.9501,72,0.23275,46,-0.4777,36,-0.9656,61,-0.0173
ENSG00000130939,UBE4B,6,-2.7382,46,0.22983,49,0.31310,28,-0.5789,41,0.04102,52,0.55038,38,-0.0997
ENSG00000054523,KIF1B,862,0.81697,804,0.69905,554,0.09158,554,0.09104,281,-0.9582,362,-0.6862,537,0.05271
ENSG00000142657,PGD,113,1.10707,55,-0.0817,45,-0.3912,26,-1.1994,45,-0.3779,74,0.52345,43,-0.5654
ENSG00000241563,CORT,15028,9.67925,4,-8.2891,8,-7.4522,23,-6.0129,14,-6.7366,24,-6.2572,19,-6.6199
ENSG00000160049,DFFA,6,-3.0577,98,1.11105,96,1.06386,75,0.64785,40,-0.3617,32,-0.8171,47,-0.1358
ENSG00000142655,PEX14,6,-1.3422,10,-0.6823,5,-1.7296,18,0.20724,23,0.66176,18,0.31074,18,0.30475
ENSG00000120948,TARDBP,206,1.07631,115,0.11413,101,-0.0902,59,-0.9236,70,-0.6678,106,-0.0296,104,-0.0614
ENSG00000116649,SRM,85,0.71742,17,-1.7160,40,-0.4729,39,-0.5146,78,0.56112,75,0.68090,38,-0.6526
ENSG00000171824,EXOSC10,6,-2.2986,28,-0.0972,64,1.26917,19,-0.6445,25,-0.2776,32,0.13417,30,-0.0017
ENSG00000198793,MTOR,6,-2.7931,26,-0.6976,47,0.19813,30,-0.5314,45,0.13128,51,0.39927,51,0.39629
ENSG00000116661,FBXO2,6,-4.2677,58,-1.0543,96,-0.2931,216,1.02641,228,1.12380,145,0.46767,78,-0.7357
ENSG00000132879,FBXO44,231,1.87059,15,-2.4884,48,-0.7458,42,-0.9388,59,-0.4298,98,0.48235,56,-0.6214
ENSG00000177000,MTHFR,6,-1.6862,17,-0.1979,39,1.11566,25,0.41072,10,-0.9582,16,-0.3501,23,0.31414
ENSG00000011021,CLCN6,96,0.68492,44,-0.5391,66,0.07740,37,-0.8090,65,0.06347,72,0.26911,56,-0.2335
ENSG00000116685,KIAA2013,6,-2.4286,51,0.72673,56,0.87469,21,-0.6376,29,-0.1586,43,0.60076,21,-0.7757
ENSG00000083444,PLOD1,6,-1.4691,19,0.23117,30,0.93935,16,-0.0836,10,-0.7677,25,0.89228,9,-1.1207
ENSG00000116688,MFN2,87,-0.3077,56,-0.9727,72,-0.6046,86,-0.3230,106,-0.0102,149,0.71368,105,-0.0205
ENSG00000048707,VPS13D,6,-3.5490,55,-0.3890,78,0.16509,79,0.18394,40,-0.8683,83,0.33576,89,0.48748
ENSG00000116731,PRDM2,262,0.02053,144,-0.9014,254,-0.0270,235,-0.1493,76,-1.8653,208,-0.4162,417,1.06084
ENSG00000189337,KAZN,6,-3.2459,125,1.31333,49,-0.2408,60,0.08509,37,-0.6560,63,0.20379,53,-0.1294
ENSG00000142634,EFHD2,6,-3.8362,19,-2.2748,23,-1.9830,79,-0.1383,80,-0.1179,181,1.84484,65,-0.5267
ENSG00000116138,DNAJC16,249,2.78510,29,-0.9749,31,-0.8985,24,-1.2571,27,-1.0948,41,-0.5609,41,-0.5395
ENSG00000197312,DDI2,125,1.50882,28,-0.8885,41,-0.3401,33,-0.6668,15,-1.8718,44,-0.2974,62,0.42172
ENSG00000116786,PLEKHM2,182,0.65996,54,-1.2463,91,-0.4402,223,1.00631,156,0.40967,123,0.03039,86,-0.6489
ENSG00000065526,SPEN,99,-1.0193,307,0.76134,389,1.16923,187,-0.0466,61,-1.7476,70,-1.7597,288,0.87536
ENSG00000116809,ZBTB17,6,-1.7979,30,0.54138,17,-0.3541,38,0.96098,16,-0.4512,27,0.52617,15,-0.6705
ENSG00000037637,FBXO42,6,-1.6362,12,-0.6454,27,0.54719,12,-0.6852,11,-0.7827,28,0.82325,18,-0.0279
ENSG00000055070,SZRD1,6,-1.7652,50,1.49118,19,-0.0904,32,0.70821,45,1.30892,14,-0.7162,10,-1.1883
ENSG00000219481,NBPF1,280,3.68292,73,0.79454,32,-0.5028,17,-1.4397,17,-1.4707,11,-2.3871,14,-1.9807
ENSG00000159363,ATP13A2,424,2.13504,28,-2.2383,22,-2.5945,95,-0.4443,126,0.00539,153,0.40142,77,-0.9050
ENSG00000117118,SDHB,6,-3.2124,41,-0.4729,25,-1.2085,32,-0.8532,117,1.23324,71,0.50267,59,0.12945
ENSG00000117115,PADI2,9,-2.7087,371,3.87516,83,0.62149,49,-0.2268,48,-0.2541,7,-3.3879,13,-2.4027
ENSG00000179051,RCC2,6,-1.5998,26,0.53434,18,-0.0443,9,-0.9829,28,0.67424,20,0.20389,18,-0.0512
ENSG00000117154,IGSF21,6,-3.2913,15,-2.0279,6,-3.2602,48,-0.3149,68,0.21777,121,1.75023,47,-0.4175
ENSG00000127481,UBR4,6,-2.9299,56,0.31111,99,1.27163,31,-0.6074,13,-1.9323,32,-0.6690,68,0.85549
ENSG00000127463,EMC1,6,-2.2302,23,-0.3207,36,0.40221,24,-0.2453,17,-0.7831,38,0.61715,30,0.12606
ENSG00000053372,MRTO4,227,2.77222,19,-1.5037,20,-1.3885,37,-0.4656,39,-0.4206,36,-0.6199,35,-0.6761
ENSG00000053371,AKR7A2,6,-2.0363,41,0.81344,30,0.29008,30,0.29355,44,0.93679,32,0.51700,9,-1.7757
ENSG00000077549,CAPZB,95,-0.6506,120,-0.2954,82,-0.8744,91,-0.7119,150,0.06100,197,0.65465,154,0.12219
ENSG00000173436,MICOS10,193,-0.4795,170,-0.6778,124,-1.1544,319,0.31003,666,1.58044,317,0.38650,156,-0.9581
ENSG00000158747,NBL1,6,-3.9778,32,-1.6250,46,-1.1198,110,0.24209,106,0.18647,152,1.05130,95,0.00245
ENSG00000169914,OTUD3,6,-1.6447,5,-2.0429,18,-0.0517,12,-0.6495,15,-0.3409,24,0.52552,26,0.66987
ENSG00000162545,CAMK2N1,511,-1.7091,1147,-0.4878,1728,0.15708,3067,1.11451,1923,0.32962,1196,-0.5106,1754,0.22989
ENSG00000090432,MUL1,6,-1.4059,21,0.41259,8,-1.0454,12,-0.4443,13,-0.3098,25,0.93882,14,-0.2588
ENSG00000183114,FAM43B,42,1.23718,5,-1.9259,2,-3.3527,14,-0.5117,12,-0.7329,34,1.25539,13,-0.7800
ENSG00000158828,PINK1,247,-0.6374,135,-1.5545,122,-1.6991,341,-0.1378,636,0.87602,584,0.99193,288,-0.4859
ENSG00000244038,DDOST,223,2.94334,16,-1.5712,17,-1.5305,17,-1.4700,35,-0.4535,37,-0.4086,30,-0.8114
ENSG00000117245,KIF17,14,-0.7755,1,-4.1651,2,-3.4461,26,0.18159,16,-0.5679,44,1.55010,20,-0.2342
ENSG00000189410,SH2D5,6,-2.2585,0,-9.6026,15,-0.9730,27,-0.1030,25,-0.2410,48,1.15465,33,0.27916
ENSG00000127483,HP1BP3,405,0.43662,462,0.65548,414,0.47456,273,-0.1957,107,-1.6191,181,-0.9799,397,0.52913
ENSG00000075151,EIF4G3,716,1.15371,222,-0.7358,337,-0.0911,164,-1.1969,116,-1.7103,248,-0.6835,544,0.91855
ENSG00000117298,ECE1,6,-1.2508,32,1.31348,35,1.47443,21,0.55909,10,-0.5178,8,-1.1071,10,-0.5741
ENSG00000076864,RAP1GAP,140,0.20071,30,-2.1233,44,-1.5704,78,-0.7088,89,-0.5119,238,1.55718,88,-0.6386
ENSG00000090686,USP48,116,0.20084,156,0.69555,142,0.53911,44,-1.2649,43,-1.3038,70,-0.6931,136,0.60689
ENSG00000070831,CDC42,344,0.89523,227,0.20830,125,-0.7279,83,-1.3323,154,-0.4040,264,0.58824,156,-0.4645
ENSG00000133216,EPHB2,6,-1.0978,26,1.11930,13,-0.0485,15,0.23971,7,-0.9202,5,-1.6997,21,1.00507
ENSG00000004487,KDM1A,6,-3.3674,31,-1.0507,86,0.51906,36,-0.8384,67,0.12829,64,0.05106,88,0.75584
ENSG00000169641,LUZP1,326,0.80149,19,-3.5116,195,-0.0347,127,-0.6965,57,-1.9031,173,-0.2765,317,1.02833
ENSG00000125944,HNRNPR,108,-0.5238,247,0.79870,162,0.10624,158,0.06183,87,-0.8586,112,-0.5684,190,0.46450
ENSG00000142676,RPL11,121,-1.8984,803,1.06698,178,-1.3239,577,0.50683,1086,1.61401,377,-0.2130,245,-0.9876
ENSG00000011007,ELOA,6,-2.3545,34,0.15849,48,0.69863,43,0.51723,30,-0.0479,22,-0.5826,37,0.37455
ENSG00000057757,PITHD1,6,-4.3947,106,-0.3449,64,-1.1195,114,-0.2373,186,0.54622,192,0.79894,135,0.03695
ENSG00000011009,LYPLA2,6,-1.7058,5,-1.8651,6,-1.7198,22,0.15835,24,0.33485,34,1.21266,17,-0.2742
ENSG00000189266,PNRC2,6,-3.3780,86,0.51496,102,0.79269,55,-0.2033,43,-0.5619,67,0.14097,65,0.06606
ENSG00000188529,SRSF10,6,-3.7019,96,0.32556,147,1.03483,56,-0.5175,49,-0.7165,75,-0.0922,94,0.38082
ENSG00000001461,NIPAL3,6,-4.4741,381,1.80565,91,-0.5990,99,-0.4727,81,-0.7702,114,-0.2982,156,0.31603
ENSG00000133226,SRRM1,6,-4.9130,332,0.89885,392,1.18877,137,-0.5238,79,-1.3465,100,-1.1790,288,0.88366
ENSG00000169504,CLIC4,6,-2.7457,323,4.68360,21,-0.9597,31,-0.4206,11,-1.9118,11,-2.1939,6,-2.9797
ENSG00000117614,SYF2,6,-4.3456,173,0.56491,180,0.62389,156,0.39620,93,-0.4223,92,-0.5269,153,0.46108
ENSG00000117616,RSRP1,6,-3.9146,156,0.89134,189,1.21923,32,-1.5785,35,-1.4252,103,0.25651,90,-0.0168
ENSG00000183726,TMEM50A,238,1.64156,116,0.39447,65,-0.5121,55,-0.7681,70,-0.3923,90,-0.0051,60,-0.7510
ENSG00000204178,MACO1,6,-3.4061,75,0.25127,132,1.20515,29,-1.2062,29,-1.2050,35,-1.0766,108,1.20025
ENSG00000117643,MAN1C1,6,-2.4804,7,-2.1984,47,0.52099,14,-1.3549,44,0.43303,38,0.26976,45,0.63276
ENSG00000162430,SELENON,6,-1.7314,28,0.51798,20,-0.0231,16,-0.2969,27,0.46660,27,0.64094,14,-0.6745
ENSG00000117640,MTFR1L,70,0.24642,30,-1.0523,54,-0.1544,51,-0.2531,76,0.38700,80,0.60207,46,-0.4988
ENSG00000117632,STMN1,468,-1.4276,937,-0.3712,312,-2.0313,615,-1.0167,1171,-0.0226,1850,0.97690,1338,0.24139
ENSG00000158008,EXTL1,6,-2.3680,1,-4.3361,13,-1.3105,48,0.70286,45,0.60737,51,1.09248,25,-0.4043
ENSG00000175087,PDIK1L,6,-1.3042,9,-0.7326,9,-0.6761,16,0.13717,4,-2.0094,16,0.15472,24,0.99425
ENSG00000142684,ZNF593,6,-2.0971,11,-1.2689,21,-0.3255,18,-0.5505,39,0.66556,40,0.94841,23,-0.2261
ENSG00000142669,SH3BGRL3,6,-4.2836,139,0.27628,46,-1.4075,132,0.18838,199,0.86503,186,1.03100,69,-0.9737
ENSG00000117682,DHDDS,6,-1.5111,9,-0.9462,16,-0.1489,9,-0.9781,26,0.65621,29,1.11389,13,-0.5707
ENSG00000198830,HMGN2,433,1.44172,354,1.08352,207,0.18775,164,-0.1812,217,0.26762,121,-0.7725,95,-1.1947
ENSG00000117713,ARID1A,6,-3.7176,112,0.55746,147,1.01426,96,0.30437,55,-0.5621,63,-0.4351,89,0.23122
ENSG00000204160,ZDHHC18,6,-1.3343,14,-0.0768,5,-1.5485,17,0.19160,21,0.50447,21,0.63598,14,-0.1909
ENSG00000142751,GPN2,6,-1.5179,17,-0.0238,8,-1.0746,22,0.34682,16,-0.1416,23,0.63138,17,-0.0346
ENSG00000090273,NUDC,96,-1.4079,168,-0.5617,166,-0.5843,254,0.08245,372,0.70470,290,0.37466,243,0.01415
ENSG00000253368,TRNP1,6,-2.6613,0,-6.3011,29,-0.4456,34,-0.1648,56,0.62474,57,0.88970,40,0.11850
ENSG00000090020,SLC9A1,6,-1.3177,1,-3.7981,15,-0.0057,7,-1.1574,13,-0.2818,25,1.08310,17,0.20682
ENSG00000142784,WDTC1,6,-1.6486,25,0.45193,23,0.29093,39,1.18152,16,-0.2237,20,0.13024,13,-0.7242
ENSG00000186501,TMEM222,6,-2.1997,32,0.22982,29,0.07058,34,0.30788,39,0.53503,38,0.67751,17,-0.9026
ENSG00000158195,WASF2,6,-3.0819,221,2.68721,165,2.04586,36,-0.5457,28,-0.9045,14,-2.1475,21,-1.5796
ENSG00000126705,AHDC1,408,3.04056,21,-2.0325,69,-0.2581,38,-1.1564,43,-1.0033,46,-1.0290,60,-0.5679
ENSG00000126709,IFI6,107,0.63162,74,0.04182,38,-0.9811,47,-0.6689,52,-0.4944,105,0.80402,54,-0.5564
ENSG00000009780,FAM76A,6,-1.6693,35,0.95414,25,0.44036,17,-0.1628,5,-1.8613,16,-0.3955,25,0.56686
ENSG00000117758,STX12,206,0.97698,115,0.02328,85,-0.4588,70,-0.7533,114,0.00092,141,0.45143,79,-0.6812
ENSG00000117751,PPP1R8,6,-2.1184,55,1.21563,2,-3.4506,24,-0.1522,43,0.81835,26,-0.0186,27,0.03319
ENSG00000117748,RPA2,6,-2.6543,31,-0.3164,23,-0.7381,32,-0.2808,44,0.24137,61,1.03854,33,-0.2751
ENSG00000126698,DNAJC8,328,0.48123,297,0.32184,239,-0.0257,249,0.04078,176,-0.5013,175,-0.6171,286,0.33584
ENSG00000130770,ATP5IF1,392,0.05685,121,-1.7301,132,-1.6004,267,-0.5412,639,0.86083,506,0.61819,362,-0.0844
ENSG00000204138,PHACTR4,10,-1.8454,89,1.52741,101,1.76233,38,0.08747,25,-0.5878,16,-1.4367,28,-0.4468
ENSG00000180098,TRNAU1AP,6,-1.1971,19,0.51034,5,-1.6061,9,-0.6491,24,0.84373,18,0.58861,12,-0.3360
ENSG00000198492,YTHDF2,6,-3.9213,90,-0.0121,67,-0.4758,57,-0.7189,63,-0.5726,121,0.58919,119,0.55479
ENSG00000159023,EPB41,6,-1.7978,3,-2.7290,27,0.40286,16,-0.4253,19,-0.1693,17,-0.4112,36,1.23867
