Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000228794,LINC01128,33,-0.3193,44,0.14419,28,-0.5687,33,-0.3191,110,1.68058,44,0.13289,38,-0.1007,27,-0.5973,45,0.19797,16,-1.4236,21,-0.9611
ENSG00000188976,NOC2L,62,0.36677,63,0.38513,35,-0.4978,45,-0.1314,48,-0.0207,47,-0.0731,30,-0.7647,49,-0.0083,78,0.84378,22,-1.2151,32,-0.6559
ENSG00000188290,HES4,20,-0.9553,12,-1.7545,34,-0.1692,17,-1.2351,45,0.25644,39,0.06234,39,0.03778,80,1.20920,41,0.15225,70,0.99175,17,-1.1882
ENSG00000187608,ISG15,23,-0.8636,7,-2.5922,31,-0.4068,28,-0.5451,17,-1.2520,34,-0.2388,40,0.01145,67,0.83356,68,0.96867,76,1.04901,21,-1.0004
ENSG00000188157,AGRN,16,-0.1954,11,-0.7107,11,-0.7571,20,0.15522,15,-0.3213,10,-0.8544,12,-0.6186,38,1.18292,15,-0.3342,33,0.96944,22,0.29182
ENSG00000078808,SDF4,40,-0.5184,46,-0.3068,39,-0.5704,72,0.39223,94,0.82529,40,-0.5141,37,-0.6406,78,0.52926,49,-0.2225,71,0.36160,59,0.06798
ENSG00000176022,B3GALT6,17,-0.3574,24,0.18208,22,0.02060,12,-0.8762,29,0.48477,21,-0.0704,16,-0.4601,28,0.40305,27,0.37326,19,-0.2038,17,-0.3198
ENSG00000160087,UBE2J2,38,0.22183,27,-0.3241,23,-0.5706,23,-0.5644,47,0.56546,26,-0.3798,14,-1.3039,59,0.93573,44,0.51622,25,-0.4547,27,-0.3015
ENSG00000131584,ACAP3,140,1.20287,45,-0.6140,66,-0.0261,91,0.49241,79,0.25805,20,-1.7984,50,-0.4667,105,0.72337,46,-0.6170,43,-0.6673,73,0.12640
ENSG00000127054,INTS11,45,0.31959,36,-0.0358,21,-0.8233,9,-1.9978,47,0.40810,42,0.22628,14,-1.4474,49,0.46072,50,0.54722,43,0.24576,33,-0.1683
ENSG00000224051,CPTP,15,-0.0858,18,0.22278,22,0.51054,9,-0.7560,19,0.25971,7,-1.1104,13,-0.3002,32,1.11532,20,0.44651,3,-2.3759,11,-0.6102
ENSG00000107404,DVL1,44,-0.2403,14,-1.9449,54,0.07255,87,0.82590,54,0.07722,21,-1.3858,46,-0.1937,103,1.12454,34,-0.6989,96,1.00754,34,-0.6426
ENSG00000175756,AURKAIP1,75,-0.9648,90,-0.6873,172,0.31031,88,-0.7330,123,-0.2123,138,-0.0351,165,0.24869,280,1.12384,181,0.44680,114,-0.3304,85,-0.7831
ENSG00000221978,CCNL2,120,1.19362,37,-0.6887,32,-0.8829,33,-0.8668,45,-0.3868,42,-0.4805,25,-1.2744,62,0.10077,65,0.21076,82,0.55369,86,0.62681
ENSG00000242485,MRPL20,56,-1.2493,79,-0.7222,195,0.69062,95,-0.4508,124,-0.0316,104,-0.3099,165,0.42039,173,0.49393,151,0.31236,131,0.05405,96,-0.4232
ENSG00000235098,ANKRD65,5,-2.3671,9,-1.4530,39,0.75951,25,0.07969,19,-0.3328,19,-0.3662,13,-0.9244,54,1.30468,28,0.28013,27,0.16370,23,-0.0759
ENSG00000179403,VWA1,16,-0.5322,8,-1.4773,9,-1.3874,22,-0.0319,10,-1.2316,2,-3.4966,7,-1.6416,14,-0.6669,12,-0.9381,47,1.23406,107,2.84790
ENSG00000205090,TMEM240,38,0.45295,29,0.06546,10,-1.5513,28,-0.0288,30,0.08123,27,-0.0779,24,-0.2582,59,1.19158,34,0.34757,8,-1.8707,18,-0.6758
ENSG00000160075,SSU72,105,-0.2428,95,-0.3991,157,0.38700,89,-0.4953,160,0.42320,114,-0.1130,100,-0.3234,204,0.82098,151,0.36926,76,-0.7427,71,-0.8440
ENSG00000228594,FNDC10,20,-0.4419,17,-0.6666,52,1.07747,29,0.14052,40,0.61804,17,-0.6575,11,-1.2650,31,0.23710,32,0.30881,35,0.42035,4,-2.6906
ENSG00000272106,AL691432.2,27,0.56487,12,-0.6320,9,-1.1854,8,-1.2356,34,0.90147,12,-0.7225,15,-0.3938,38,1.12719,19,0.00976,13,-0.5526,22,0.23595
