Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to7,Feature log2 fold change topic 2to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,24,-0.6909,42,0.47573,38,0.02938,22,-0.7826,36,-0.0464
ENSG00000188976,NOC2L,29,-0.6277,53,0.95243,30,-0.5729,30,-0.5333,20,-1.1290
ENSG00000188290,HES4,29,-0.7400,45,-0.1470,66,0.55832,76,0.78661,28,-0.7778
ENSG00000187608,ISG15,29,-0.0690,29,-0.0495,23,-0.3887,48,0.78519,22,-0.4846
ENSG00000188157,AGRN,6,-1.1662,16,0.59803,11,-0.4047,21,0.66987,4,-1.7989
ENSG00000078808,SDF4,60,-0.1727,71,0.20164,64,-0.0813,81,0.30734,41,-0.7659
ENSG00000176022,B3GALT6,13,-0.7780,25,0.48700,14,-0.6780,31,0.53442,13,-0.8534
ENSG00000160087,UBE2J2,21,-0.9322,42,0.21928,22,-0.9191,59,0.65159,41,0.07856
ENSG00000131584,ACAP3,56,-0.3591,72,0.07904,105,0.65543,78,0.17065,33,-1.1684
ENSG00000127054,INTS11,30,-0.5834,49,0.49489,36,-0.2951,40,-0.1405,34,-0.4030
ENSG00000224051,CPTP,26,0.28609,22,0.08007,22,0.00383,25,0.24054,11,-1.0431
ENSG00000107404,DVL1,62,0.23420,51,-0.1694,51,-0.0627,65,0.32315,51,-0.0868
ENSG00000175756,AURKAIP1,98,-0.5538,144,0.11661,109,-0.3779,219,0.74516,104,-0.4621
ENSG00000221978,CCNL2,54,-0.4127,75,0.24604,80,0.20221,63,-0.1850,56,-0.3449
ENSG00000242485,MRPL20,169,0.07332,156,-0.1099,142,-0.1990,179,0.16987,184,0.21733
ENSG00000235098,ANKRD65,15,0.01039,14,-0.2017,19,0.37109,20,0.46040,11,-0.4528
ENSG00000179403,VWA1,91,2.31380,8,-2.6176,32,0.40157,49,1.12547,31,0.35792
ENSG00000205090,TMEM240,20,-0.5851,34,0.58894,15,-1.0379,24,-0.3039,31,0.06667
ENSG00000160075,SSU72,130,-0.2700,162,0.17593,130,-0.2685,189,0.32518,124,-0.3514
ENSG00000228594,FNDC10,8,-1.5650,27,0.41889,25,0.03503,32,0.44255,15,-0.7210
ENSG00000272106,AL691432.2,18,-0.4607,24,0.04718,24,-0.0045,39,0.83231,12,-1.0010
ENSG00000197530,MIB2,14,-1.1399,36,0.94532,21,-0.5310,29,-0.0312,11,-1.4264
ENSG00000248333,CDK11B,51,1.17525,20,-0.7595,33,0.42943,5,-2.3542,45,0.96459
