Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to10,Feature log2 fold change topic 5to10
ENSG00000228794,LINC01128,17,-1.1552,16,-1.1871,42,0.27461,43,0.87993
ENSG00000188976,NOC2L,29,-1.0898,28,-1.0627,67,0.30148,67,0.80597
ENSG00000188290,HES4,71,0.82394,29,-0.7325,20,-1.2658,45,-0.0815
ENSG00000187608,ISG15,70,0.46768,26,-1.1256,45,-0.2948,56,0.07003
ENSG00000188157,AGRN,22,-0.2010,12,-1.1173,42,0.90894,24,0.00021
ENSG00000078808,SDF4,71,0.51494,18,-1.6536,43,-0.3460,56,0.13535
ENSG00000176022,B3GALT6,22,-0.1210,13,-0.9287,10,-1.2640,28,0.73296
ENSG00000160087,UBE2J2,27,-0.4769,27,-0.4305,21,-0.8469,42,0.73060
ENSG00000131584,ACAP3,58,-0.1825,61,-0.0873,121,1.05037,58,-0.3668
ENSG00000127054,INTS11,46,0.16229,16,-1.4270,37,-0.2079,46,0.33327
ENSG00000224051,CPTP,11,-0.6322,11,-0.6572,15,-0.0874,19,0.64170
ENSG00000107404,DVL1,85,1.25645,36,-0.3630,27,-0.7828,37,-0.6664
ENSG00000175756,AURKAIP1,230,0.51457,102,-0.8333,101,-0.8496,181,0.12169
ENSG00000221978,CCNL2,47,-0.1412,23,-1.2231,73,0.57624,54,0.16837
ENSG00000242485,MRPL20,192,0.39998,132,-0.2485,73,-1.1525,159,0.11409
ENSG00000235098,ANKRD65,44,0.79802,15,-0.9699,16,-0.9290,28,-0.0705
ENSG00000179403,VWA1,59,1.73362,26,-0.0141,1,-4.5997,19,-0.9191
ENSG00000205090,TMEM240,12,-1.1529,18,-0.4687,35,0.55950,28,0.52850
ENSG00000160075,SSU72,165,0.27503,87,-0.7696,124,-0.2189,147,0.11773
ENSG00000228594,FNDC10,23,-0.4948,22,-0.4715,15,-1.0847,37,0.81617
ENSG00000197530,MIB2,32,-0.0024,13,-1.3735,41,0.43701,33,0.17292
ENSG00000248333,CDK11B,53,-0.4373,103,0.67139,115,0.86222,60,-0.4361
ENSG00000008128,CDK11A,36,-0.2159,38,-0.1098,73,0.95932,38,-0.2846
ENSG00000008130,NADK,23,0.22966,22,0.07389,40,1.10167,16,-0.7231
ENSG00000078369,GNB1,572,0.26520,561,0.20109,277,-0.9034,495,-0.0022
ENSG00000187730,GABRD,58,-1.7591,50,-1.8741,159,-0.1098,230,1.49250
ENSG00000067606,PRKCZ,154,-0.5964,193,-0.1860,183,-0.2688,248,0.53378
ENSG00000162585,FAAP20,69,0.95047,51,0.29246,8,-2.4822,38,-0.3828
ENSG00000157933,SKI,43,0.61544,60,1.09897,41,0.46002,20,-1.1805
ENSG00000157916,RER1,68,0.49032,9,-2.5446,49,-0.0849,54,0.16173
ENSG00000157911,PEX10,39,1.50649,8,-1.2968,6,-1.7456,16,-0.5309
ENSG00000157870,PRXL2B,39,-0.2492,27,-0.7952,62,0.51910,47,0.17474
ENSG00000158109,TPRG1L,145,-0.6212,203,-0.0364,147,-0.5410,240,0.57951
ENSG00000130764,LRRC47,46,-0.7899,49,-0.6307,45,-0.7620,91,0.96352
ENSG00000116198,CEP104,34,0.18573,42,0.51971,37,0.29470,26,-0.4622
ENSG00000196581,AJAP1,19,-1.6165,42,-0.3582,52,-0.0002,65,0.96075
ENSG00000069424,KCNAB2,203,0.31471,116,-0.6077,132,-0.4102,176,0.10718
ENSG00000116254,CHD5,191,-1.0891,590,0.79822,687,1.06515,330,-0.3287
