Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9to11,Feature log2 fold change topic 9to11
ENSG00000228794,LINC01128,8,-2.2687,25,-0.6618,20,-0.9773,47,0.45046,55,0.66089,38,0.00251
ENSG00000188976,NOC2L,28,-0.4570,17,-1.1689,35,-0.1026,14,-1.7149,47,0.42012,65,1.25679
ENSG00000188290,HES4,18,-0.9856,38,0.15993,58,0.81693,32,-0.1534,15,-1.3445,47,0.64127
ENSG00000187608,ISG15,46,0.38395,159,2.71928,17,-1.1460,15,-1.5327,15,-1.4060,33,-0.1532
ENSG00000078808,SDF4,30,-0.8376,30,-0.8327,45,-0.2194,52,-0.0185,36,-0.6279,80,0.94254
ENSG00000160087,UBE2J2,12,-1.4576,29,-0.1632,17,-1.0169,26,-0.4334,19,-0.9190,62,1.49185
ENSG00000131584,ACAP3,52,-0.6485,158,1.15244,38,-1.1193,63,-0.4268,64,-0.3450,100,0.50387
ENSG00000127054,INTS11,16,-1.4485,28,-0.5833,24,-0.8060,22,-1.1058,38,-0.1064,79,1.57976
ENSG00000107404,DVL1,40,-0.7964,105,0.73961,54,-0.3176,78,0.33473,28,-1.4134,80,0.39412
ENSG00000175756,AURKAIP1,43,-1.5376,128,0.11114,135,0.19304,117,-0.0446,57,-1.2262,181,0.90938
ENSG00000221978,CCNL2,57,0.43360,12,-1.8991,26,-0.7977,23,-1.0930,42,-0.0315,75,1.25567
ENSG00000242485,MRPL20,73,-0.7375,65,-0.9191,153,0.42799,122,0.08296,90,-0.4608,151,0.53031
ENSG00000205090,TMEM240,8,-1.6410,3,-2.8905,8,-1.4947,24,0.04638,27,0.22278,38,1.04532
ENSG00000160075,SSU72,21,-2.8195,190,0.52221,132,-0.0612,135,-0.0326,104,-0.4724,185,0.62662
ENSG00000228594,FNDC10,18,-0.5031,18,-0.5133,8,-1.7037,29,0.33565,23,-0.1434,32,0.52280
ENSG00000197530,MIB2,6,-1.9327,4,-2.4417,9,-1.4113,26,0.21029,15,-0.7291,44,1.41145
ENSG00000248333,CDK11B,103,1.48775,5,-3.1921,16,-1.4650,37,-0.2621,79,1.19167,25,-0.9740
ENSG00000008130,NADK,7,-1.5520,6,-1.8795,26,0.30617,25,0.32635,17,-0.3497,29,0.59887
ENSG00000078369,GNB1,183,-1.6066,595,0.20303,504,-0.0600,617,0.33570,428,-0.3480,591,0.24439
ENSG00000187730,GABRD,9,-3.6000,101,-0.0988,66,-0.7539,81,-0.5285,78,-0.5406,201,1.48186
ENSG00000067606,PRKCZ,77,-1.1676,152,-0.1307,109,-0.6548,166,0.00608,166,0.00588,218,0.57230
ENSG00000162585,FAAP20,48,0.19059,94,1.31230,32,-0.4459,42,-0.0350,16,-1.5431,46,0.13348
ENSG00000157933,SKI,55,0.23551,23,-1.1273,45,-0.0803,53,0.21466,42,-0.2336,53,0.20856
ENSG00000157916,RER1,30,-0.5691,39,-0.1637,61,0.56818,38,-0.2131,24,-0.9790,60,0.70900
ENSG00000157870,PRXL2B,12,-2.1130,72,0.54086,50,-0.0415,47,-0.1886,39,-0.4532,71,0.67579
ENSG00000158109,TPRG1L,23,-2.8289,158,0.00956,118,-0.4446,128,-0.3800,147,-0.1106,248,1.01925
ENSG00000130764,LRRC47,47,-0.3893,21,-1.6085,43,-0.5338,60,-0.0124,45,-0.5019,94,0.98515
ENSG00000116198,CEP104,116,1.95195,42,0.19050,37,-0.0239,14,-1.6754,44,0.28773,29,-0.4911
