Feature ID,Feature Name,Feature count topic 1to4,Feature log2 fold change topic 1to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,50,0.97857,30,-0.1667,24,-0.6436,10,-1.7872,35,0.06023,27,-0.3570
ENSG00000188976,NOC2L,64,0.74197,18,-1.4819,32,-0.7493,27,-0.8489,55,0.20765,73,0.68186
ENSG00000188290,HES4,32,-0.1184,32,-0.0799,47,0.70301,9,-1.8722,14,-1.3487,46,0.51839
ENSG00000187608,ISG15,21,-0.8133,124,2.44027,36,0.28236,29,-0.1290,1,-4.6773,0,-5.7009
ENSG00000188157,AGRN,13,-0.3032,26,0.84352,15,0.01638,12,-0.2964,6,-1.3886,24,0.75355
ENSG00000078808,SDF4,63,0.07944,87,0.58146,56,-0.1471,53,-0.2165,13,-2.2953,94,0.71724
ENSG00000176022,B3GALT6,25,0.28088,11,-1.0693,22,0.01964,12,-0.9632,12,-0.9326,42,1.04191
ENSG00000160087,UBE2J2,50,0.72766,27,-0.5028,34,-0.1957,26,-0.5910,24,-0.7003,33,-0.1821
ENSG00000131584,ACAP3,62,-0.6109,53,-0.7076,71,-0.3173,45,-0.9408,170,1.17823,188,1.36338
ENSG00000127054,INTS11,50,0.39467,25,-0.8248,36,-0.3143,40,-0.0881,34,-0.3490,59,0.54225
ENSG00000224051,CPTP,23,0.79893,13,-0.4049,13,-0.4974,7,-1.2542,0,-7.0590,33,1.13790
ENSG00000107404,DVL1,32,-0.7699,65,0.51977,72,0.91747,27,-0.8452,42,-0.1870,39,-0.2919
ENSG00000175756,AURKAIP1,130,-0.1854,115,-0.3265,216,0.92932,95,-0.6250,41,-1.8821,137,-0.0555
ENSG00000221978,CCNL2,69,-0.1769,57,-0.4069,41,-1.0852,79,0.10500,112,0.66263,173,1.41171
ENSG00000242485,MRPL20,116,-0.1429,150,0.30634,187,0.88719,75,-0.7840,55,-1.2521,60,-1.1125
ENSG00000235098,ANKRD65,30,-0.2478,29,-0.1984,50,0.89180,52,0.70477,3,-3.5461,13,-1.4206
ENSG00000179403,VWA1,21,-1.0731,42,0.27413,23,-0.8047,156,2.70075,25,-0.5167,16,-1.1723
ENSG00000205090,TMEM240,33,0.28985,7,-2.0212,22,-0.5172,2,-3.5410,31,0.11433,81,1.74372
ENSG00000160075,SSU72,162,0.33411,77,-0.9263,192,0.65584,65,-1.1935,76,-0.9413,106,-0.4433
ENSG00000228594,FNDC10,42,0.90228,6,-2.3016,30,0.04440,2,-3.4980,31,0.06718,26,-0.1783
ENSG00000272106,AL691432.2,16,-0.1462,6,-1.6633,23,0.52818,13,-0.4262,16,-0.1164,24,0.50364
ENSG00000197530,MIB2,30,-0.0465,37,0.26256,36,0.31572,10,-1.6677,12,-1.4274,52,0.84316
ENSG00000248333,CDK11B,52,-0.2877,30,-1.0456,26,-1.4772,71,0.27966,233,2.45931,34,-0.8325
ENSG00000189339,SLC35E2B,22,0.03735,43,1.11748,15,-0.6237,17,-0.3616,22,0.05451,21,-0.0152
ENSG00000008128,CDK11A,21,-0.9127,9,-1.8943,7,-2.4415,61,0.98597,149,2.76323,39,0.25605
ENSG00000215790,SLC35E2A,24,0.16971,11,-1.0473,28,0.47244,12,-0.9428,11,-1.1071,31,0.53472
ENSG00000008130,NADK,32,0.64247,28,0.20038,20,-0.3565,15,-0.7236,20,-0.3419,18,-0.4385
ENSG00000078369,GNB1,529,0.16007,466,-0.0912,751,0.91742,183,-1.5147,189,-1.4721,224,-1.2153
ENSG00000187730,GABRD,197,1.25724,31,-2.1004,129,0.08388,3,-5.4797,70,-0.8792,84,-0.6055
ENSG00000067606,PRKCZ,223,0.37686,144,-0.4361,217,0.26733,73,-1.4652,180,-0.0945,154,-0.3307
ENSG00000162585,FAAP20,27,-0.5654,32,-0.1333,57,1.07106,40,0.20940,28,-0.3386,7,-2.2725
ENSG00000157933,SKI,28,-0.7249,59,0.63122,30,-0.4976,31,-0.3875,90,1.36402,54,0.49330
ENSG00000157916,RER1,68,0.59345,53,-0.0054,54,0.00407,53,-0.0283,21,-1.4080,28,-1.0036
ENSG00000157911,PEX10,16,-0.4144,56,1.75883,21,0.12589,23,0.21450,8,-1.2968,3,-2.8572
ENSG00000157870,PRXL2B,54,0.59925,20,-1.1497,48,0.25601,20,-1.1048,22,-0.9654,42,-0.0085
ENSG00000177133,PRDM16-DT,7,-1.8114,54,1.81955,27,0.82031,5,-1.7764,0,-5.9480,35,1.04201
ENSG00000158109,TPRG1L,198,0.64962,113,-0.4609,187,0.42233,25,-2.7011,73,-1.1357,111,-0.4906
ENSG00000130764,LRRC47,106,0.92469,52,-0.5576,65,-0.2482,40,-0.9585,50,-0.5945,53,-0.5234
ENSG00000116198,CEP104,33,-0.4328,18,-1.2012,19,-1.3116,78,1.06909,99,1.49140,62,0.66395
ENSG00000198912,C1orf174,23,0.94750,14,-0.1708,14,-0.2153,11,-0.5285,5,-1.6009,9,-0.8301
ENSG00000196581,AJAP1,38,0.05066,19,-1.0302,36,-0.0735,15,-1.4033,42,0.20871,74,1.12227
ENSG00000069424,KCNAB2,211,0.75971,95,-0.7589,203,0.56081,10,-4.0482,59,-1.4894,96,-0.7558
ENSG00000116254,CHD5,288,0.47450,148,-0.7285,180,-0.5211,18,-3.8278,302,0.38939,445,1.03969
ENSG00000116251,RPL22,312,-0.9555,619,0.34656,716,0.77980,749,0.66064,495,-0.0114,226,-1.2195
ENSG00000116237,ICMT,41,0.33391,8,-2.2744,40,0.19723,23,-0.6484,33,-0.1371,46,0.40700
ENSG00000097021,ACOT7,200,1.24510,35,-1.9438,138,0.17304,22,-2.6171,27,-2.2918,92,-0.4967
ENSG00000215788,TNFRSF25,21,0.06314,5,-2.1207,10,-1.2022,0,-5.4637,12,-0.8008,92,2.77905
ENSG00000171680,PLEKHG5,21,-0.1641,9,-1.4091,34,0.93910,0,-4.6454,24,0.11479,26,0.24608
ENSG00000162408,NOL9,35,0.10096,32,-0.0349,33,0.01526,25,-0.4239,29,-0.2042,39,0.26120
ENSG00000162413,KLHL21,29,-0.0646,49,0.77392,30,-0.0325,24,-0.3427,29,-0.0569,24,-0.3750
ENSG00000041988,THAP3,21,0.63460,5,-1.6403,22,0.66076,13,-0.3507,1,-3.2012,7,-1.1486
ENSG00000007923,DNAJC11,47,0.35427,50,0.34072,29,-0.6376,14,-1.5512,44,0.12274,63,0.70376
ENSG00000171735,CAMTA1,536,0.75186,187,-1.1621,387,-0.0533,161,-1.3862,278,-0.5597,442,0.16807
ENSG00000049245,VAMP3,19,-1.5160,67,0.77907,27,-0.7835,149,2.26300,33,-0.3747,51,0.33788
ENSG00000049246,PER3,40,-0.1603,51,0.27516,33,-0.4846,44,0.03545,31,-0.4956,87,1.16520
ENSG00000116288,PARK7,249,-0.1247,206,-0.3861,457,1.26240,145,-0.9184,68,-2.0499,109,-1.3542
ENSG00000116285,ERRFI1,42,1.01621,12,-1.2821,22,-0.4516,8,-1.8479,7,-2.1231,51,0.92660
ENSG00000162426,SLC45A1,35,1.17766,7,-1.6914,24,0.14527,6,-1.8751,13,-0.7606,7,-1.6572
ENSG00000142599,RERE,132,-0.1969,122,-0.2641,101,-0.6637,161,0.17366,354,1.51741,119,-0.2999
ENSG00000074800,ENO1,464,-0.0785,861,0.95848,584,0.40247,282,-0.8275,152,-1.7525,384,-0.3535
ENSG00000171612,SLC25A33,23,-0.6731,43,0.46386,60,1.44381,18,-0.8888,5,-2.6855,15,-1.1384
ENSG00000171603,CLSTN1,957,1.20347,430,-0.5519,484,-0.4495,122,-2.4302,350,-0.8679,554,-0.1565
ENSG00000178585,CTNNBIP1,33,0.26483,37,0.38181,30,0.03764,20,-0.5543,30,0.01684,14,-1.1170
ENSG00000162441,LZIC,58,0.10693,46,-0.2606,47,-0.3081,113,1.19201,42,-0.4043,32,-0.8288
ENSG00000130939,UBE4B,53,0.44387,25,-0.8394,22,-1.2380,46,0.09722,51,0.24423,82,1.03457
ENSG00000054523,KIF1B,414,0.02248,440,0.11215,263,-0.8177,511,0.35384,593,0.59985,518,0.37588
