Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000228794,LINC01128,11,-1.8872,26,-0.6745,29,-0.5528,61,0.71236,52,0.43032,32,-0.3916,39,-0.0744,48,0.25706
ENSG00000188976,NOC2L,23,-0.9566,19,-1.2377,11,-2.0922,47,0.09703,51,0.24935,38,-0.2538,70,0.72689,68,0.77181
ENSG00000188290,HES4,12,-1.4835,26,-0.2751,6,-2.3464,19,-0.8075,24,-0.4497,48,0.78309,17,-0.9161,66,1.42114
ENSG00000187608,ISG15,33,0.37222,35,0.48038,4,-2.5660,8,-1.8841,8,-1.7919,38,0.69870,50,1.07575,40,0.77656
ENSG00000188157,AGRN,15,-0.1309,18,0.13411,11,-0.6303,12,-0.6070,21,0.34764,19,0.16158,12,-0.5064,22,0.45589
ENSG00000078808,SDF4,43,-0.2723,34,-0.6549,34,-0.6520,42,-0.3609,51,-0.0248,57,0.17519,60,0.23725,75,0.66434
ENSG00000176022,B3GALT6,7,-1.5270,12,-0.7226,8,-1.3141,22,0.22493,18,-0.0569,20,0.05561,22,0.21200,30,0.84176
ENSG00000160087,UBE2J2,14,-1.0981,23,-0.3619,16,-0.9381,28,-0.1259,24,-0.3753,37,0.40928,36,0.29769,45,0.72964
ENSG00000131584,ACAP3,36,-0.6192,43,-0.3484,36,-0.6527,50,-0.1587,78,0.63481,51,-0.1180,22,-1.3826,80,0.69529
ENSG00000127054,INTS11,23,-0.5776,16,-1.0984,2,-3.7823,25,-0.4874,42,0.38086,47,0.62114,48,0.58622,42,0.39729
ENSG00000224051,CPTP,8,-0.6719,7,-1.0325,2,-2.3669,16,0.35950,15,0.21932,16,0.33970,19,0.54739,14,0.07319
ENSG00000107404,DVL1,29,-0.4715,31,-0.3898,18,-1.1751,39,-0.0066,31,-0.3977,59,0.70889,28,-0.5282,55,0.59002
ENSG00000175756,AURKAIP1,81,-0.8089,127,-0.1176,123,-0.1641,114,-0.3176,76,-0.9661,176,0.44447,130,-0.0790,225,0.91600
ENSG00000221978,CCNL2,61,0.29803,29,-0.8394,13,-2.0517,33,-0.6911,80,0.81629,60,0.28794,17,-1.6100,71,0.60958
ENSG00000242485,MRPL20,86,-0.6091,106,-0.2946,119,-0.1227,140,0.15688,85,-0.6918,162,0.41685,130,0.01730,162,0.41228
ENSG00000235098,ANKRD65,18,0.39185,14,-0.0738,6,-1.2320,16,0.14451,12,-0.2462,17,0.29485,3,-2.0229,20,0.59847
ENSG00000179403,VWA1,72,2.74611,14,-0.1020,6,-1.3082,4,-1.9065,14,-0.1183,19,0.41286,2,-2.6985,7,-1.2545
