Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000228794,LINC01128,108,1.54014,12,-1.9247,29,-0.5667,22,-0.9854,44,0.04011,26,-0.7474,11,-2.0182,33,-0.4122,49,0.20034,71,0.80673,93,1.27358,16,-1.5025
ENSG00000188976,NOC2L,108,1.31926,16,-1.6600,47,-0.0298,16,-1.6254,54,0.16407,29,-0.7821,53,0.14790,75,0.69357,79,0.78622,14,-1.8647,70,0.59787,19,-1.3877
ENSG00000188290,HES4,108,1.74999,16,-1.2760,44,0.23185,36,-0.1056,40,0.09487,30,-0.3701,63,0.81131,53,0.51989,32,-0.2639,22,-0.8456,1,-4.4556,11,-1.7959
ENSG00000078808,SDF4,108,0.98697,59,0.00157,67,0.20822,72,0.33242,88,0.65353,40,-0.6034,68,0.22926,84,0.57219,60,0.04078,30,-1.0318,16,-1.8972,12,-2.3680
ENSG00000160087,UBE2J2,108,1.54895,22,-1.0256,42,-0.0354,30,-0.5202,17,-1.3470,50,0.24274,45,0.08675,56,0.44865,50,0.25525,17,-1.3885,51,0.27430,23,-0.9308
ENSG00000131584,ACAP3,108,0.48467,47,-0.7981,134,0.83686,92,0.22689,120,0.65789,63,-0.3527,40,-1.0378,91,0.21685,172,1.26990,9,-3.1449,30,-1.4689,48,-0.7892
ENSG00000127054,INTS11,108,1.41349,27,-0.8258,73,0.73704,53,0.23459,21,-1.2053,35,-0.3988,34,-0.4473,84,0.97803,85,1.00675,0,-6.6815,24,-0.9624,6,-2.9884
ENSG00000107404,DVL1,108,1.00811,17,-1.8327,35,-0.7799,125,1.26199,125,1.25583,66,0.21224,36,-0.7422,36,-0.7182,32,-0.8919,38,-0.6431,41,-0.5207,36,-0.7172
ENSG00000175756,AURKAIP1,108,-0.2553,103,-0.3269,51,-1.3858,142,0.17304,162,0.38879,189,0.63391,115,-0.1563,230,0.96130,123,-0.0500,163,0.39330,89,-0.5512,51,-1.3927
ENSG00000221978,CCNL2,108,0.88800,42,-0.5965,157,1.53551,53,-0.2444,51,-0.2978,35,-0.8632,61,-0.0271,78,0.35543,80,0.38968,12,-2.3816,30,-1.1083,39,-0.7040
