Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9to11,Feature log2 fold change topic 9to11
ENSG00000228794,LINC01128,8,-2.2687,25,-0.6618,20,-0.9773,28,-0.4894,57,0.75190,55,0.66089,38,0.00251
ENSG00000188976,NOC2L,28,-0.4570,17,-1.1689,35,-0.1026,12,-1.6865,15,-1.5097,47,0.42012,65,1.25679
ENSG00000188290,HES4,18,-0.9856,38,0.15993,58,0.81693,23,-0.6462,37,0.09753,15,-1.3445,47,0.64127
ENSG00000187608,ISG15,46,0.38395,159,2.71928,17,-1.1460,19,-0.9347,13,-1.6759,15,-1.4060,33,-0.1532
ENSG00000078808,SDF4,30,-0.8376,30,-0.8327,45,-0.2194,50,-0.0745,53,0.01581,36,-0.6279,80,0.94254
ENSG00000160087,UBE2J2,12,-1.4576,29,-0.1632,17,-1.0169,18,-0.8633,30,-0.1669,19,-0.9190,62,1.49185
ENSG00000131584,ACAP3,52,-0.6485,158,1.15244,38,-1.1193,31,-1.4233,79,0.00333,64,-0.3450,100,0.50387
ENSG00000127054,INTS11,16,-1.4485,28,-0.5833,24,-0.8060,28,-0.5892,19,-1.2388,38,-0.1064,79,1.57976
ENSG00000107404,DVL1,40,-0.7964,105,0.73961,54,-0.3176,82,0.34129,76,0.24657,28,-1.4134,80,0.39412
ENSG00000175756,AURKAIP1,43,-1.5376,128,0.11114,135,0.19304,159,0.46105,95,-0.3826,57,-1.2262,181,0.90938
ENSG00000221978,CCNL2,57,0.43360,12,-1.8991,26,-0.7977,12,-1.8913,29,-0.6605,42,-0.0315,75,1.25567
ENSG00000242485,MRPL20,73,-0.7375,65,-0.9191,153,0.42799,164,0.54014,101,-0.2512,90,-0.4608,151,0.53031
ENSG00000205090,TMEM240,8,-1.6410,3,-2.8905,8,-1.4947,12,-1.0036,30,0.44007,27,0.22278,38,1.04532
ENSG00000160075,SSU72,21,-2.8195,190,0.52221,132,-0.0612,183,0.45517,112,-0.3588,104,-0.4724,185,0.62662
ENSG00000228594,FNDC10,18,-0.5031,18,-0.5133,8,-1.7037,32,0.40269,28,0.20979,23,-0.1434,32,0.52280
ENSG00000197530,MIB2,6,-1.9327,4,-2.4417,9,-1.4113,18,-0.4118,31,0.44833,15,-0.7291,44,1.41145
ENSG00000248333,CDK11B,103,1.48775,5,-3.1921,16,-1.4650,55,0.39595,28,-0.6784,79,1.19167,25,-0.9740
ENSG00000008130,NADK,7,-1.5520,6,-1.8795,26,0.30617,34,0.75211,21,-0.0604,17,-0.3497,29,0.59887
ENSG00000078369,GNB1,183,-1.6066,595,0.20303,504,-0.0600,626,0.28451,613,0.28141,428,-0.3480,591,0.24439
ENSG00000187730,GABRD,9,-3.6000,101,-0.0988,66,-0.7539,97,-0.1518,73,-0.6539,78,-0.5406,201,1.48186
ENSG00000067606,PRKCZ,77,-1.1676,152,-0.1307,109,-0.6548,208,0.36361,145,-0.2270,166,0.00588,218,0.57230
ENSG00000162585,FAAP20,48,0.19059,94,1.31230,32,-0.4459,37,-0.2084,44,0.06180,16,-1.5431,46,0.13348
ENSG00000157933,SKI,55,0.23551,23,-1.1273,45,-0.0803,28,-0.8038,66,0.57754,42,-0.2336,53,0.20856
