Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to11,Feature log2 fold change topic 2to11
ENSG00000228794,LINC01128,18,-0.9592,36,0.95922
ENSG00000188976,NOC2L,31,-0.9983,63,0.99839
ENSG00000188290,HES4,22,-1.1563,49,1.15634
ENSG00000187608,ISG15,20,-1.1034,43,1.10349
ENSG00000188157,AGRN,16,-1.1919,38,1.19195
ENSG00000078808,SDF4,50,-0.3019,62,0.30197
ENSG00000176022,B3GALT6,14,-0.5427,21,0.54274
ENSG00000160087,UBE2J2,22,-0.9819,43,0.98192
ENSG00000131584,ACAP3,99,0.09441,93,-0.0944
ENSG00000127054,INTS11,45,-0.1157,49,0.11574
ENSG00000224051,CPTP,9,-1.1993,20,1.19939
ENSG00000107404,DVL1,38,-1.0646,81,1.06462
ENSG00000175756,AURKAIP1,58,-1.5681,173,1.56816
ENSG00000221978,CCNL2,58,0.28783,47,-0.2878
ENSG00000242485,MRPL20,48,-1.3787,125,1.37874
ENSG00000235098,ANKRD65,20,-0.6699,31,0.66995
ENSG00000179403,VWA1,109,2.08777,25,-2.0877
ENSG00000205090,TMEM240,11,-1.5184,32,1.51844
ENSG00000160075,SSU72,50,-1.5576,149,1.55761
ENSG00000228594,FNDC10,7,-2.4564,39,2.45648
ENSG00000197530,MIB2,24,-0.7167,40,0.71672
ENSG00000248333,CDK11B,120,0.78049,70,-0.7804
ENSG00000008128,CDK11A,70,1.07227,33,-1.0722
ENSG00000215790,SLC35E2A,19,-0.3879,25,0.38797
ENSG00000008130,NADK,4,-2.4787,25,2.47871
ENSG00000078369,GNB1,201,-1.3152,501,1.31520
ENSG00000187730,GABRD,17,-2.9573,136,2.95736
ENSG00000067606,PRKCZ,80,-1.3765,209,1.37658
ENSG00000162585,FAAP20,26,-0.7330,44,0.73308
ENSG00000157933,SKI,47,0.65826,30,-0.6582
ENSG00000157916,RER1,19,-1.3416,49,1.34165
ENSG00000157911,PEX10,20,-0.4453,27,0.44538
ENSG00000149527,PLCH2,5,-1.9466,20,1.94665
ENSG00000157870,PRXL2B,14,-1.7266,47,1.72662
ENSG00000177133,PRDM16-DT,9,-1.8553,34,1.85536
