Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,47,0.27235,55,0.52891,51,0.41137,41,0.06115,40,0.02050,42,0.10813,26,-0.6396,49,0.33341,33,-0.2935,30,-0.4348,21,-0.9762
ENSG00000188976,NOC2L,48,-0.0674,50,-0.0275,79,0.71970,75,0.64441,34,-0.6153,61,0.30476,59,0.23785,60,0.28342,31,-0.7485,26,-1.0054,32,-0.6963
ENSG00000188290,HES4,23,-0.5893,12,-1.5409,43,0.39125,22,-0.6804,25,-0.4784,23,-0.5768,33,-0.0212,58,0.86375,39,0.22311,63,1.03181,30,-0.1619
ENSG00000187608,ISG15,8,-2.1377,6,-2.6115,33,-0.0492,3,-3.5878,54,0.75560,65,1.06538,17,-1.0363,84,1.53892,13,-1.3926,27,-0.3393,62,0.99537
ENSG00000188157,AGRN,10,-1.2659,21,-0.1666,33,0.52125,39,0.83309,10,-1.3161,33,0.53256,24,0.06113,30,0.36487,19,-0.3509,26,0.15774,14,-0.7822
ENSG00000078808,SDF4,29,-1.1141,39,-0.6504,59,-0.0054,54,-0.1464,66,0.15980,43,-0.4836,53,-0.1825,61,0.04586,55,-0.1130,109,1.00167,84,0.56979
ENSG00000176022,B3GALT6,33,0.41758,11,-1.2684,34,0.45153,35,0.47681,30,0.27452,33,0.41145,21,-0.3180,15,-0.8350,38,0.63435,13,-1.0713,19,-0.4680
ENSG00000160087,UBE2J2,33,-0.2401,36,-0.0987,48,0.36532,52,0.50946,48,0.35199,19,-1.0728,29,-0.4356,34,-0.1954,54,0.54841,46,0.29748,22,-0.8361
ENSG00000131584,ACAP3,45,-0.8053,113,0.61915,121,0.73997,114,0.64627,90,0.25236,44,-0.8649,34,-1.2360,58,-0.4345,87,0.19885,78,0.01729,60,-0.3809
ENSG00000127054,INTS11,28,-0.7634,45,-0.0091,53,0.23487,57,0.34745,45,-0.0160,36,-0.3561,51,0.17620,26,-0.8317,42,-0.1420,85,1.01432,34,-0.4662
ENSG00000224051,CPTP,27,0.37851,11,-0.9797,15,-0.5413,24,0.21358,42,1.10466,19,-0.1855,17,-0.3755,26,0.31321,14,-0.6265,13,-0.7296,26,0.31870
ENSG00000107404,DVL1,27,-1.0163,45,-0.2386,30,-0.8484,43,-0.3104,37,-0.5327,46,-0.2163,27,-1.0158,84,0.76033,71,0.49282,90,0.86782,78,0.62918
ENSG00000175756,AURKAIP1,108,-0.6328,78,-1.1327,154,-0.0863,157,-0.0541,167,0.04183,274,0.85383,181,0.16767,224,0.51118,160,-0.0256,172,0.08985,115,-0.5461
ENSG00000221978,CCNL2,22,-1.4902,108,0.99586,106,0.96453,55,-0.1115,54,-0.1334,40,-0.5800,53,-0.1525,33,-0.8890,48,-0.3018,74,0.37263,53,-0.1690
