Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000228794,LINC01128,18,-0.5752,35,0.41825,25,-0.1237,40,0.62481,38,0.64023,29,0.15193,18,-0.6113,25,-0.0745,36,0.45916,12,-1.2312,6,-2.0953
ENSG00000188976,NOC2L,64,0.60348,38,-0.2277,26,-0.7916,46,0.05529,45,0.04658,63,0.56303,54,0.30641,36,-0.2977,50,0.18769,27,-0.7519,35,-0.3676
ENSG00000188290,HES4,21,-0.8459,48,0.44155,35,-0.0272,21,-0.8407,32,-0.2082,52,0.59944,35,-0.0476,45,0.34834,16,-1.2457,85,1.40758,11,-1.6946
ENSG00000187608,ISG15,17,-1.6193,60,0.23601,91,0.91903,29,-0.8748,33,-0.7491,86,0.84152,24,-1.1770,38,-0.4650,39,-0.4184,123,1.44739,44,-0.2413
ENSG00000188157,AGRN,13,-0.8305,10,-1.2047,40,0.86113,31,0.47089,27,0.26980,47,1.14665,25,0.15085,12,-0.9518,13,-0.8519,16,-0.5497,15,-0.6441
ENSG00000078808,SDF4,73,0.21926,55,-0.2091,52,-0.2973,51,-0.3462,65,0.04897,74,0.24091,53,-0.2688,51,-0.3287,56,-0.1986,99,0.71244,66,0.06098
ENSG00000176022,B3GALT6,30,0.33734,29,0.28620,27,0.15596,31,0.36783,26,0.12499,35,0.57330,22,-0.1434,22,-0.1341,18,-0.4385,15,-0.7028,10,-1.3817
ENSG00000160087,UBE2J2,42,0.24588,52,0.58081,25,-0.5398,53,0.61404,37,0.03692,24,-0.6313,27,-0.4668,36,-0.0203,29,-0.3506,43,0.27125,29,-0.3421
ENSG00000131584,ACAP3,47,-0.3324,73,0.35284,73,0.34797,59,0.01185,76,0.45038,76,0.41847,41,-0.5357,56,-0.0813,38,-0.6609,32,-0.9145,56,-0.0742
ENSG00000127054,INTS11,70,0.63391,44,-0.0929,55,0.25567,36,-0.4123,49,0.07665,55,0.24523,48,0.04598,34,-0.4902,32,-0.6029,48,0.02146,43,-0.1240
ENSG00000224051,CPTP,16,-0.5961,29,0.30512,23,-0.0531,35,0.57478,28,0.22787,25,0.02513,31,0.41112,14,-0.7705,22,-0.1379,17,-0.5364,21,-0.1797
ENSG00000107404,DVL1,42,-0.2336,55,0.18587,98,1.15155,38,-0.3609,60,0.37251,46,-0.0743,28,-0.8507,32,-0.6288,25,-0.9847,45,-0.1121,53,0.12540
ENSG00000175756,AURKAIP1,138,-0.2048,182,0.23066,131,-0.2870,174,0.16080,154,-0.0385,167,0.09871,160,0.03203,170,0.12729,194,0.33247,133,-0.2603,129,-0.3039
ENSG00000221978,CCNL2,33,-1.0307,58,-0.1617,47,-0.4834,94,0.59501,74,0.24938,64,-0.0159,80,0.33736,54,-0.2723,70,0.13744,69,0.10531,56,-0.2100
ENSG00000242485,MRPL20,138,-0.3869,188,0.09820,222,0.36027,164,-0.1141,165,-0.1204,193,0.14200,183,0.05487,260,0.62127,178,0.01022,130,-0.4752,135,-0.4220
ENSG00000235098,ANKRD65,8,-1.5367,28,0.23990,21,-0.2202,33,0.51592,31,0.48360,22,-0.1401,16,-0.5788,17,-0.4961,10,-1.2897,15,-0.6488,52,1.29055
ENSG00000179403,VWA1,15,-1.1969,10,-1.7071,8,-2.1258,8,-2.0208,5,-2.9014,12,-1.4410,14,-1.2910,2,-4.0560,6,-2.5048,60,0.98484,247,4.19323
ENSG00000197785,ATAD3A,23,0.68833,17,0.19979,16,0.07784,20,0.44496,13,-0.2766,14,-0.1103,9,-0.7415,12,-0.3452,9,-0.7421,20,0.49505,14,-0.1207
ENSG00000205090,TMEM240,35,0.45630,30,0.18630,19,-0.4636,57,1.28018,38,0.67360,19,-0.4914,27,0.04031,15,-0.8175,15,-0.8656,14,-0.8995,6,-2.0467
ENSG00000160075,SSU72,80,-0.5432,124,0.13757,131,0.22677,129,0.20355,131,0.25076,172,0.66157,76,-0.6174,92,-0.3233,146,0.39534,71,-0.7294,80,-0.5348
ENSG00000228594,FNDC10,15,-0.5202,22,0.07298,16,-0.3685,24,0.19233,21,-0.0177,48,1.34840,8,-1.3679,10,-1.0240,33,0.73812,28,0.45990,5,-2.1066
