Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4to7,Feature log2 fold change topic 4to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,46,0.38030,47,0.52566,12,-1.8331,13,-1.7172
ENSG00000188976,NOC2L,43,-0.0931,60,0.90369,18,-1.3755,14,-1.7670
ENSG00000078808,SDF4,38,-0.5017,52,0.21872,60,0.35598,52,0.11156
ENSG00000131584,ACAP3,52,-0.9289,115,0.93231,57,-0.6120,85,0.01564
ENSG00000127054,INTS11,31,-0.2331,42,0.50645,30,-0.2625,23,-0.6191
ENSG00000107404,DVL1,48,-0.2358,49,-0.2212,58,0.12795,84,0.76108
ENSG00000175756,AURKAIP1,112,-0.3285,167,0.69483,66,-1.0763,112,-0.2519
ENSG00000221978,CCNL2,32,-1.1117,72,0.65386,78,0.52175,53,-0.1274
ENSG00000242485,MRPL20,132,0.06203,135,0.14744,90,-0.5609,126,-0.0291
ENSG00000160075,SSU72,115,-0.0332,132,0.33897,64,-0.9521,114,-0.0440
ENSG00000248333,CDK11B,56,-0.3188,66,0.01940,121,1.04049,36,-0.9303
ENSG00000078369,GNB1,565,0.35449,485,0.00791,194,-1.4151,520,0.11810
ENSG00000187730,GABRD,165,0.08920,226,1.10767,7,-4.5835,21,-3.0656
ENSG00000067606,PRKCZ,216,0.19773,239,0.53539,89,-1.2442,86,-1.2940
ENSG00000157933,SKI,43,-0.4521,57,0.16109,27,-1.0585,98,1.03200
ENSG00000157916,RER1,32,-0.8772,65,0.77389,48,-0.0559,46,-0.1538
ENSG00000157870,PRXL2B,70,0.86950,39,-0.5383,26,-0.9463,47,-0.0686
ENSG00000158109,TPRG1L,274,0.85630,191,-0.0189,53,-1.9833,91,-1.1585
ENSG00000130764,LRRC47,72,-0.0661,92,0.61663,32,-1.3195,52,-0.5595
ENSG00000116198,CEP104,32,-0.7501,48,0.07120,96,1.23248,37,-0.3886
ENSG00000196581,AJAP1,43,-0.8728,107,1.60825,30,-1.2527,16,-2.2011
ENSG00000069424,KCNAB2,188,0.53001,164,0.24297,29,-2.4686,97,-0.6811
