Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8to10,Feature log2 fold change topic 8to10
ENSG00000228794,LINC01128,16,-0.7626,18,-0.5724,21,-0.4356,34,0.49345,30,0.24422
ENSG00000188976,NOC2L,31,-0.2309,24,-0.6328,35,-0.0207,43,0.40356,34,-0.0894
ENSG00000188290,HES4,47,0.82711,36,0.36604,34,0.31397,13,-1.3618,31,0.20107
ENSG00000187608,ISG15,41,0.99527,33,0.63443,22,-0.0119,6,-2.2342,29,0.57340
ENSG00000188157,AGRN,22,0.72074,10,-0.5000,17,0.36355,9,-0.8858,16,0.27031
ENSG00000078808,SDF4,46,-0.2694,58,0.11254,65,0.32892,40,-0.5654,62,0.29625
ENSG00000176022,B3GALT6,12,-0.9397,21,-0.0438,21,-0.0485,25,0.30807,22,0.04517
ENSG00000160087,UBE2J2,26,-0.2999,22,-0.5990,40,0.39588,32,-0.0174,32,0.02669
ENSG00000162572,SCNN1D,15,0.09570,13,-0.1271,16,0.25720,17,0.38558,10,-0.6670
ENSG00000131584,ACAP3,76,0.29064,55,-0.2299,57,-0.1984,64,0.00943,66,0.09186
ENSG00000127054,INTS11,51,0.57402,18,-1.0449,36,-0.0060,23,-0.7929,49,0.69333
ENSG00000224051,CPTP,19,0.25013,8,-1.1551,16,-0.0961,14,-0.2848,21,0.55262
ENSG00000107404,DVL1,54,0.35883,36,-0.2950,56,0.48849,31,-0.6379,45,0.11256
ENSG00000175756,AURKAIP1,97,-0.3773,146,0.28133,136,0.18704,126,0.04150,113,-0.1790
ENSG00000221978,CCNL2,74,0.33066,46,-0.4381,64,0.10517,57,-0.1176,62,0.04459
ENSG00000242485,MRPL20,109,-0.3812,166,0.29025,142,0.05178,125,-0.1982,149,0.16145
ENSG00000179403,VWA1,44,1.86239,31,1.20968,15,0.05258,7,-1.3768,8,-1.1671
ENSG00000160072,ATAD3B,10,-0.2662,2,-2.4310,19,0.81162,13,0.17129,11,-0.2511
ENSG00000197785,ATAD3A,7,-0.2229,10,0.15641,10,0.18139,5,-1.1108,12,0.73551
ENSG00000205090,TMEM240,11,-1.5153,18,-0.7402,29,-0.0299,42,0.79625,27,-0.1629
ENSG00000160075,SSU72,88,-0.6041,118,-0.1495,138,0.11832,138,0.13452,133,0.05080
ENSG00000228594,FNDC10,21,-0.3287,33,0.43164,30,0.27143,27,0.08832,21,-0.4124
ENSG00000272106,AL691432.2,10,-0.8615,27,0.65199,9,-1.1750,16,-0.1561,25,0.73467
ENSG00000197530,MIB2,29,0.07085,15,-0.9188,28,0.03582,32,0.30884,27,-0.0749
ENSG00000248333,CDK11B,61,1.78266,14,-0.6607,10,-1.2832,22,0.05560,18,-0.3132
ENSG00000189339,SLC35E2B,27,0.11805,17,-0.5683,24,-0.0733,32,0.56783,20,-0.4231
ENSG00000008128,CDK11A,33,1.65076,2,-2.3002,5,-1.3672,14,0.31142,12,-0.1133
ENSG00000215790,SLC35E2A,29,-0.1384,16,-0.9905,41,0.50700,29,-0.1321,33,0.08206
ENSG00000008130,NADK,20,-0.2255,15,-0.6789,21,-0.1291,17,-0.5559,34,0.85417
ENSG00000078369,GNB1,313,-0.7546,510,0.00946,563,0.19236,518,0.04725,521,0.05800
ENSG00000187730,GABRD,54,-1.3805,75,-0.8938,163,0.36975,97,-0.6264,196,0.88143
ENSG00000067606,PRKCZ,122,-0.4436,114,-0.5525,176,0.14948,195,0.39279,150,-0.1626
ENSG00000162585,FAAP20,50,0.80103,41,0.48108,39,0.45392,22,-0.6369,24,-0.5014
ENSG00000157933,SKI,40,0.61467,19,-0.5644,29,0.09778,32,0.33052,20,-0.5746
ENSG00000157916,RER1,43,-0.1638,53,0.18098,41,-0.2378,44,-0.1409,54,0.28523
ENSG00000157911,PEX10,25,0.43063,22,0.24033,26,0.59647,15,-0.4709,15,-0.4150
ENSG00000149527,PLCH2,9,-0.6370,6,-1.0788,21,0.83239,5,-1.6623,20,0.96816
ENSG00000157881,PANK4,2,-2.6283,12,0.05804,9,-0.3733,13,0.36027,14,0.40475
ENSG00000197921,HES5,25,1.27003,24,1.15250,8,-0.6357,6,-1.2751,12,0.01065
ENSG00000157873,TNFRSF14,13,0.48189,11,0.30357,14,0.72365,3,-2.0058,11,0.37004
ENSG00000157870,PRXL2B,20,-1.1117,30,-0.4502,42,0.04765,45,0.21761,46,0.25230
ENSG00000177133,PRDM16-DT,26,0.21841,36,0.72284,24,0.05698,23,0.00313,17,-0.5725
ENSG00000158109,TPRG1L,79,-1.2630,174,-0.0468,196,0.15936,204,0.27033,179,-0.0026
ENSG00000116213,WRAP73,14,0.50682,8,-0.3835,8,-0.4371,7,-0.6731,14,0.74167
ENSG00000130764,LRRC47,36,-1.1856,74,-0.0939,69,-0.2129,83,0.13205,94,0.40573
ENSG00000116198,CEP104,55,1.28534,26,0.03891,15,-0.8547,29,0.27422,19,-0.5899
ENSG00000198912,C1orf174,8,-0.5948,8,-0.6753,14,0.15196,12,-0.1548,16,0.46124
ENSG00000196581,AJAP1,21,-0.5203,12,-1.3302,19,-0.7302,26,-0.2538,49,1.16711
ENSG00000069424,KCNAB2,97,-0.7410,157,0.00557,173,0.18736,144,-0.1673,177,0.26228
ENSG00000116254,CHD5,200,0.03087,113,-0.8594,181,-0.1356,258,0.60935,169,-0.2893
ENSG00000116251,RPL22,721,0.23975,962,0.72073,619,-0.0085,653,0.10337,445,-0.6465
ENSG00000116237,ICMT,21,-0.6130,28,-0.1619,29,-0.1194,25,-0.4711,44,0.74898
ENSG00000097021,ACOT7,51,-2.0609,96,-1.1303,189,-0.0897,200,0.01380,287,0.83644
ENSG00000215788,TNFRSF25,14,-0.6644,19,-0.2508,15,-0.6223,11,-1.2847,42,1.56906
ENSG00000171680,PLEKHG5,12,-0.7190,10,-1.0773,18,-0.2058,15,-0.5301,32,1.10541
ENSG00000162408,NOL9,25,-0.2303,24,-0.2974,30,0.10244,23,-0.4209,36,0.49448
ENSG00000162413,KLHL21,19,-0.5015,21,-0.3585,29,0.17711,19,-0.5952,36,0.67412
ENSG00000116273,PHF13,11,-0.1712,21,0.87466,6,-1.1769,13,0.22232,12,0.05486
ENSG00000041988,THAP3,8,-0.5623,5,-1.1906,13,0.15056,10,-0.3606,17,0.73380
ENSG00000007923,DNAJC11,23,-0.2051,22,-0.2596,31,0.26621,27,0.02921,26,-0.0572
ENSG00000171735,CAMTA1,205,-0.7021,212,-0.6485,286,-0.2053,391,0.42470,350,0.17779
ENSG00000049245,VAMP3,67,1.64254,28,0.14489,22,-0.2845,21,-0.3978,18,-0.6263
ENSG00000049246,PER3,59,0.40455,56,0.29873,37,-0.3995,36,-0.4745,55,0.37026
ENSG00000116288,PARK7,212,-0.7491,385,0.19100,347,0.02712,302,-0.2480,407,0.37489
ENSG00000116285,ERRFI1,14,-0.4119,22,0.21113,16,-0.3238,14,-0.5197,26,0.71128
ENSG00000162426,SLC45A1,8,-1.2625,11,-0.8223,25,0.44941,20,0.06836,22,0.21423
ENSG00000142599,RERE,147,0.45564,87,-0.3970,94,-0.3049,116,0.09359,114,0.05353
ENSG00000074800,ENO1,405,-0.1048,693,0.78000,364,-0.3021,384,-0.2372,448,0.07422
ENSG00000171612,SLC25A33,26,-0.3995,77,1.39926,25,-0.5463,27,-0.4473,35,0.07041
ENSG00000171608,PIK3CD,2,-2.2097,3,-1.8661,24,1.54592,14,0.53788,5,-1.3792
ENSG00000171603,CLSTN1,248,-1.4531,388,-0.7750,548,-0.2649,640,0.01062,905,0.79373
ENSG00000178585,CTNNBIP1,29,0.05649,37,0.48761,41,0.73886,20,-0.5719,22,-0.4134
ENSG00000162441,LZIC,87,0.65697,68,0.27075,41,-0.5787,66,0.28618,47,-0.3927
ENSG00000130939,UBE4B,38,0.00932,15,-1.3664,38,0.02621,43,0.28565,39,0.08175
ENSG00000054523,KIF1B,427,0.14643,306,-0.3816,355,-0.1670,459,0.34675,360,-0.1614
ENSG00000284642,AL139424.2,4,-1.4672,6,-0.7125,15,0.68665,10,-0.1113,11,0.18039
ENSG00000142657,PGD,32,-0.6663,41,-0.3074,54,0.16597,47,-0.1258,58,0.33650
ENSG00000175279,CENPS,2,-2.2514,12,-0.0871,16,0.52123,13,0.09009,13,0.03536
ENSG00000241563,CORT,7,-2.3990,14,-1.4111,11,-1.8200,88,2.82495,14,-1.6402
ENSG00000160049,DFFA,62,0.76154,28,-0.5215,42,0.12541,32,-0.3590,39,0.03365
ENSG00000142655,PEX14,9,-0.8242,11,-0.5648,15,-0.1199,17,0.09626,20,0.45374
ENSG00000120948,TARDBP,88,0.31425,67,-0.1204,54,-0.5222,72,-0.0284,83,0.27662
ENSG00000271895,AL109811.2,8,-0.8292,13,-0.1764,14,-0.0812,14,-0.0946,18,0.47975
ENSG00000116649,SRM,36,-0.3873,61,0.48338,38,-0.3297,40,-0.2622,54,0.38016
ENSG00000171824,EXOSC10,53,0.94208,29,-0.0491,23,-0.4852,22,-0.5820,36,0.34830
ENSG00000198793,MTOR,13,-1.6639,39,-0.0616,36,-0.2055,41,0.05686,52,0.53685
ENSG00000116661,FBXO2,169,-0.0351,257,0.65193,182,0.09996,142,-0.3893,170,-0.0297
ENSG00000132879,FBXO44,46,-0.7166,50,-0.5975,88,0.33079,58,-0.4674,96,0.59182
ENSG00000177000,MTHFR,19,0.39725,17,0.18969,13,-0.1587,11,-0.5359,17,0.32138
ENSG00000011021,CLCN6,47,-0.4094,68,0.17103,57,-0.1157,63,0.04960,65,0.11418
ENSG00000116685,KIAA2013,48,1.28567,17,-0.4259,17,-0.4388,15,-0.7306,26,0.32607
ENSG00000083444,PLOD1,17,-0.0453,7,-1.4093,19,0.10674,23,0.60630,15,-0.3189
ENSG00000116688,MFN2,67,-0.8154,83,-0.4955,115,0.01956,132,0.32372,120,0.11005
ENSG00000116691,MIIP,15,0.79357,20,1.31819,9,0.09113,3,-1.9545,9,0.07947
ENSG00000048707,VPS13D,58,-0.3132,50,-0.5238,76,0.14065,93,0.59611,56,-0.4645
ENSG00000162496,DHRS3,38,1.26316,47,1.65245,11,-0.8154,7,-1.5349,16,-0.1591
ENSG00000116731,PRDM2,173,0.07138,86,-1.0142,107,-0.7514,250,0.94312,145,-0.2697
ENSG00000189337,KAZN,57,0.11743,34,-0.6828,60,0.22801,54,0.01744,53,-0.0091
ENSG00000142634,EFHD2,63,-0.6964,39,-1.4155,115,0.28104,175,1.38730,44,-1.4659
ENSG00000116138,DNAJC16,25,-0.2632,23,-0.3993,22,-0.4817,29,-0.0408,38,0.58700
ENSG00000197312,DDI2,24,-0.2072,20,-0.4864,19,-0.5690,35,0.57270,27,0.03578
ENSG00000116786,PLEKHM2,74,0.11251,72,0.07367,98,0.67351,55,-0.4475,60,-0.2577
ENSG00000065526,SPEN,222,1.36499,51,-1.0324,56,-0.9753,123,0.46630,80,-0.4306
ENSG00000116809,ZBTB17,24,0.83779,24,0.82990,18,0.42818,5,-1.6463,14,-0.0189
ENSG00000037637,FBXO42,10,-1.1007,9,-1.2677,13,-0.6702,28,0.70342,24,0.39129
ENSG00000055070,SZRD1,51,1.53784,34,0.81255,19,-0.1182,10,-1.3525,18,-0.2726
ENSG00000157191,NECAP2,19,1.37545,17,1.17819,11,0.52236,2,-1.9383,6,-0.6844
ENSG00000058453,CROCC,10,0.05060,1,-2.5005,10,0.03286,8,-0.3855,14,0.79719
ENSG00000159363,ATP13A2,41,-1.0443,40,-1.0903,106,0.50212,86,0.11949,86,0.13571
ENSG00000117118,SDHB,32,-1.2808,102,0.53018,57,-0.4506,70,-0.1029,93,0.50467
ENSG00000117115,PADI2,159,2.40910,60,0.55493,45,0.08883,20,-1.4034,19,-1.4074
ENSG00000179051,RCC2,15,0.09975,12,-0.2935,22,0.83431,6,-1.5687,18,0.49116
ENSG00000074964,ARHGEF10L,25,0.80278,10,-0.6058,16,0.09690,14,-0.2241,15,-0.0678
ENSG00000117154,IGSF21,50,-0.0765,53,0.00837,42,-0.3970,47,-0.2452,67,0.51019
ENSG00000159423,ALDH4A1,31,1.08900,17,0.12660,20,0.39699,13,-0.3897,11,-0.7197
ENSG00000169991,IFFO2,8,-0.4576,9,-0.2803,8,-0.3363,12,0.31077,11,0.19394
ENSG00000127481,UBR4,45,1.21378,19,-0.2016,9,-1.4321,27,0.49587,18,-0.3974
ENSG00000127463,EMC1,25,-0.1049,17,-0.6751,24,-0.2174,22,-0.4148,38,0.76304
ENSG00000053372,MRTO4,20,-1.0035,33,-0.2540,36,-0.1040,49,0.52395,37,-0.0535
ENSG00000053371,AKR7A2,52,0.89258,48,0.78409,18,-0.8646,19,-0.8223,35,0.34566
ENSG00000077549,CAPZB,110,-0.3187,132,-0.0278,122,-0.1826,129,-0.0943,159,0.34800
