Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000228794,LINC01128,39,-0.0789,28,-0.5687,33,-0.3191,110,1.68058,41,0.02201,27,-0.5973,45,0.19797,16,-1.4236,21,-0.9611
ENSG00000188976,NOC2L,62,0.41958,35,-0.4978,45,-0.1314,48,-0.0207,38,-0.4164,49,-0.0083,78,0.84378,22,-1.2151,32,-0.6559
ENSG00000188290,HES4,16,-1.3874,34,-0.1692,17,-1.2351,45,0.25644,39,0.05521,80,1.20920,41,0.15225,70,0.99175,17,-1.1882
ENSG00000187608,ISG15,15,-1.5865,31,-0.4068,28,-0.5451,17,-1.2520,37,-0.1195,67,0.83356,68,0.96867,76,1.04901,21,-1.0004
ENSG00000188157,AGRN,14,-0.4699,11,-0.7571,20,0.15522,15,-0.3213,11,-0.7885,38,1.18292,15,-0.3342,33,0.96944,22,0.29182
ENSG00000078808,SDF4,43,-0.4445,39,-0.5704,72,0.39223,94,0.82529,39,-0.6228,78,0.52926,49,-0.2225,71,0.36160,59,0.06798
ENSG00000176022,B3GALT6,21,-0.0730,22,0.02060,12,-0.8762,29,0.48477,18,-0.2771,28,0.40305,27,0.37326,19,-0.2038,17,-0.3198
ENSG00000160087,UBE2J2,32,-0.0325,23,-0.5706,23,-0.5644,47,0.56546,20,-0.8350,59,0.93573,44,0.51622,25,-0.4547,27,-0.3015
ENSG00000131584,ACAP3,92,0.57154,66,-0.0261,91,0.49241,79,0.25805,35,-1.0661,105,0.72337,46,-0.6170,43,-0.6673,73,0.12640
ENSG00000127054,INTS11,40,0.16681,21,-0.8233,9,-1.9978,47,0.40810,28,-0.4413,49,0.46072,50,0.54722,43,0.24576,33,-0.1683
ENSG00000224051,CPTP,17,0.08300,22,0.51054,9,-0.7560,19,0.25971,10,-0.7068,32,1.11532,20,0.44651,3,-2.3759,11,-0.6102
ENSG00000107404,DVL1,29,-0.9379,54,0.07255,87,0.82590,54,0.07722,33,-0.7353,103,1.12454,34,-0.6989,96,1.00754,34,-0.6426
ENSG00000175756,AURKAIP1,83,-0.8813,172,0.31031,88,-0.7330,123,-0.2123,151,0.12424,280,1.12384,181,0.44680,114,-0.3304,85,-0.7831
ENSG00000221978,CCNL2,78,0.54202,32,-0.8829,33,-0.8668,45,-0.3868,34,-0.8903,62,0.10077,65,0.21076,82,0.55369,86,0.62681
ENSG00000242485,MRPL20,67,-1.0326,195,0.69062,95,-0.4508,124,-0.0316,134,0.10269,173,0.49393,151,0.31236,131,0.05405,96,-0.4232
ENSG00000235098,ANKRD65,7,-1.9426,39,0.75951,25,0.07969,19,-0.3328,16,-0.6711,54,1.30468,28,0.28013,27,0.16370,23,-0.0759
ENSG00000179403,VWA1,12,-1.0025,9,-1.3874,22,-0.0319,10,-1.2316,4,-2.4086,14,-0.6669,12,-0.9381,47,1.23406,107,2.84790
ENSG00000205090,TMEM240,33,0.29958,10,-1.5513,28,-0.0288,30,0.08123,25,-0.1813,59,1.19158,34,0.34757,8,-1.8707,18,-0.6758
ENSG00000160075,SSU72,100,-0.3475,157,0.38700,89,-0.4953,160,0.42320,107,-0.2348,204,0.82098,151,0.36926,76,-0.7427,71,-0.8440
ENSG00000228594,FNDC10,19,-0.5955,52,1.07747,29,0.14052,40,0.61804,14,-0.9994,31,0.23710,32,0.30881,35,0.42035,4,-2.6906
ENSG00000272106,AL691432.2,20,0.07432,9,-1.1854,8,-1.2356,34,0.90147,13,-0.5949,38,1.12719,19,0.00976,13,-0.5526,22,0.23595
ENSG00000197530,MIB2,28,-0.0731,37,0.39191,41,0.56221,44,0.65132,16,-0.9857,29,0.02065,33,0.23541,30,0.05425,13,-1.2261
ENSG00000248333,CDK11B,63,0.86781,29,-0.4516,23,-0.7827,11,-1.8433,57,0.68770,9,-2.0765,12,-1.7855,49,0.35859,80,1.18624
ENSG00000189339,SLC35E2B,23,0.40850,24,0.44583,4,-2.1809,36,1.11874,14,-0.3855,24,0.42819,11,-0.8093,18,-0.0105,15,-0.3047
ENSG00000008128,CDK11A,38,0.95583,22,-0.0178,18,-0.3041,16,-0.4750,21,-0.0749,7,-1.7164,11,-1.1596,24,0.10950,41,0.95862
ENSG00000215790,SLC35E2A,31,-0.0556,43,0.47617,22,-0.5884,56,0.92266,23,-0.5576,36,0.17567,20,-0.7460,48,0.65260,30,-0.1033
ENSG00000008130,NADK,20,-0.2345,31,0.44955,12,-0.9656,15,-0.6506,16,-0.6094,40,0.89415,33,0.62613,23,-0.0014,18,-0.3754
ENSG00000078369,GNB1,399,-0.4373,844,0.79310,475,-0.1315,695,0.47389,479,-0.1283,598,0.23279,571,0.17557,446,-0.2282,242,-1.1632
ENSG00000187730,GABRD,106,-0.7705,129,-0.4144,64,-1.4746,207,0.32808,263,0.82168,290,0.88598,271,0.88002,21,-3.0706,24,-2.8633
ENSG00000067606,PRKCZ,179,0.03191,236,0.47489,133,-0.4341,224,0.39118,143,-0.3494,257,0.61000,199,0.22148,97,-0.9028,117,-0.6290
ENSG00000162585,FAAP20,15,-0.9245,52,1.06565,10,-1.4265,50,0.99536,23,-0.2764,33,0.30873,21,-0.4531,38,0.54219,23,-0.2424
ENSG00000157933,SKI,37,0.12994,30,-0.1909,24,-0.5258,47,0.49717,18,-1.0336,35,0.03484,18,-1.0700,78,1.33601,52,0.66178
ENSG00000157916,RER1,34,-0.6054,50,0.04783,11,-2.2481,33,-0.6016,46,-0.0926,97,1.12736,65,0.51253,56,0.21704,47,-0.0362
ENSG00000157911,PEX10,11,-0.9220,13,-0.6290,11,-0.7982,19,-0.0811,14,-0.5881,33,0.82223,22,0.19959,31,0.75034,34,0.89813
ENSG00000149527,PLCH2,5,-1.5491,18,0.45639,4,-1.6563,13,-0.0396,7,-0.9929,40,1.82868,9,-0.5440,25,1.02710,16,0.34467
ENSG00000157881,PANK4,14,-0.1884,4,-2.0545,4,-2.0433,39,1.54981,18,0.30319,32,1.18961,15,-0.0516,7,-1.0738,4,-1.8461
ENSG00000157870,PRXL2B,35,-0.4638,54,0.24691,25,-0.9035,75,0.77842,37,-0.3926,87,1.01858,64,0.57049,27,-0.7998,15,-1.6378
