Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9to13,Feature log2 fold change topic 9to13
ENSG00000228794,LINC01128,21,-0.6754,29,-0.2218,13,-1.3635,21,-0.6907,37,0.17988,40,0.32230,40,0.46755
ENSG00000188976,NOC2L,26,-0.8500,32,-0.5807,6,-2.8569,69,0.66758,70,0.68976,51,0.22220,50,0.24601
ENSG00000188290,HES4,62,-0.2002,81,0.21987,17,-2.0986,205,1.76314,47,-0.6230,123,0.98440,37,-1.3025
ENSG00000187608,ISG15,31,-0.7416,29,-0.8822,18,-1.5101,217,2.58321,45,-0.1642,53,0.10420,35,-0.7675
ENSG00000188157,AGRN,15,-0.5476,25,0.20949,14,-0.6482,92,2.44479,14,-0.6751,15,-0.6100,15,-0.8784
ENSG00000078808,SDF4,84,0.63255,49,-0.2487,28,-1.0602,129,1.34969,55,-0.0451,60,0.11341,44,-0.5430
ENSG00000176022,B3GALT6,24,0.16164,30,0.52048,4,-2.5600,31,0.55188,28,0.39103,24,0.18563,18,-0.4412
ENSG00000160087,UBE2J2,39,-0.0095,47,0.31318,22,-0.8437,48,0.32749,31,-0.3646,46,0.28512,36,-0.1640
ENSG00000131584,ACAP3,53,-0.3285,100,0.75990,38,-0.8320,112,0.87049,146,1.31159,66,0.02318,33,-1.3392
ENSG00000127054,INTS11,32,-0.1271,28,-0.3735,13,-1.4059,67,1.04638,35,-0.0017,53,0.75501,29,-0.4288
ENSG00000107404,DVL1,69,0.29727,144,1.80299,27,-1.1067,56,-0.0206,41,-0.4916,48,-0.2691,32,-1.1586
ENSG00000175756,AURKAIP1,176,0.12287,174,0.11582,130,-0.3516,121,-0.4586,70,-1.2762,284,1.01280,140,-0.3301
ENSG00000221978,CCNL2,20,-1.6409,30,-1.1045,38,-0.6834,181,1.84902,112,1.00255,52,-0.2470,53,-0.2797
ENSG00000242485,MRPL20,178,0.14227,162,-0.0078,125,-0.3996,118,-0.4888,90,-0.8930,280,0.98495,143,-0.2814
ENSG00000235098,ANKRD65,40,0.55669,37,0.49944,15,-0.8929,12,-1.2853,9,-1.6891,56,1.27863,20,-0.6913
ENSG00000205090,TMEM240,8,-2.0568,42,0.38557,8,-2.0513,36,0.12036,45,0.45332,45,0.50599,33,-0.0402
ENSG00000160075,SSU72,147,0.04109,220,0.77140,44,-1.7686,117,-0.3133,87,-0.7636,201,0.60359,124,-0.3162
ENSG00000228594,FNDC10,21,-0.1016,48,1.38480,1,-4.3113,7,-1.6296,41,0.95803,21,-0.0818,17,-0.6161
ENSG00000197530,MIB2,33,0.00722,59,1.03048,17,-1.0337,31,-0.0977,38,0.19440,50,0.71052,19,-1.1129
ENSG00000248333,CDK11B,45,0.38855,39,0.15411,73,1.15252,21,-0.7806,67,1.01531,31,-0.2237,23,-0.8921
ENSG00000008128,CDK11A,33,0.62723,21,-0.0867,46,1.15725,35,0.72132,69,1.87522,11,-1.0905,8,-1.8306
ENSG00000215790,SLC35E2A,35,0.23353,47,0.78450,2,-3.5887,40,0.44765,25,-0.2487,35,0.26249,25,-0.4176
ENSG00000008130,NADK,19,-0.6085,34,0.30149,11,-1.3762,62,1.26565,21,-0.4487,38,0.50570,22,-0.5143
ENSG00000078369,GNB1,599,0.11433,820,0.68514,319,-0.8530,362,-0.6641,573,0.04453,604,0.13928,508,-0.2086
ENSG00000187730,GABRD,42,-1.8105,88,-0.7726,5,-4.6870,65,-1.1559,85,-0.7638,263,1.15385,185,0.71568
ENSG00000067606,PRKCZ,105,-0.6809,267,0.88365,68,-1.3279,104,-0.6987,209,0.38607,185,0.21130,147,-0.2383
ENSG00000162585,FAAP20,84,1.15281,74,1.07571,48,0.23615,55,0.46526,30,-0.4959,49,0.32474,14,-2.0291
ENSG00000157933,SKI,52,0.43152,77,1.25436,21,-0.9026,97,1.47963,35,-0.1485,17,-1.3583,23,-1.0728
ENSG00000157916,RER1,83,0.47195,36,-0.8752,28,-1.1730,117,1.02985,43,-0.5394,80,0.45792,59,-0.0829
ENSG00000157911,PEX10,35,0.61102,25,0.09588,20,-0.2444,39,0.79959,33,0.53683,6,-2.0643,23,-0.0130
ENSG00000149527,PLCH2,11,-1.1249,57,1.65207,0,-8.1805,23,-0.0607,41,0.87957,26,0.18037,13,-1.1351
ENSG00000157870,PRXL2B,27,-0.5658,57,0.68866,10,-2.0119,28,-0.4943,5,-2.8910,71,1.08617,36,-0.1874
ENSG00000177133,PRDM16-DT,135,2.93837,36,0.52272,3,-2.8758,46,0.89872,9,-1.5131,23,-0.2529,6,-2.5463
ENSG00000158109,TPRG1L,82,-1.0586,200,0.32884,39,-2.1727,101,-0.7525,120,-0.4929,159,-0.0616,218,0.71312
ENSG00000130764,LRRC47,47,-0.6047,47,-0.6261,24,-1.5817,69,-0.0004,63,-0.1454,118,0.95566,73,0.14053
ENSG00000116198,CEP104,33,-0.1690,29,-0.3612,55,0.64800,53,0.58919,87,1.42115,17,-1.1761,30,-0.3883
ENSG00000196581,AJAP1,14,-1.7951,71,0.70949,29,-0.7512,11,-2.2105,61,0.37416,56,0.28246,50,0.11678
ENSG00000069424,KCNAB2,113,-0.4511,273,1.07988,46,-1.7846,84,-0.8974,69,-1.1935,178,0.27663,151,-0.0109
ENSG00000116254,CHD5,189,-0.6365,313,0.15466,331,0.22895,278,-0.0450,1204,2.52032,100,-1.6650,178,-0.9895
ENSG00000116251,RPL22,726,0.25492,856,0.57655,983,0.74328,765,0.33857,402,-0.6613,681,0.16942,415,-0.8408
ENSG00000116237,ICMT,35,-0.4830,30,-0.7336,11,-2.1703,84,0.91777,36,-0.4051,54,0.20926,57,0.43557
ENSG00000097021,ACOT7,49,-2.0723,107,-0.9924,37,-2.5097,48,-2.1272,105,-0.9554,314,0.83688,296,1.12802
ENSG00000215788,TNFRSF25,8,-1.5756,31,0.50325,0,-7.9921,41,0.91070,71,1.87416,9,-1.4139,20,-0.3159
ENSG00000171680,PLEKHG5,8,-1.5758,26,0.12974,4,-2.7412,29,0.27155,29,0.27384,47,1.18473,20,-0.4146
ENSG00000162408,NOL9,27,-0.0640,31,0.14647,38,0.46376,31,0.16064,36,0.38109,15,-0.9760,29,0.01958
ENSG00000162413,KLHL21,34,0.51449,14,-0.8432,30,0.30660,55,1.29410,20,-0.3308,29,0.26038,19,-0.5614
ENSG00000007923,DNAJC11,21,-0.6988,33,-0.0217,22,-0.6512,39,0.26609,43,0.38585,51,0.76047,28,-0.3821
ENSG00000171735,CAMTA1,305,-0.3846,355,-0.1613,250,-0.6871,323,-0.2929,670,0.86587,320,-0.3343,436,0.26777
ENSG00000049245,VAMP3,46,0.20300,42,0.05772,115,1.74599,96,1.42686,22,-0.9088,49,0.32667,13,-2.1469
ENSG00000049246,PER3,53,0.36751,61,0.65786,64,0.66008,52,0.31619,60,0.56474,28,-0.6623,28,-0.8545
ENSG00000116288,PARK7,377,0.11826,346,-0.0181,291,-0.2834,310,-0.1877,169,-1.1025,612,1.01922,296,-0.3702
ENSG00000116285,ERRFI1,24,-0.4241,20,-0.7277,23,-0.4630,36,0.24547,42,0.45809,19,-0.8238,41,0.67697
ENSG00000162426,SLC45A1,19,-0.3908,10,-1.4092,4,-2.4231,4,-2.5592,25,0.05613,32,0.48914,36,1.04875
ENSG00000142599,RERE,100,-0.2969,82,-0.6418,160,0.44773,143,0.26630,246,1.15567,134,0.17746,98,-0.4639
ENSG00000074800,ENO1,1393,1.62959,352,-0.6530,294,-0.8797,657,0.36065,168,-1.7103,745,0.62890,417,-0.4959
ENSG00000171612,SLC25A33,180,2.43831,55,0.38809,21,-1.0835,40,-0.1426,16,-1.4772,41,-0.1203,25,-1.1793
ENSG00000171603,CLSTN1,312,-1.0287,359,-0.8714,148,-2.1302,303,-1.0692,504,-0.2996,740,0.33014,897,1.04959
ENSG00000178585,CTNNBIP1,71,1.14931,58,0.90859,39,0.18896,59,0.83221,47,0.45650,17,-1.1216,17,-1.3780
ENSG00000162441,LZIC,80,0.54427,57,0.01623,118,1.19564,70,0.34192,54,-0.0643,47,-0.3028,41,-0.6970
ENSG00000130939,UBE4B,35,-0.1811,37,-0.1029,38,-0.0513,20,-1.0310,44,0.16429,48,0.32277,41,0.10782
ENSG00000054523,KIF1B,387,0.01216,373,-0.0470,468,0.31138,285,-0.4603,545,0.55644,224,-0.8788,422,0.22928
ENSG00000142657,PGD,49,-0.0251,39,-0.4114,24,-1.1264,87,0.88702,31,-0.7428,51,0.02470,56,0.27273
ENSG00000241563,CORT,27,-1.7237,44,-1.0641,11,-2.9399,21,-2.1020,135,0.74112,299,2.69414,44,-1.2971
ENSG00000160049,DFFA,70,0.25676,63,0.09880,70,0.25657,76,0.39526,124,1.19241,42,-0.5807,44,-0.6221
ENSG00000142655,PEX14,7,-1.7023,12,-0.8801,14,-0.5998,21,-0.0397,21,-0.0159,48,1.49820,19,-0.2625
ENSG00000120948,TARDBP,64,-0.5037,81,-0.1436,116,0.41835,101,0.20581,103,0.24161,75,-0.2768,91,0.06355
ENSG00000116649,SRM,55,-0.4440,101,0.53766,43,-0.8152,78,0.07971,21,-1.8904,148,1.28455,53,-0.6962
ENSG00000171824,EXOSC10,48,0.61701,14,-1.2920,25,-0.4123,81,1.49638,47,0.56840,31,-0.0565,26,-0.4797
ENSG00000198793,MTOR,66,0.59805,21,-1.2184,17,-1.4497,42,-0.1073,53,0.25406,55,0.34689,51,0.30614
ENSG00000116661,FBXO2,351,0.97401,255,0.50211,45,-2.1664,101,-0.9752,77,-1.3735,288,0.71989,166,-0.3172
ENSG00000132879,FBXO44,70,-0.1760,66,-0.2883,15,-2.4094,42,-0.9483,71,-0.1627,127,0.86540,87,0.25243
ENSG00000011021,CLCN6,53,-0.1213,47,-0.3306,32,-0.9012,49,-0.2400,94,0.78072,72,0.38932,56,-0.0507
ENSG00000116685,KIAA2013,24,-0.3267,22,-0.5038,28,-0.0988,55,0.98458,32,0.14114,35,0.27315,26,-0.2405
ENSG00000116688,MFN2,113,-0.0237,90,-0.4034,94,-0.2998,101,-0.1967,75,-0.6489,117,0.03722,139,0.47288
ENSG00000048707,VPS13D,77,0.19344,49,-0.5324,33,-1.0796,87,0.38662,104,0.67949,52,-0.4501,76,0.27120
ENSG00000116731,PRDM2,129,-0.6423,192,-0.0350,228,0.23535,112,-0.8642,388,1.10234,95,-1.1717,224,0.32458
ENSG00000189337,KAZN,57,-0.3902,75,0.02172,80,0.12376,25,-1.6369,54,-0.4721,76,0.05222,88,0.44544
ENSG00000142634,EFHD2,37,-0.8761,44,-0.6682,131,1.10932,30,-1.1745,125,1.02389,20,-1.8436,81,0.52094
