Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to11,Feature log2 fold change topic 2to11
ENSG00000228794,LINC01128,12,-1.6891,39,1.68916
ENSG00000188976,NOC2L,12,-1.8639,44,1.86391
ENSG00000188290,HES4,196,2.88937,26,-2.8893
ENSG00000188157,AGRN,12,-1.2020,28,1.20205
ENSG00000078808,SDF4,12,-2.1627,54,2.16277
ENSG00000160087,UBE2J2,12,-1.3179,30,1.31793
ENSG00000131584,ACAP3,38,-1.0240,78,1.02403
ENSG00000127054,INTS11,12,-1.7001,39,1.70010
ENSG00000107404,DVL1,12,-2.0208,49,2.02083
ENSG00000175756,AURKAIP1,228,0.81783,129,-0.8178
ENSG00000221978,CCNL2,204,1.67591,63,-1.6759
ENSG00000242485,MRPL20,358,1.42347,133,-1.4234
ENSG00000235098,ANKRD65,12,-1.2924,29,1.29247
ENSG00000179403,VWA1,12,-1.5522,35,1.55223
ENSG00000205090,TMEM240,12,-1.0232,24,1.02326
ENSG00000160075,SSU72,12,-3.3681,126,3.36819
ENSG00000228594,FNDC10,12,-1.1573,27,1.15739
ENSG00000197530,MIB2,12,-1.2828,29,1.28285
ENSG00000248333,CDK11B,12,-1.9921,48,1.99211
ENSG00000008128,CDK11A,12,-1.3781,31,1.37818
ENSG00000215790,SLC35E2A,12,-0.9958,24,0.99589
ENSG00000078369,GNB1,267,-0.7915,463,0.79152
ENSG00000187730,GABRD,12,-3.8548,176,3.85487
ENSG00000067606,PRKCZ,220,0.18296,194,-0.1829
ENSG00000162585,FAAP20,12,-1.3159,30,1.31592
ENSG00000157933,SKI,12,-1.8425,43,1.84252
ENSG00000157916,RER1,12,-1.9331,46,1.93312
ENSG00000157870,PRXL2B,12,-1.7632,41,1.76328
ENSG00000158109,TPRG1L,200,0.10037,186,-0.1003
ENSG00000130764,LRRC47,12,-2.6155,74,2.61557
ENSG00000116198,CEP104,12,-2.0657,51,2.06571
ENSG00000196581,AJAP1,12,-2.2266,57,2.22668
ENSG00000069424,KCNAB2,12,-3.8589,180,3.85899
ENSG00000116254,CHD5,25,-3.4696,282,3.46960
ENSG00000116251,RPL22,98,-2.1574,437,2.15740
ENSG00000116237,ICMT,12,-1.7574,41,1.75747
ENSG00000097021,ACOT7,15,-3.5983,187,3.59837
ENSG00000215788,TNFRSF25,12,-1.0690,25,1.06909
ENSG00000171680,PLEKHG5,12,-0.9232,23,0.92323
ENSG00000162408,NOL9,12,-1.4447,33,1.44474
ENSG00000162413,KLHL21,12,-1.1920,27,1.19207
ENSG00000007923,DNAJC11,12,-1.7494,41,1.74948
ENSG00000171735,CAMTA1,1003,1.03339,490,-1.0333
ENSG00000049246,PER3,12,-1.8752,44,1.87525
ENSG00000116288,PARK7,19,-3.5664,228,3.56641
ENSG00000116285,ERRFI1,12,-1.0188,24,1.01889
ENSG00000162426,SLC45A1,12,-1.1526,27,1.15264
ENSG00000142599,RERE,12,-3.5454,142,3.54543
ENSG00000074800,ENO1,198,-1.0369,407,1.03692
ENSG00000171612,SLC25A33,12,-1.4295,32,1.42951
ENSG00000171603,CLSTN1,389,-0.8549,704,0.85493
ENSG00000178585,CTNNBIP1,12,-1.2678,29,1.26781
ENSG00000162441,LZIC,12,-2.5415,71,2.54158
ENSG00000130939,UBE4B,85,0.74251,51,-0.7425
ENSG00000054523,KIF1B,844,0.65460,536,-0.6546
ENSG00000142657,PGD,12,-2.1715,55,2.17155
ENSG00000241563,CORT,24307,9.47981,34,-9.4798
ENSG00000160049,DFFA,182,1.41541,68,-1.4154
ENSG00000120948,TARDBP,191,1.02025,94,-1.0202
ENSG00000116649,SRM,12,-1.8969,45,1.89697
ENSG00000171824,EXOSC10,12,-1.6910,39,1.69100
ENSG00000198793,MTOR,12,-1.9579,47,1.95799
ENSG00000116661,FBXO2,12,-3.6123,149,3.61234
ENSG00000132879,FBXO44,25,-1.5529,74,1.55290
ENSG00000177000,MTHFR,151,2.57925,25,-2.5792
ENSG00000011021,CLCN6,12,-2.6283,75,2.62831
ENSG00000116685,KIAA2013,12,-1.4000,32,1.40007
ENSG00000116688,MFN2,12,-3.4793,136,3.47937
ENSG00000048707,VPS13D,118,0.23460,100,-0.2346
ENSG00000116731,PRDM2,236,-0.1810,268,0.18102
ENSG00000189337,KAZN,12,-2.7873,84,2.78734
ENSG00000142634,EFHD2,235,1.70302,72,-1.7030
ENSG00000116138,DNAJC16,12,-1.7824,42,1.78249
ENSG00000197312,DDI2,12,-1.8324,43,1.83245
ENSG00000116786,PLEKHM2,12,-3.1689,109,3.16896
ENSG00000065526,SPEN,84,-1.3568,215,1.35689
ENSG00000116809,ZBTB17,12,-1.1026,26,1.10262
ENSG00000055070,SZRD1,12,-1.1775,27,1.17755
ENSG00000159363,ATP13A2,12,-3.0494,101,3.04949
ENSG00000117118,SDHB,12,-1.9167,46,1.91675
ENSG00000117115,PADI2,12,-2.7634,82,2.76342
ENSG00000179051,RCC2,12,-1.0790,25,1.07902
ENSG00000117154,IGSF21,12,-2.1268,53,2.12688
ENSG00000159423,ALDH4A1,12,-0.9956,24,0.99567
ENSG00000127481,UBR4,12,-2.3521,62,2.35219
ENSG00000127463,EMC1,69,0.79825,39,-0.7982
ENSG00000053372,MRTO4,33,-0.2869,41,0.28699
ENSG00000077549,CAPZB,428,1.49347,152,-1.4934
ENSG00000173436,MICOS10,12,-4.1491,216,4.14911
ENSG00000158747,NBL1,12,-3.2500,116,3.25006
ENSG00000162545,CAMK2N1,1033,-0.5932,1559,0.59329
ENSG00000158828,PINK1,207,-0.8534,374,0.85340
ENSG00000244038,DDOST,12,-1.2632,29,1.26326
ENSG00000189410,SH2D5,12,-1.8633,44,1.86332
ENSG00000127483,HP1BP3,175,-0.8196,309,0.81969
ENSG00000075151,EIF4G3,184,-0.7847,318,0.78479
ENSG00000076864,RAP1GAP,220,0.92001,116,-0.9200
ENSG00000090686,USP48,623,2.64507,99,-2.6450
ENSG00000070831,CDC42,12,-3.9117,183,3.91176
ENSG00000004487,KDM1A,58,-0.1931,66,0.19314
ENSG00000169641,LUZP1,12,-4.0801,206,4.08018
ENSG00000125944,HNRNPR,12,-3.5885,147,3.58853
ENSG00000142676,RPL11,389,0.15204,350,-0.1520
ENSG00000011007,ELOA,12,-1.4237,32,1.42374
ENSG00000057757,PITHD1,12,-3.5805,146,3.58056
ENSG00000011009,LYPLA2,12,-0.9692,23,0.96923
ENSG00000189266,PNRC2,12,-2.2253,57,2.22536
ENSG00000188529,SRSF10,12,-2.7710,83,2.77100
ENSG00000001461,NIPAL3,193,0.07266,183,-0.0726
ENSG00000133226,SRRM1,12,-4.3164,243,4.31640
ENSG00000169504,CLIC4,12,-2.0790,51,2.07908
ENSG00000117614,SYF2,380,1.63468,122,-1.6346
ENSG00000117616,RSRP1,12,-2.9431,93,2.94316
ENSG00000183726,TMEM50A,176,1.36360,68,-1.3636
ENSG00000204178,MACO1,12,-2.6083,74,2.60838
ENSG00000117643,MAN1C1,12,-1.9035,45,1.90358
ENSG00000162430,SELENON,12,-1.2487,29,1.24871
ENSG00000117640,MTFR1L,12,-2.4069,64,2.40698
ENSG00000117632,STMN1,1503,0.46603,1088,-0.4660
ENSG00000158008,EXTL1,12,-1.6538,38,1.65388
ENSG00000142684,ZNF593,12,-1.6896,39,1.68969
ENSG00000142669,SH3BGRL3,12,-3.2486,116,3.24869
ENSG00000198830,HMGN2,18,-2.9859,149,2.98592
ENSG00000117713,ARID1A,12,-3.0366,101,3.03669
ENSG00000090273,NUDC,27,-2.9474,209,2.94749
ENSG00000253368,TRNP1,12,-1.7226,42,1.72262
ENSG00000142784,WDTC1,12,-1.1372,26,1.13723
ENSG00000186501,TMEM222,12,-1.7974,42,1.79749
ENSG00000158195,WASF2,124,0.79527,71,-0.7952
ENSG00000126705,AHDC1,12,-2.3256,61,2.32560
ENSG00000126709,IFI6,12,-2.6507,76,2.65072
ENSG00000009780,FAM76A,12,-1.1820,27,1.18209
ENSG00000117758,STX12,49,-1.0729,104,1.07294
ENSG00000117751,PPP1R8,12,-1.2701,29,1.27019
ENSG00000117748,RPA2,12,-1.6954,39,1.69548
ENSG00000126698,DNAJC8,12,-4.2229,228,4.22299
ENSG00000130770,ATP5IF1,770,1.15902,344,-1.1590
ENSG00000204138,PHACTR4,12,-1.9883,48,1.98832
ENSG00000198492,YTHDF2,12,-3.1586,109,3.15862
ENSG00000159023,EPB41,12,-1.2583,29,1.25839
ENSG00000116350,SRSF4,12,-3.0155,98,3.01558
ENSG00000116353,MECR,12,-1.0674,25,1.06748
ENSG00000162511,LAPTM5,12,-1.4102,32,1.41023
ENSG00000162512,SDC3,12,-3.3601,125,3.36016
ENSG00000134644,PUM1,467,1.33866,184,-1.3386
ENSG00000121766,ZCCHC17,12,-3.3704,126,3.37040
ENSG00000121769,FABP3,167,1.49845,59,-1.4984
ENSG00000162517,PEF1,12,-2.3645,62,2.36457
ENSG00000084636,COL16A1,12,-1.9789,48,1.97892
ENSG00000121753,ADGRB2,312,0.74600,186,-0.7460
ENSG00000184007,PTP4A2,17,-4.1781,310,4.17810
ENSG00000121774,KHDRBS1,12,-3.5936,147,3.59362
ENSG00000025800,KPNA6,12,-3.1086,105,3.10862
ENSG00000084652,TXLNA,12,-1.3697,31,1.36974
ENSG00000084623,EIF3I,12,-2.8349,87,2.83490
ENSG00000175130,MARCKSL1,283,0.51250,198,-0.5125
