Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to13,Feature log2 fold change topic 7to13
ENSG00000228794,LINC01128,26,-0.4073,17,-1.0550,37,0.17988,40,0.66315
ENSG00000188976,NOC2L,30,-0.7365,38,-0.3053,70,0.68976,50,0.36658
ENSG00000188290,HES4,75,0.09274,111,0.79314,47,-0.6230,62,-0.4147
ENSG00000187608,ISG15,29,-0.9150,118,1.63866,45,-0.1642,40,-0.6170
ENSG00000188157,AGRN,22,-0.0254,53,1.64554,14,-0.6751,15,-1.0514
ENSG00000078808,SDF4,60,0.12981,79,0.57910,55,-0.0451,49,-0.4273
ENSG00000176022,B3GALT6,28,0.46003,17,-0.3771,28,0.39103,20,-0.2999
ENSG00000160087,UBE2J2,44,0.23338,35,-0.1709,31,-0.3646,39,0.00570
ENSG00000131584,ACAP3,84,0.49832,75,0.24159,146,1.31159,43,-1.0899
ENSG00000127054,INTS11,29,-0.3180,40,0.24553,35,-0.0017,36,0.07801
ENSG00000107404,DVL1,119,1.62761,42,-0.5107,41,-0.4916,37,-1.1166
ENSG00000175756,AURKAIP1,175,0.13489,125,-0.4359,70,-1.2762,182,0.36545
ENSG00000221978,CCNL2,27,-1.3701,109,1.09847,112,1.00255,52,-0.3800
ENSG00000242485,MRPL20,167,0.05304,122,-0.4779,90,-0.8930,182,0.38800
ENSG00000235098,ANKRD65,38,0.60727,13,-1.1442,9,-1.6891,30,0.27373
ENSG00000205090,TMEM240,31,-0.1608,22,-0.6666,45,0.45332,36,0.26252
ENSG00000160075,SSU72,196,0.62166,80,-0.9371,87,-0.7636,146,0.07106
ENSG00000228594,FNDC10,39,1.11588,4,-2.5356,41,0.95803,18,-0.5922
ENSG00000197530,MIB2,50,0.83180,24,-0.5369,38,0.19440,28,-0.4915
ENSG00000248333,CDK11B,41,0.27727,47,0.48243,67,1.01531,25,-0.8881
ENSG00000008128,CDK11A,25,0.22961,40,1.07910,69,1.87522,9,-1.9810
ENSG00000215790,SLC35E2A,43,0.70039,21,-0.5726,25,-0.2487,28,-0.2350
ENSG00000008130,NADK,29,0.03319,36,0.44154,21,-0.4487,27,-0.1672
ENSG00000078369,GNB1,746,0.57555,340,-0.8083,573,0.04453,536,-0.1193
ENSG00000187730,GABRD,72,-1.1457,35,-2.1530,85,-0.7638,207,1.72895
ENSG00000067606,PRKCZ,213,0.51874,86,-1.0453,209,0.38607,158,-0.1056
ENSG00000162585,FAAP20,77,1.35021,51,0.39137,30,-0.4959,24,-1.3213
ENSG00000157933,SKI,69,1.17337,59,0.72634,35,-0.1485,21,-1.4774
ENSG00000157916,RER1,52,-0.3197,72,0.28203,43,-0.5394,65,0.18975
ENSG00000157911,PEX10,28,0.34280,30,0.38987,33,0.53683,18,-0.6635
ENSG00000149527,PLCH2,42,1.15463,11,-1.1802,41,0.87957,17,-0.8534
ENSG00000157870,PRXL2B,47,0.37392,19,-1.1424,5,-2.8910,46,0.56317
ENSG00000177133,PRDM16-DT,69,2.30334,25,-0.0923,9,-1.5131,11,-1.9735
ENSG00000158109,TPRG1L,161,-0.0524,70,-1.3804,120,-0.4929,201,0.69891
ENSG00000130764,LRRC47,47,-0.6841,47,-0.6476,63,-0.1454,86,0.79027
ENSG00000116198,CEP104,30,-0.3270,54,0.69085,87,1.42115,27,-0.8215
ENSG00000196581,AJAP1,52,0.17213,20,-1.3904,61,0.37416,52,0.27316
ENSG00000069424,KCNAB2,220,0.74832,65,-1.3532,69,-1.1935,158,0.14499
ENSG00000116254,CHD5,272,-0.0957,304,0.10657,1204,2.52032,156,-1.4887
ENSG00000116251,RPL22,813,0.54025,874,0.61448,402,-0.6613,491,-0.6381
ENSG00000116237,ICMT,32,-0.7115,48,0.00387,36,-0.4051,56,0.55638
ENSG00000097021,ACOT7,88,-1.3829,42,-2.4073,105,-0.9554,301,1.98973
ENSG00000215788,TNFRSF25,23,0.01080,20,-0.2107,71,1.87416,17,-0.8186
ENSG00000171680,PLEKHG5,20,-0.3259,16,-0.6520,29,0.27384,28,0.43293
ENSG00000162408,NOL9,30,0.08474,35,0.35144,36,0.38109,25,-0.3815
ENSG00000162413,KLHL21,21,-0.2775,42,0.97368,20,-0.3308,22,-0.3589
ENSG00000007923,DNAJC11,29,-0.2565,31,-0.1419,43,0.38585,35,0.12324
ENSG00000171735,CAMTA1,338,-0.2644,287,-0.5146,670,0.86587,403,0.09868
ENSG00000049245,VAMP3,43,0.12615,106,1.88347,22,-0.9088,23,-1.3811
ENSG00000049246,PER3,59,0.64944,58,0.55108,60,0.56474,28,-1.0529
ENSG00000116288,PARK7,356,0.03552,300,-0.2545,169,-1.1025,386,0.33387
ENSG00000116285,ERRFI1,21,-0.6833,30,-0.0782,42,0.45809,34,0.32035
ENSG00000162426,SLC45A1,13,-1.0859,4,-2.5935,25,0.05613,35,1.49810
ENSG00000142599,RERE,88,-0.5723,152,0.39690,246,1.15567,108,-0.3241
ENSG00000074800,ENO1,699,0.57341,475,-0.1596,168,-1.7103,511,-0.0690
