Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to6,Feature log2 fold change topic 2to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to10,Feature log2 fold change topic 8to10
ENSG00000237491,LINC01409,10,-0.0261,9,-0.3011,13,0.44796,11,0.14817
ENSG00000228794,LINC01128,10,-1.6266,36,0.60866,29,-0.0301,26,-0.2627
ENSG00000188976,NOC2L,34,-0.1980,41,0.22643,26,-0.6151,39,0.03354
ENSG00000187961,KLHL17,4,-1.0662,9,0.10142,3,-1.7420,12,0.63679
ENSG00000188290,HES4,16,-1.3634,28,-0.8807,97,1.49198,50,0.44556
ENSG00000187608,ISG15,30,-0.5010,29,-0.8851,104,1.54913,46,0.20453
ENSG00000188157,AGRN,49,1.41322,18,-0.4720,20,-0.0872,18,-0.3013
ENSG00000131591,C1orf159,15,0.64052,10,-0.0121,2,-1.9936,11,0.18314
ENSG00000078808,SDF4,92,0.44588,64,-0.2433,63,-0.1667,75,0.13860
ENSG00000176022,B3GALT6,16,-0.5956,20,-0.4576,27,0.13994,33,0.64389
ENSG00000160087,UBE2J2,48,0.21760,34,-0.5018,41,-0.0144,52,0.47044
ENSG00000162572,SCNN1D,16,0.61643,10,-0.2884,2,-2.1430,14,0.51445
ENSG00000131584,ACAP3,72,0.12076,66,-0.0231,56,-0.2687,70,0.08011
ENSG00000169972,PUSL1,10,-0.1441,10,-0.1106,10,-0.1360,12,0.23953
ENSG00000127054,INTS11,67,0.58362,44,-0.1990,36,-0.4204,49,0.10192
ENSG00000224051,CPTP,16,-0.5789,21,-0.2132,12,-0.9500,32,0.71672
ENSG00000107404,DVL1,55,0.31676,38,-0.4641,62,0.52053,48,0.13954
ENSG00000175756,AURKAIP1,119,-0.7081,191,0.04030,260,0.52938,182,-0.0614
ENSG00000221978,CCNL2,106,0.55025,66,-0.3803,51,-0.6078,91,0.37751
ENSG00000224870,MRPL20-AS1,15,0.65929,8,-0.5144,8,-0.3285,12,0.37751
ENSG00000242485,MRPL20,121,-0.7344,208,0.22519,282,0.61999,163,-0.3426
ENSG00000235098,ANKRD65,46,1.30640,19,-0.3154,16,-0.3802,18,-0.2848
ENSG00000179403,VWA1,247,3.83340,16,-1.9754,13,-1.6799,20,-1.2715
ENSG00000160072,ATAD3B,17,0.45529,15,0.44562,3,-2.0775,11,-0.2453
ENSG00000197785,ATAD3A,16,0.18935,15,0.04464,12,-0.2912,14,-0.0236
ENSG00000205090,TMEM240,12,-1.0527,25,0.18854,26,0.18407,23,0.03045
ENSG00000160075,SSU72,66,-1.0033,126,-0.0096,163,0.41163,135,0.13753
ENSG00000228594,FNDC10,8,-1.6162,22,-0.0077,14,-0.7369,30,0.66068
ENSG00000272106,AL691432.2,27,0.65164,17,-0.1199,16,-0.2211,17,-0.1036
ENSG00000197530,MIB2,29,-0.0021,30,0.00070,35,0.26597,28,-0.1248
ENSG00000248333,CDK11B,22,0.34997,18,0.05286,15,-0.2123,16,-0.1453
ENSG00000189339,SLC35E2B,17,-0.3297,22,0.08646,15,-0.5652,24,0.22637
ENSG00000008128,CDK11A,15,1.03727,8,0.08098,6,-0.4907,6,-0.5453
ENSG00000215790,SLC35E2A,24,-0.5846,36,0.15098,19,-0.9437,40,0.33102
ENSG00000008130,NADK,30,0.24388,23,-0.3868,31,0.25650,29,0.22136
ENSG00000078369,GNB1,275,-0.8746,464,-0.1065,477,-0.0161,582,0.40685
ENSG00000187730,GABRD,10,-3.5401,125,0.49128,96,-0.1605,112,0.10697
ENSG00000067606,PRKCZ,112,-0.5121,144,-0.2067,133,-0.2388,195,0.50039
ENSG00000162585,FAAP20,37,0.08521,22,-1.1024,60,0.88555,47,0.67638
ENSG00000157933,SKI,23,0.32780,15,-0.6412,27,0.55535,22,0.30759
ENSG00000272420,AL513477.2,1,-2.4733,8,0.37340,4,-0.8819,9,0.38713
ENSG00000157916,RER1,101,0.44570,73,-0.1356,68,-0.1903,78,0.02264
ENSG00000157911,PEX10,36,0.75165,19,-0.4585,20,-0.1783,25,0.21233
ENSG00000149527,PLCH2,41,1.38931,11,-1.1738,18,0.03743,22,0.42403
ENSG00000157881,PANK4,7,-1.0759,17,0.55191,12,-0.2650,13,-0.2066
ENSG00000157873,TNFRSF14,4,-1.1179,6,-0.8911,16,0.90415,13,0.80900
ENSG00000157870,PRXL2B,14,-1.4465,33,-0.2830,53,0.61834,44,0.41738
ENSG00000177133,PRDM16-DT,8,-1.1888,9,-1.5786,23,0.35047,37,1.67989
ENSG00000142611,PRDM16,12,0.23665,6,-1.2450,7,-0.4719,17,1.29947
ENSG00000158109,TPRG1L,60,-1.6504,195,0.29013,137,-0.4100,200,0.25608
ENSG00000116213,WRAP73,19,0.02376,18,-0.0620,14,-0.4186,21,0.21704
ENSG00000130764,LRRC47,60,-0.6513,99,0.25507,79,-0.2308,92,0.02297
ENSG00000116198,CEP104,77,1.81692,18,-0.9697,20,-0.4559,27,0.03910
ENSG00000198912,C1orf174,12,-0.3987,14,-0.1829,24,0.72108,15,-0.0059
ENSG00000196581,AJAP1,23,-0.6620,40,0.34802,34,-0.0381,33,-0.1636
ENSG00000131697,NPHP4,12,0.07252,11,-0.1946,12,-0.0155,13,0.20087
ENSG00000069424,KCNAB2,38,-2.3536,208,0.41959,155,-0.2522,194,0.14285
ENSG00000116254,CHD5,38,-1.8769,136,0.11482,111,-0.2599,160,0.42876
ENSG00000116251,RPL22,611,-0.0722,550,-0.4056,832,0.42897,733,0.29195
ENSG00000158286,RNF207,1,-2.2769,9,0.90985,1,-2.1017,7,-0.0019
ENSG00000116237,ICMT,27,-0.6763,43,0.08100,30,-0.5141,48,0.32153
ENSG00000097021,ACOT7,68,-2.1510,358,0.84718,229,-0.3111,232,-0.3574
ENSG00000215788,TNFRSF25,7,-2.1835,33,0.36274,29,-0.0185,31,0.09993
ENSG00000171680,PLEKHG5,3,-2.6932,22,0.52910,24,0.43983,16,-0.2756
ENSG00000162408,NOL9,27,-0.0990,27,-0.2593,24,-0.3008,36,0.44285
ENSG00000204859,ZBTB48,12,0.01004,12,-0.0439,12,-0.0780,13,0.07982
