Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to12,Feature log2 fold change topic 9to12
ENSG00000228794,LINC01128,11,-1.5943,27,-0.2989,31,-0.0951,31,-0.0753,30,-0.1555,33,0.03200,41,0.35456,40,0.46564
ENSG00000188976,NOC2L,10,-2.4314,34,-0.6548,49,-0.0453,22,-1.2424,50,0.00060,46,-0.1482,86,0.86502,68,0.71932
ENSG00000188290,HES4,34,-0.3320,60,0.62454,77,0.95318,61,0.57758,15,-1.5519,23,-0.9570,27,-0.6745,38,-0.2282
ENSG00000187608,ISG15,51,0.40930,39,-0.0266,18,-1.1980,54,0.51375,17,-1.2404,11,-1.8539,80,1.16087,40,0.07283
ENSG00000188157,AGRN,27,0.11827,25,0.01156,53,1.22671,10,-1.3796,9,-1.4284,20,-0.3501,16,-0.6750,28,0.29432
ENSG00000078808,SDF4,50,-0.0587,51,-0.0296,62,0.27408,37,-0.5374,24,-1.1932,71,0.48488,33,-0.6971,62,0.37713
ENSG00000176022,B3GALT6,6,-1.7452,25,0.49579,12,-0.7079,9,-1.0677,15,-0.2899,9,-1.0083,21,0.18473,25,0.72935
ENSG00000160087,UBE2J2,32,-0.0284,27,-0.2950,26,-0.3378,24,-0.4492,27,-0.2746,26,-0.3165,32,-0.0305,42,0.58636
ENSG00000131584,ACAP3,74,0.15243,53,-0.4043,185,1.69834,36,-0.9368,51,-0.4125,68,0.02725,43,-0.6909,61,-0.2102
ENSG00000127054,INTS11,25,-0.6541,32,-0.3213,79,1.17331,22,-0.8648,35,-0.1656,13,-1.6043,40,0.05219,46,0.41251
ENSG00000224051,CPTP,14,-0.2658,15,-0.1410,18,0.09854,3,-2.2931,13,-0.3934,10,-0.8193,23,0.50306,22,0.66030
ENSG00000107404,DVL1,64,0.51455,84,1.12506,35,-0.4257,32,-0.5462,38,-0.2756,24,-0.9858,27,-0.8222,41,-0.2451
ENSG00000175756,AURKAIP1,146,-0.4002,218,0.25029,144,-0.4294,160,-0.2601,106,-0.8863,181,-0.0711,175,-0.1201,231,0.45034
ENSG00000221978,CCNL2,45,-0.2328,28,-1.0024,159,1.87926,38,-0.4908,39,-0.4700,41,-0.3844,66,0.36808,46,-0.2615
ENSG00000242485,MRPL20,83,-1.0204,223,0.58037,117,-0.5001,199,0.33977,71,-1.2405,144,-0.1693,112,-0.5668,190,0.37681
ENSG00000235098,ANKRD65,24,0.10233,31,0.57382,9,-1.2767,4,-2.3065,13,-0.8436,39,0.90081,5,-2.0979,28,0.49491
ENSG00000179403,VWA1,57,2.33975,14,-0.1266,22,0.61045,0,-7.1368,1,-3.4823,35,1.40057,3,-2.2894,8,-1.1144
ENSG00000205090,TMEM240,3,-2.9193,22,0.05135,42,1.11689,8,-1.3718,24,0.22150,28,0.42565,10,-1.1210,24,0.25103
ENSG00000160075,SSU72,70,-1.1407,168,0.21809,149,0.01282,120,-0.3249,79,-0.9670,163,0.15119,138,-0.1059,180,0.45078
ENSG00000228594,FNDC10,33,0.56417,36,0.75384,16,-0.5505,10,-1.2522,14,-0.7734,14,-0.7433,34,0.58736,22,-0.1413
ENSG00000197530,MIB2,28,-0.0751,32,0.14035,32,0.09360,21,-0.5630,21,-0.5420,29,-0.0464,12,-1.3355,38,0.52905
ENSG00000248333,CDK11B,59,0.14334,36,-0.6491,86,0.76011,62,0.22724,91,0.85172,78,0.59655,57,0.08948,35,-0.8593
ENSG00000008128,CDK11A,47,0.54860,14,-1.3945,72,1.28168,24,-0.4656,77,1.38538,29,-0.1907,27,-0.3191,23,-0.6983
ENSG00000215790,SLC35E2A,21,-0.0550,31,0.64762,43,1.13543,14,-0.6008,14,-0.6454,7,-1.5381,13,-0.7594,21,-0.0762
ENSG00000008130,NADK,25,0.22963,21,-0.0524,35,0.77190,21,-0.0372,12,-0.8332,21,-0.0571,10,-1.1802,23,0.16224
ENSG00000078369,GNB1,429,-0.1907,593,0.35498,359,-0.4669,529,0.13686,352,-0.4950,634,0.42836,400,-0.2985,482,-0.0117
ENSG00000187730,GABRD,29,-2.4212,124,-0.3127,101,-0.6042,131,-0.1988,103,-0.5685,43,-1.8763,240,0.76902,223,0.99276
ENSG00000067606,PRKCZ,138,-0.5259,226,0.27664,207,0.10843,140,-0.5012,175,-0.1567,218,0.19182,168,-0.2225,206,0.13366
ENSG00000162585,FAAP20,65,1.06431,54,0.87492,18,-0.9412,23,-0.6015,22,-0.6663,29,-0.2249,14,-1.3326,31,-0.1611
ENSG00000157933,SKI,36,0.32926,41,0.60670,40,0.50715,23,-0.3184,34,0.26182,31,0.09501,9,-1.6754,23,-0.4554
ENSG00000157916,RER1,41,-0.3331,48,-0.0792,61,0.28935,22,-1.2470,15,-1.7764,67,0.45123,69,0.50669,59,0.32941
ENSG00000157911,PEX10,34,0.73994,27,0.44395,22,0.05660,2,-3.1041,7,-1.6224,20,-0.1109,9,-1.2746,26,0.50426
ENSG00000149527,PLCH2,13,-0.2385,25,0.90143,13,-0.1510,9,-0.7468,9,-0.7857,0,-4.3400,6,-1.3497,20,0.65449
ENSG00000157881,PANK4,8,-0.6994,10,-0.5111,20,0.58420,14,0.00543,7,-0.9763,3,-1.9935,7,-0.9721,21,1.05532
ENSG00000157870,PRXL2B,29,-0.4972,44,0.17912,35,-0.2131,18,-1.1896,37,-0.1443,20,-1.0645,53,0.43419,50,0.51513
ENSG00000177133,PRDM16-DT,24,0.83713,41,2.18518,7,-1.0743,14,-0.0610,4,-1.7810,4,-1.6939,3,-2.2184,8,-1.0904
ENSG00000158109,TPRG1L,99,-0.8814,158,-0.1828,170,-0.0553,145,-0.2971,120,-0.5838,164,-0.1088,220,0.35667,219,0.50249
ENSG00000130764,LRRC47,41,-0.9236,50,-0.6472,113,0.67591,53,-0.5343,68,-0.1361,48,-0.6763,81,0.13903,97,0.61646
ENSG00000116198,CEP104,44,0.82045,22,-0.3063,29,0.14541,23,-0.1845,42,0.73699,40,0.65323,18,-0.5524,19,-0.6474
ENSG00000198912,C1orf174,9,-0.6106,12,-0.2275,16,0.21577,6,-1.2091,17,0.24864,16,0.22913,12,-0.2163,17,0.40446
ENSG00000196581,AJAP1,35,-0.5383,30,-0.8340,56,0.18044,52,0.05754,87,0.87822,38,-0.4345,32,-0.6668,60,0.41517
ENSG00000069424,KCNAB2,131,-0.4878,226,0.41011,128,-0.5187,80,-1.2253,137,-0.4175,127,-0.5360,221,0.32846,219,0.45634
ENSG00000116254,CHD5,151,-0.7139,246,0.04035,221,-0.1282,248,0.04745,637,1.63775,173,-0.5102,188,-0.3823,194,-0.4457
ENSG00000116251,RPL22,1044,1.15674,690,0.51924,373,-0.5042,526,0.02896,369,-0.5195,644,0.35208,266,-1.0140,398,-0.5323
