Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,4,-2.9915,22,-0.7942,38,0.22178,45,0.56411,35,0.05937,49,0.62033,52,0.71023
ENSG00000188976,NOC2L,22,-0.9808,29,-0.6504,55,0.44265,64,0.82559,42,0.01656,34,-0.3191,46,0.17089
ENSG00000188290,HES4,11,-1.4029,27,-0.0061,51,1.06395,25,-0.1085,38,0.54211,24,-0.1677,14,-0.9449
ENSG00000187608,ISG15,9,-1.4640,35,0.96805,18,-0.3489,24,0.04465,16,-0.5936,16,-0.5941,19,-0.2983
ENSG00000078808,SDF4,30,-0.6444,42,-0.1435,59,0.44653,60,0.54458,70,0.71625,21,-1.1450,24,-0.9839
ENSG00000160087,UBE2J2,10,-1.4520,28,-0.0045,32,0.21742,41,0.73559,12,-1.2012,36,0.42825,21,-0.4103
ENSG00000131584,ACAP3,29,-1.2275,64,-0.0031,49,-0.4147,92,0.69518,42,-0.6609,86,0.48930,57,-0.1770
ENSG00000127054,INTS11,17,-0.9777,35,0.13388,44,0.45814,62,1.24800,13,-1.4403,3,-3.2433,23,-0.5435
ENSG00000107404,DVL1,22,-1.5839,79,0.49769,48,-0.4296,55,-0.2282,127,1.18115,39,-0.7544,45,-0.5153
ENSG00000175756,AURKAIP1,43,-1.6216,138,0.23046,251,1.19502,158,0.45647,78,-0.7115,56,-1.2326,79,-0.7084
ENSG00000221978,CCNL2,49,0.03432,32,-0.7965,61,0.37907,96,1.39087,38,-0.3632,30,-0.7529,17,-1.5599
ENSG00000242485,MRPL20,59,-0.9839,126,0.25765,183,0.82078,130,0.28995,90,-0.3300,85,-0.4301,58,-1.0047
ENSG00000235098,ANKRD65,11,-1.1129,33,0.77583,48,1.22653,13,-0.9896,20,-0.2436,15,-0.6708,13,-0.8332
ENSG00000205090,TMEM240,0,-7.8735,23,-0.0847,33,0.50452,35,0.73386,4,-2.4272,39,0.79394,24,0.00180
ENSG00000160075,SSU72,43,-1.5435,126,0.11882,219,1.01413,136,0.23614,125,0.07497,65,-0.9286,89,-0.4541
ENSG00000228594,FNDC10,4,-2.4984,23,-0.0875,45,1.00687,30,0.37442,21,-0.2424,23,-0.0798,21,-0.2578
ENSG00000197530,MIB2,7,-1.8325,34,0.67001,36,0.56752,31,0.41508,12,-1.0932,15,-0.7429,15,-0.7700
ENSG00000248333,CDK11B,139,1.19248,31,-1.4219,73,0.11754,51,-0.5031,72,0.08876,110,0.78309,93,0.50107
ENSG00000008128,CDK11A,127,2.46562,11,-1.8504,20,-0.7406,26,-0.3936,13,-1.4484,57,0.88091,27,-0.3100
ENSG00000215790,SLC35E2A,2,-3.1277,27,0.30362,63,1.71593,15,-0.7583,15,-0.6913,22,-0.0668,20,-0.2577
ENSG00000008130,NADK,11,-0.9659,27,0.51695,30,0.55790,21,0.02442,24,0.22576,5,-2.0945,17,-0.3073
ENSG00000078369,GNB1,133,-2.0868,649,0.47320,712,0.50717,459,-0.2266,690,0.45655,389,-0.4643,429,-0.3101
ENSG00000187730,GABRD,1,-6.4416,141,0.19966,124,-0.0507,194,0.79886,20,-2.7711,92,-0.5226,232,0.99295
ENSG00000067606,PRKCZ,32,-2.6455,201,0.15754,219,0.26347,234,0.42162,148,-0.3582,221,0.27844,171,-0.1318
ENSG00000162585,FAAP20,30,0.22972,34,0.61813,42,0.82395,16,-0.7433,14,-0.9640,18,-0.5570,18,-0.5724
ENSG00000157933,SKI,32,-0.3275,45,0.30850,18,-1.2008,23,-0.9103,71,0.98639,57,0.62912,32,-0.3271
ENSG00000157916,RER1,25,-0.7252,38,-0.0954,58,0.62249,63,0.89942,36,-0.1551,10,-1.9968,27,-0.5883
ENSG00000157870,PRXL2B,10,-2.3339,53,0.13876,65,0.42518,61,0.36976,60,0.31675,34,-0.5738,46,-0.1186
ENSG00000158109,TPRG1L,16,-3.5907,187,0.11750,301,0.88393,240,0.57134,149,-0.2729,106,-0.7989,156,-0.1994
ENSG00000130764,LRRC47,22,-1.4128,49,-0.2332,96,0.89566,75,0.55240,48,-0.2349,24,-1.2855,69,0.34018
ENSG00000116198,CEP104,113,1.86382,30,-0.5109,11,-1.8832,30,-0.4696,31,-0.3779,43,0.16857,43,0.13688
ENSG00000196581,AJAP1,17,-1.3939,33,-0.5088,13,-1.8029,61,0.67396,32,-0.4525,51,0.28161,94,1.32609
ENSG00000069424,KCNAB2,14,-3.6829,208,0.45564,258,0.69957,196,0.27885,158,-0.1003,82,-1.1241,157,-0.1115
ENSG00000116254,CHD5,47,-2.7808,224,-0.5437,208,-0.5511,303,0.04162,394,0.46704,489,0.83129,544,1.01669
ENSG00000116251,RPL22,869,0.94008,572,0.31135,466,-0.0922,343,-0.6300,569,0.22890,310,-0.7317,324,-0.6597
ENSG00000116237,ICMT,6,-2.1426,20,-0.6222,38,0.52326,45,0.96642,20,-0.4683,21,-0.4405,39,0.57207
ENSG00000097021,ACOT7,21,-2.9055,138,-0.1360,289,1.12864,240,0.94352,69,-1.1701,68,-1.1872,134,-0.1489
ENSG00000215788,TNFRSF25,0,-7.5722,22,0.29468,15,-0.4433,40,1.45936,6,-1.7667,5,-1.8756,22,0.16701
ENSG00000171680,PLEKHG5,0,-5.7460,25,-0.0896,25,-0.0685,37,0.65854,26,0.02259,46,0.91881,15,-0.8773
ENSG00000162408,NOL9,16,-0.7699,30,0.24841,22,-0.2769,21,-0.4294,19,-0.5181,56,1.21926,22,-0.2887
ENSG00000162413,KLHL21,3,-2.7459,24,0.15287,34,0.69079,23,0.02942,26,0.27258,22,-0.0417,20,-0.1702
ENSG00000007923,DNAJC11,5,-2.6903,29,-0.1913,54,0.86195,36,0.22429,22,-0.5953,53,0.82615,27,-0.2950
ENSG00000171735,CAMTA1,182,-1.1680,269,-0.7001,372,-0.0618,393,0.02488,309,-0.3583,700,0.98972,715,1.02731
ENSG00000049246,PER3,44,0.33018,29,-0.4358,22,-0.7784,23,-0.7310,69,1.08925,49,0.50748,42,0.26077
ENSG00000116288,PARK7,89,-1.3857,247,0.25097,431,1.13958,245,0.20416,241,0.15627,80,-1.5465,119,-0.9501
ENSG00000162426,SLC45A1,6,-1.6924,14,-0.6606,24,0.29696,45,1.73063,13,-0.6461,12,-0.7001,10,-1.0901
ENSG00000142599,RERE,295,1.10909,115,-0.5437,149,-0.0333,113,-0.5202,170,0.17359,168,0.15300,170,0.17946
ENSG00000074800,ENO1,251,-0.4842,319,-0.1417,420,0.33573,429,0.42279,571,0.84987,170,-1.0838,191,-0.9056
ENSG00000171603,CLSTN1,162,-1.9791,457,-0.5036,663,0.18412,1054,1.14907,560,-0.0847,347,-0.8328,698,0.27011
ENSG00000178585,CTNNBIP1,9,-1.4923,40,1.24218,11,-1.1776,29,0.35258,13,-0.8662,17,-0.4629,9,-1.5024
ENSG00000162441,LZIC,94,0.79648,55,-0.1090,44,-0.4181,39,-0.6655,103,0.96281,51,-0.1998,43,-0.4604
ENSG00000130939,UBE4B,25,-0.6877,27,-0.6927,45,0.22760,52,0.52280,35,-0.1836,48,0.32606,53,0.49186
ENSG00000054523,KIF1B,481,0.09695,319,-0.6752,221,-1.1150,456,0.01196,697,0.70981,637,0.55915,623,0.52206
ENSG00000142657,PGD,38,-0.1557,34,-0.4041,49,0.26641,60,0.66506,22,-0.9512,39,-0.0995,48,0.22024
ENSG00000241563,CORT,3,-3.2549,15,-1.1476,135,2.99905,20,-0.5589,4,-2.7517,21,-0.4426,34,0.28312
ENSG00000160049,DFFA,100,0.88291,58,-0.0188,32,-0.9495,35,-0.8785,86,0.63562,48,-0.3083,76,0.41485
ENSG00000120948,TARDBP,94,0.35724,69,-0.1856,83,0.15130,86,0.24253,58,-0.4090,72,-0.0725,68,-0.1532
ENSG00000116649,SRM,15,-1.7478,56,0.30030,96,1.13761,68,0.64006,26,-0.9846,30,-0.7574,15,-1.8016
ENSG00000171824,EXOSC10,71,1.18622,23,-0.7621,31,-0.1651,32,-0.1503,45,0.42843,36,0.03929,31,-0.1695
ENSG00000198793,MTOR,15,-1.2014,32,-0.0894,49,0.59613,44,0.48259,41,0.30415,17,-1.0486,31,-0.1251
ENSG00000116661,FBXO2,78,-0.7614,163,0.53749,164,0.41233,109,-0.2638,181,0.57482,77,-0.7708,64,-1.0570
ENSG00000132879,FBXO44,26,-1.6400,69,-0.2074,93,0.31240,119,0.85932,88,0.22047,53,-0.5776,59,-0.3994
ENSG00000011021,CLCN6,30,-1.1292,78,0.44008,49,-0.4121,71,0.21350,25,-1.4487,86,0.49696,68,0.11699
ENSG00000116685,KIAA2013,31,0.08601,25,-0.2731,8,-1.8948,46,0.88278,42,0.57482,11,-1.4578,31,0.11332
ENSG00000116688,MFN2,93,-0.3049,105,-0.1538,169,0.66339,149,0.52264,63,-0.8940,84,-0.4664,107,-0.0879
ENSG00000048707,VPS13D,100,0.47166,57,-0.5230,53,-0.5456,100,0.54577,58,-0.3965,103,0.52025,62,-0.2888
ENSG00000162496,DHRS3,46,0.98901,27,0.15166,39,0.67756,12,-1.2045,30,0.28447,18,-0.5159,14,-0.8856
ENSG00000116731,PRDM2,290,-0.0443,211,-0.6618,190,-0.7025,288,-0.0618,291,-0.0339,492,0.83144,505,0.87687
ENSG00000189337,KAZN,60,0.07584,51,-0.2281,47,-0.3196,63,0.17994,63,0.15197,47,-0.3006,76,0.45541
ENSG00000142634,EFHD2,45,-0.6458,59,-0.2912,87,0.37314,113,0.96606,22,-1.7105,106,0.71074,23,-1.6724
ENSG00000116138,DNAJC16,14,-1.3715,23,-0.7099,24,-0.5634,62,1.17833,19,-0.9103,37,0.15492,52,0.71258
ENSG00000197312,DDI2,13,-1.5525,28,-0.4624,31,-0.2385,46,0.48653,43,0.29925,47,0.43483,46,0.42641
ENSG00000116786,PLEKHM2,60,-1.0871,159,0.60456,150,0.35525,76,-0.8008,124,0.04337,151,0.36304,94,-0.3925
ENSG00000065526,SPEN,589,1.63120,101,-1.4848,90,-1.4378,101,-1.3714,316,0.51974,338,0.63150,459,1.16432
ENSG00000159363,ATP13A2,10,-3.1532,105,0.56707,94,0.23032,122,0.78029,48,-0.8105,51,-0.7188,49,-0.7796
ENSG00000117118,SDHB,12,-1.6530,48,0.64362,54,0.67309,49,0.59748,23,-0.6599,6,-2.6730,20,-0.8764
