Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,50,0.55609,37,0.10791,37,0.07137,46,0.46065,29,-0.3207,20,-0.8517,33,-0.0904,16,-1.1810
ENSG00000188976,NOC2L,32,-0.1743,39,0.13340,80,1.31562,39,0.14702,22,-0.7820,21,-0.8554,26,-0.5186,23,-0.7051
ENSG00000188290,HES4,49,1.26161,14,-0.9015,20,-0.2248,8,-1.5706,52,1.39940,40,0.91872,20,-0.1870,10,-1.1708
ENSG00000187608,ISG15,20,-0.7809,32,-0.0829,56,0.82952,31,-0.1139,61,0.96188,44,0.43884,10,-1.8110,19,-0.8613
ENSG00000188157,AGRN,8,-1.0233,17,0.14557,2,-2.9408,11,-0.6171,19,0.35429,35,1.33925,12,-0.3486,23,0.61013
ENSG00000078808,SDF4,63,0.55012,45,0.02911,46,0.05633,38,-0.2872,34,-0.4268,58,0.41109,52,0.25277,26,-0.8025
ENSG00000176022,B3GALT6,17,-0.1916,23,0.36402,22,0.24671,20,0.04878,17,-0.1535,18,-0.0583,15,-0.4133,13,-0.6211
ENSG00000160087,UBE2J2,56,1.03283,31,0.04867,49,0.78848,22,-0.5436,25,-0.2672,17,-0.8668,33,0.17706,13,-1.2320
ENSG00000131584,ACAP3,56,0.05320,53,-0.0575,51,-0.0976,41,-0.4649,67,0.34227,74,0.50217,52,-0.0570,55,0.03114
ENSG00000127054,INTS11,54,0.82937,36,0.19895,50,0.69612,28,-0.2312,31,-0.0629,22,-0.5766,20,-0.7106,15,-1.1966
ENSG00000224051,CPTP,18,-0.0079,23,0.50086,21,0.27149,12,-0.6510,18,-0.0225,16,-0.2080,19,0.09956,13,-0.5219
ENSG00000107404,DVL1,43,-0.0154,43,-0.0128,53,0.32274,27,-0.8091,36,-0.2753,78,0.95669,35,-0.3208,49,0.18870
ENSG00000175756,AURKAIP1,164,0.45589,160,0.54834,114,-0.1260,90,-0.5286,70,-0.8654,184,0.65163,63,-1.0434,100,-0.3294
ENSG00000221978,CCNL2,46,0.36438,36,-0.0168,30,-0.2764,40,0.19134,41,0.19432,36,-0.0018,42,0.24153,15,-1.3526
ENSG00000242485,MRPL20,175,0.59565,144,0.36802,103,-0.2556,87,-0.5553,96,-0.3613,157,0.42496,88,-0.4922,102,-0.2616
ENSG00000235098,ANKRD65,32,0.39559,37,0.87713,11,-1.2549,11,-1.3224,19,-0.4236,35,0.53780,16,-0.7096,27,0.15674
ENSG00000179403,VWA1,36,1.25584,6,-1.7830,9,-0.9409,3,-2.5505,35,1.18800,45,1.67691,25,0.63086,11,-0.6225
ENSG00000205090,TMEM240,24,-0.1967,28,0.00742,64,1.42126,29,0.11027,17,-0.6999,11,-1.3929,29,0.10025,15,-0.9320
ENSG00000160075,SSU72,154,0.37837,128,0.10166,117,-0.0616,112,-0.1436,109,-0.1726,162,0.45502,92,-0.4414,97,-0.3554
ENSG00000228594,FNDC10,29,0.18470,16,-0.8617,64,1.51238,23,-0.2148,18,-0.5679,34,0.43465,16,-0.7128,30,0.22197
ENSG00000272106,AL691432.2,31,0.85540,21,0.33328,18,0.02254,7,-1.5392,9,-1.0673,29,0.76073,21,0.28324,12,-0.5539
ENSG00000197530,MIB2,18,-0.1903,19,-0.1039,30,0.65635,14,-0.5742,20,0.00027,24,0.29807,21,0.06057,22,0.15002
ENSG00000248333,CDK11B,33,-0.5486,43,-0.2023,62,0.41140,39,-0.3348,105,1.31612,22,-1.1643,57,0.27483,38,-0.3443
ENSG00000008128,CDK11A,27,0.32930,10,-1.4420,31,0.54698,19,-0.2580,80,2.26541,5,-2.2036,15,-0.5690,18,-0.3268
ENSG00000215790,SLC35E2A,20,-0.4489,22,-0.3788,33,0.29287,36,0.48721,13,-1.1062,50,1.00463,17,-0.6744,27,-0.0021
ENSG00000008130,NADK,38,0.88315,25,0.28789,18,-0.3157,18,-0.3152,26,0.29057,23,0.05928,14,-0.6748,10,-1.1883
ENSG00000078369,GNB1,611,0.53071,452,0.05435,339,-0.4094,368,-0.3099,315,-0.5208,694,0.74230,328,-0.4581,461,0.07269
ENSG00000187730,GABRD,134,-0.0822,215,0.90475,161,0.20833,155,0.15842,59,-1.3415,81,-0.8674,92,-0.6638,77,-0.9378
ENSG00000067606,PRKCZ,132,-0.1009,172,0.41231,210,0.64063,115,-0.3590,54,-1.4724,164,0.24148,118,-0.2847,129,-0.1460
