Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,11,-1.8194,20,-0.9205,42,0.26389,39,0.21594,45,0.35355,44,0.32848
ENSG00000188976,NOC2L,28,-0.7822,23,-1.1174,36,-0.4361,65,0.92085,53,0.20042,30,-0.7131
ENSG00000188290,HES4,10,-2.2652,58,0.42941,45,0.02558,33,-0.6713,142,2.06000,14,-1.7169
ENSG00000187608,ISG15,21,-0.8069,44,0.31334,48,0.53145,32,-0.2278,50,0.53656,18,-1.0192
ENSG00000188157,AGRN,17,-0.6803,27,0.06517,25,-0.1101,21,-0.4555,80,1.94884,4,-2.8058
ENSG00000078808,SDF4,55,-0.0832,84,0.59799,56,-0.0794,61,0.11868,62,0.08928,25,-1.2659
ENSG00000176022,B3GALT6,13,-1.0943,20,-0.4922,37,0.57168,37,0.83232,14,-1.0017,3,-3.3083
ENSG00000160087,UBE2J2,22,-0.6769,22,-0.6900,37,0.16934,37,0.19785,60,0.94203,14,-1.3450
ENSG00000131584,ACAP3,57,-0.5832,64,-0.3881,105,0.46076,74,-0.2330,158,1.09305,35,-1.3002
ENSG00000127054,INTS11,34,-0.4755,21,-1.2254,35,-0.4920,50,0.19192,130,1.78208,9,-2.3785
ENSG00000224051,CPTP,7,-1.6276,25,0.31142,23,0.20218,29,0.96617,2,-3.0509,8,-1.3472
ENSG00000107404,DVL1,34,-0.9139,122,1.14206,102,0.97853,45,-0.6889,42,-0.5898,34,-0.9040
ENSG00000175756,AURKAIP1,73,-1.3906,127,-0.5464,243,0.56251,220,0.51506,134,-0.4647,102,-0.8893
ENSG00000221978,CCNL2,63,0.12448,33,-0.8876,41,-0.5898,59,0.02974,162,1.78240,6,-3.2709
ENSG00000242485,MRPL20,118,-0.3636,127,-0.2537,155,0.07066,169,0.31621,143,-0.0582,115,-0.4069
ENSG00000235098,ANKRD65,55,1.16856,34,0.34678,33,0.32884,24,-0.3007,8,-1.8285,15,-0.9085
ENSG00000179403,VWA1,228,3.86769,41,0.17459,13,-1.6762,10,-2.4125,26,-0.5023,4,-3.0329
ENSG00000205090,TMEM240,5,-2.5186,23,-0.4558,30,-0.0071,42,0.85073,38,0.35723,11,-1.5600
ENSG00000160075,SSU72,55,-1.4309,96,-0.5822,162,0.27700,183,0.73221,73,-1.0005,112,-0.3393
ENSG00000228594,FNDC10,6,-2.4216,45,0.68883,40,0.59906,33,0.28402,23,-0.3648,7,-2.0779
ENSG00000272106,AL691432.2,15,-0.0760,20,0.36529,20,0.41568,17,0.27360,2,-2.9754,11,-0.5804
ENSG00000197530,MIB2,15,-1.2086,38,0.20302,49,0.73876,37,0.23477,16,-1.1462,19,-0.8269
ENSG00000248333,CDK11B,74,0.67047,51,0.04864,24,-1.1723,33,-0.8500,99,1.16928,87,0.95169
