Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to5,Feature log2 fold change topic 2to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,10,-1.8711,44,0.53049,44,0.32819,54,0.65965,24,-0.6273,18,-1.0898
ENSG00000188976,NOC2L,21,-0.9751,54,0.93780,24,-0.7556,49,0.36897,18,-1.1951,27,-0.6163
ENSG00000188290,HES4,5,-2.5019,27,-0.1123,18,-0.7372,24,-0.2934,29,0.03433,72,1.61810
ENSG00000187608,ISG15,41,0.22550,36,0.02539,21,-0.8436,17,-1.1712,38,0.09937,61,0.88821
ENSG00000188157,AGRN,14,-0.5298,22,0.27136,19,-0.0550,13,-0.5975,15,-0.3925,28,0.59074
ENSG00000078808,SDF4,58,-0.0668,69,0.35898,56,-0.1355,40,-0.6508,46,-0.4527,70,0.22371
ENSG00000176022,B3GALT6,13,-0.9541,29,0.47327,21,-0.1813,17,-0.5471,30,0.35986,21,-0.2209
ENSG00000160087,UBE2J2,31,-0.1147,31,-0.1535,26,-0.3954,40,0.32830,33,-0.0144,43,0.44696
ENSG00000131584,ACAP3,39,-0.8867,74,0.17465,101,0.62538,40,-0.8662,84,0.30734,64,-0.1319
ENSG00000127054,INTS11,31,-0.3312,44,0.40434,59,0.73273,21,-0.8772,27,-0.5320,27,-0.5222
ENSG00000224051,CPTP,9,-1.1015,21,0.44200,24,0.45159,19,0.10304,7,-1.3702,18,0.03718
ENSG00000107404,DVL1,24,-1.0349,43,-0.2267,55,0.24905,31,-0.6433,54,0.22287,88,1.05088
ENSG00000175756,AURKAIP1,87,-0.8616,190,0.65250,113,-0.4593,109,-0.5200,129,-0.2590,164,0.13244
ENSG00000221978,CCNL2,70,0.31511,61,0.12891,62,0.09523,52,-0.1895,41,-0.5313,54,-0.1282
ENSG00000242485,MRPL20,119,-0.4650,189,0.48924,83,-1.0178,152,-0.0702,167,0.07723,153,-0.0617
ENSG00000235098,ANKRD65,56,0.90353,33,0.03669,34,0.05194,18,-0.8962,28,-0.2458,25,-0.3962
ENSG00000179403,VWA1,151,3.29431,12,-1.7847,3,-3.2450,10,-1.6764,30,-0.0192,27,-0.1652
ENSG00000205090,TMEM240,1,-4.0862,28,0.63328,37,0.84894,26,0.24567,14,-0.7308,11,-1.0736
ENSG00000160075,SSU72,78,-1.0441,201,0.82346,112,-0.4849,114,-0.4620,135,-0.1927,127,-0.2852
ENSG00000228594,FNDC10,4,-2.8149,32,0.59601,21,-0.3482,26,-0.0029,35,0.53031,19,-0.4856
ENSG00000272106,AL691432.2,26,0.12010,31,0.66932,23,-0.0999,6,-2.0009,26,0.08509,15,-0.7613
ENSG00000197530,MIB2,11,-1.1629,30,0.81988,19,-0.2937,23,0.02438,28,0.34446,4,-2.6606
ENSG00000248333,CDK11B,56,0.93499,19,-1.1024,33,0.06097,46,0.58995,34,0.06522,43,0.45518
ENSG00000008128,CDK11A,22,0.41673,12,-0.6899,22,0.47005,29,0.92170,11,-0.6622,17,0.03071
ENSG00000215790,SLC35E2A,15,-0.4002,18,-0.2441,20,0.02979,14,-0.5568,35,0.96025,22,0.16895
ENSG00000008130,NADK,17,-0.4824,28,0.49719,22,-0.0815,13,-0.8555,22,-0.0931,24,0.01850
ENSG00000078369,GNB1,267,-1.1774,586,0.08432,490,-0.2361,481,-0.2641,901,0.77810,623,0.15231
ENSG00000187730,GABRD,7,-4.6751,238,0.95379,261,0.68088,177,0.02662,96,-0.9352,72,-1.3705
ENSG00000067606,PRKCZ,86,-1.1249,210,0.49553,173,-0.0331,176,-0.0075,236,0.48369,75,-1.3254
ENSG00000162585,FAAP20,29,-0.1680,27,-0.4422,10,-1.8460,22,-0.6205,50,0.70350,75,1.42563
ENSG00000157933,SKI,31,0.24416,15,-1.2024,33,0.35198,28,0.08224,32,0.27554,55,1.23396
ENSG00000157916,RER1,49,-0.2241,71,0.62696,44,-0.4180,43,-0.4383,32,-0.9181,61,0.10649
ENSG00000157911,PEX10,25,0.12242,24,0.06751,16,-0.5968,12,-0.9720,25,0.10155,35,0.70931
ENSG00000157881,PANK4,9,-0.8175,24,1.34720,16,-0.0094,8,-1.0004,8,-1.0533,5,-1.6962
ENSG00000157870,PRXL2B,11,-2.1638,62,0.77615,52,0.13871,36,-0.4232,45,-0.0899,36,-0.4571
ENSG00000177133,PRDM16-DT,3,-2.7548,18,-0.4787,11,-1.0202,6,-1.8098,29,0.50905,73,2.25443
ENSG00000158109,TPRG1L,65,-1.8665,283,0.76393,207,-0.0857,222,0.02390,195,-0.1804,144,-0.6585
ENSG00000130764,LRRC47,41,-0.9621,89,0.44642,72,-0.0867,74,-0.0444,71,-0.1011,68,-0.1641
