Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8to11,Feature log2 fold change topic 8to11
ENSG00000237491,LINC01409,6,-0.5898,17,1.32432,5,-0.8849,8,-0.1173
ENSG00000228794,LINC01128,25,-0.6582,48,0.46765,35,-0.1249,40,0.13533
ENSG00000188976,NOC2L,31,-0.7364,42,-0.2184,62,0.52023,49,0.05323
ENSG00000188290,HES4,32,0.38700,16,-0.7844,30,0.35180,24,-0.1695
ENSG00000187608,ISG15,24,0.22786,13,-0.8110,23,0.17180,23,0.12614
ENSG00000188157,AGRN,18,0.10970,18,0.10113,19,0.27939,14,-0.4058
ENSG00000078808,SDF4,41,-0.1539,39,-0.2522,47,0.08928,48,0.16872
ENSG00000176022,B3GALT6,18,-0.1981,16,-0.3893,22,0.13488,22,0.22852
ENSG00000160087,UBE2J2,33,-0.0606,30,-0.2453,31,-0.1882,39,0.33485
ENSG00000131584,ACAP3,61,0.11146,49,-0.2685,64,0.22075,54,-0.1076
ENSG00000127054,INTS11,26,-0.5298,24,-0.6521,42,0.37545,40,0.31473
ENSG00000224051,CPTP,14,-0.4205,12,-0.6342,22,0.47278,19,0.16252
ENSG00000107404,DVL1,75,1.17299,21,-1.0724,26,-0.7930,44,0.17841
ENSG00000175756,AURKAIP1,117,0.09269,63,-0.9528,98,-0.2393,142,0.60137
ENSG00000221978,CCNL2,32,-0.8685,63,0.25099,47,-0.2936,67,0.50669
ENSG00000242485,MRPL20,122,0.01810,80,-0.6923,110,-0.1801,148,0.49878
ENSG00000235098,ANKRD65,31,0.62352,12,-0.9448,13,-0.9406,29,0.68043
ENSG00000179403,VWA1,23,0.62207,6,-1.5653,24,0.81544,12,-0.5714
ENSG00000197785,ATAD3A,8,-0.2968,6,-0.6744,9,-0.0797,12,0.59163
ENSG00000205090,TMEM240,14,-0.8491,22,-0.0948,23,-0.0182,28,0.50460
ENSG00000160075,SSU72,133,0.08194,87,-0.6402,107,-0.3251,159,0.54360
ENSG00000228594,FNDC10,33,0.61523,20,-0.3138,22,-0.1516,22,-0.1367
ENSG00000272106,AL691432.2,14,-0.4664,9,-1.2163,13,-0.6136,29,1.25717
ENSG00000197530,MIB2,24,-0.1084,17,-0.6925,33,0.56006,25,-0.0719
ENSG00000248333,CDK11B,30,-0.2795,54,0.80886,30,-0.2927,32,-0.2100
ENSG00000189339,SLC35E2B,16,-0.1620,17,-0.1381,23,0.52262,16,-0.3054
ENSG00000008128,CDK11A,26,0.32518,40,1.20925,15,-0.6196,14,-0.8036
ENSG00000215790,SLC35E2A,24,-0.1521,23,-0.2191,24,-0.2199,31,0.39770
ENSG00000008130,NADK,20,-0.2300,14,-0.7998,23,0.03236,28,0.51970
ENSG00000078369,GNB1,629,0.44326,343,-0.6158,489,-0.0129,502,0.04182
ENSG00000187730,GABRD,82,-0.6594,110,-0.1692,96,-0.4402,165,0.77911
ENSG00000067606,PRKCZ,158,-0.1579,134,-0.4425,184,0.12510,192,0.24103
ENSG00000162585,FAAP20,34,0.77005,12,-1.0474,22,-0.0321,22,-0.0241
ENSG00000157933,SKI,46,0.67465,29,-0.1616,29,-0.1814,28,-0.2542
ENSG00000157916,RER1,42,-0.1505,29,-0.7279,42,-0.1336,58,0.57692
ENSG00000157911,PEX10,21,0.39281,11,-0.6240,16,-0.1091,18,0.16281
ENSG00000149527,PLCH2,20,1.05776,11,-0.0572,5,-1.4403,12,0.13969
ENSG00000157881,PANK4,6,-1.2607,12,-0.3126,16,0.14703,19,0.63376
ENSG00000197921,HES5,18,0.43764,13,-0.2053,4,-1.9728,21,0.92198
ENSG00000157870,PRXL2B,41,-0.1374,34,-0.4382,38,-0.2815,55,0.54841
ENSG00000177133,PRDM16-DT,31,0.85452,14,-0.6075,5,-2.3616,28,0.91172
ENSG00000142611,PRDM16,23,1.06801,17,0.46882,2,-2.5302,14,0.13773
ENSG00000158109,TPRG1L,131,-0.4619,129,-0.4929,199,0.29413,194,0.28065
ENSG00000116213,WRAP73,9,-0.3844,10,-0.2269,10,-0.1705,14,0.48890
ENSG00000130764,LRRC47,52,-0.5794,47,-0.7345,78,0.13284,93,0.58387
ENSG00000116198,CEP104,21,-0.5660,40,0.59760,38,0.53474,21,-0.6583
ENSG00000198912,C1orf174,9,-0.5607,16,0.32090,15,0.32209,12,-0.1972
ENSG00000196581,AJAP1,38,-0.3130,54,0.27403,38,-0.3393,52,0.26936
ENSG00000069424,KCNAB2,193,0.29109,108,-0.7010,138,-0.3269,196,0.43490
ENSG00000116254,CHD5,223,-0.1463,326,0.54022,284,0.32279,179,-0.6328
ENSG00000116251,RPL22,543,0.73944,263,-0.5584,335,-0.1628,348,-0.1025
ENSG00000116237,ICMT,31,-0.2620,24,-0.6462,29,-0.3989,49,0.79523
ENSG00000097021,ACOT7,70,-1.6035,131,-0.6088,167,-0.2197,290,1.16168
ENSG00000215788,TNFRSF25,10,-0.8414,15,-0.1907,15,-0.2155,23,0.70677
ENSG00000171680,PLEKHG5,26,0.38026,17,-0.4271,12,-0.9825,28,0.65898
ENSG00000162408,NOL9,32,0.15571,40,0.61342,28,-0.0634,22,-0.5283
ENSG00000162413,KLHL21,19,-0.4379,18,-0.5568,22,-0.2702,34,0.75338
ENSG00000116273,PHF13,12,-0.4971,14,-0.2546,20,0.35332,18,0.11977
ENSG00000041988,THAP3,10,-0.6193,12,-0.3746,14,-0.1086,20,0.62971
ENSG00000007923,DNAJC11,28,-0.3196,38,0.19056,41,0.34884,30,-0.2580
