Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000228794,LINC01128,23,-0.9210,39,-0.0739,48,0.39649,45,0.15674,49,0.29907,27,-0.6735
ENSG00000188976,NOC2L,26,-1.1489,58,0.09714,71,0.66244,60,0.16160,43,-0.3812,36,-0.6542
ENSG00000188290,HES4,67,1.06943,33,-0.1697,40,0.24484,18,-1.1146,20,-0.9143,32,-0.2271
ENSG00000187608,ISG15,48,0.41468,45,0.33016,50,0.74953,18,-1.1269,8,-2.2910,28,-0.4304
ENSG00000188157,AGRN,22,0.04081,21,-0.0747,32,1.00347,14,-0.6989,13,-0.7326,8,-1.5560
ENSG00000078808,SDF4,69,0.25608,51,-0.2588,72,0.45999,59,-0.0078,33,-0.9112,48,-0.3553
ENSG00000176022,B3GALT6,17,-0.5928,23,-0.1283,33,0.79291,22,-0.1860,10,-1.4165,25,0.01097
ENSG00000160087,UBE2J2,32,-0.2894,29,-0.4765,54,0.87668,26,-0.6048,31,-0.3227,27,-0.5364
ENSG00000131584,ACAP3,65,-0.3780,58,-0.5744,111,0.75495,103,0.36731,55,-0.6509,47,-0.8955
ENSG00000127054,INTS11,41,0.02952,28,-0.5908,51,0.54897,45,0.15274,38,-0.1202,21,-1.0290
ENSG00000224051,CPTP,19,-0.1925,20,-0.1206,29,0.69399,12,-0.9192,15,-0.5881,21,-0.0242
ENSG00000107404,DVL1,82,0.61828,72,0.39784,62,0.19574,50,-0.1996,25,-1.2659,40,-0.5707
ENSG00000175756,AURKAIP1,188,0.29480,190,0.31175,203,0.63221,71,-1.2450,90,-0.8838,113,-0.5354
ENSG00000221978,CCNL2,35,-0.6300,26,-1.0753,66,0.56794,101,1.15141,42,-0.3583,16,-1.7737
ENSG00000242485,MRPL20,199,0.51530,175,0.29820,150,0.05789,105,-0.5274,119,-0.3406,123,-0.2838
ENSG00000235098,ANKRD65,41,0.58134,25,-0.2376,34,0.32931,30,0.03968,18,-0.7888,19,-0.6853
ENSG00000179403,VWA1,52,1.34779,22,-0.1802,18,-0.5705,28,0.23015,10,-1.3817,27,0.16606
ENSG00000205090,TMEM240,10,-1.2941,16,-0.6632,33,0.79247,10,-1.3135,37,0.69385,21,-0.2011
ENSG00000160075,SSU72,139,-0.0314,238,0.89094,163,0.34657,92,-0.6925,88,-0.7520,86,-0.8013
ENSG00000228594,FNDC10,26,-0.3686,22,-0.6767,40,0.42650,30,-0.1659,26,-0.3789,43,0.41504
ENSG00000197530,MIB2,29,-0.1740,39,0.33314,45,0.87515,15,-1.2177,16,-1.0818,23,-0.5292
ENSG00000248333,CDK11B,35,-0.5623,42,-0.2833,29,-1.0882,89,0.96784,83,0.84293,66,0.46050
ENSG00000189339,SLC35E2B,23,0.11449,21,-0.0487,18,-0.3960,16,-0.4744,28,0.43151,30,0.58789
ENSG00000008128,CDK11A,13,-1.1059,8,-1.8081,22,-0.4316,46,0.93594,46,0.94212,35,0.42222
ENSG00000215790,SLC35E2A,30,0.34211,42,0.92485,24,-0.0865,18,-0.4643,11,-1.2008,24,-0.0678
ENSG00000008130,NADK,28,0.14138,20,-0.4500,36,0.82658,6,-2.1849,17,-0.6385,29,0.17844
ENSG00000078369,GNB1,579,0.18541,823,0.79584,498,-0.0890,319,-0.7754,352,-0.6203,575,0.17427
ENSG00000187730,GABRD,53,-2.1686,265,0.33105,312,0.95977,120,-0.9381,208,-0.0723,155,-0.5422
ENSG00000067606,PRKCZ,125,-1.0036,278,0.27548,282,0.43987,187,-0.3700,162,-0.6046,286,0.32685
ENSG00000162585,FAAP20,58,0.71772,64,0.88787,33,-0.3034,30,-0.3924,22,-0.8624,31,-0.3223
ENSG00000157933,SKI,50,0.18615,49,0.17470,41,-0.1632,57,0.40841,14,-1.8126,62,0.56025
ENSG00000157916,RER1,69,0.55773,38,-0.4498,67,0.74476,36,-0.5266,33,-0.6545,22,-1.2464
ENSG00000157911,PEX10,42,1.20105,22,0.06637,20,-0.0770,24,0.21161,4,-2.3870,15,-0.5033
ENSG00000157870,PRXL2B,33,-0.3440,52,0.38022,53,0.58864,23,-0.9405,36,-0.2371,30,-0.5241
ENSG00000158109,TPRG1L,112,-0.9898,217,0.06222,271,0.66061,121,-0.8654,171,-0.3232,236,0.20209
ENSG00000130764,LRRC47,57,-0.6605,101,0.24498,115,0.70177,64,-0.4845,65,-0.4732,64,-0.4873
ENSG00000116198,CEP104,31,-0.3419,42,0.13929,29,-0.5823,57,0.65763,36,-0.1331,55,0.59526
ENSG00000196581,AJAP1,24,-1.1960,37,-0.5261,58,0.30369,53,0.06011,83,0.83433,38,-0.4794
ENSG00000069424,KCNAB2,159,-0.2622,216,0.24481,251,0.76140,82,-1.2960,170,-0.1511,112,-0.8047
ENSG00000116254,CHD5,128,-1.4625,323,-0.0115,261,-0.4758,410,0.38903,461,0.59204,495,0.71931
ENSG00000116251,RPL22,862,0.86110,806,0.73848,387,-0.6438,359,-0.6042,409,-0.3968,587,0.19148
ENSG00000116237,ICMT,40,0.06198,28,-0.4716,47,0.51753,19,-1.0885,48,0.37321,29,-0.4330
ENSG00000097021,ACOT7,61,-1.9382,222,0.07457,301,0.91874,140,-0.6635,214,0.01574,157,-0.4799
ENSG00000215788,TNFRSF25,6,-2.2174,4,-2.5991,34,0.64487,71,1.82244,22,-0.2582,4,-2.7524
ENSG00000171680,PLEKHG5,19,-0.3966,27,0.16666,32,0.66291,23,-0.1253,24,-0.0293,7,-1.8488
ENSG00000162408,NOL9,34,0.03119,35,0.08739,33,-0.0022,62,1.06592,27,-0.3628,9,-1.9357
ENSG00000162413,KLHL21,17,-1.0366,35,0.04629,48,0.86842,22,-0.7005,22,-0.6814,33,-0.0536
ENSG00000041988,THAP3,11,-0.7693,21,0.26613,24,0.71306,14,-0.3429,13,-0.5311,13,-0.5480
ENSG00000007923,DNAJC11,31,-0.3197,68,0.98867,40,0.08068,25,-0.6837,38,-0.0229,25,-0.6529
ENSG00000171735,CAMTA1,294,-0.8770,592,0.24972,437,-0.3429,575,0.19986,647,0.40086,660,0.43491
ENSG00000049245,VAMP3,56,1.66958,8,-1.4966,18,-0.4293,27,0.31528,18,-0.3606,14,-0.7145
ENSG00000049246,PER3,65,0.59245,36,-0.4019,42,-0.1926,61,0.46730,44,-0.0825,35,-0.4089
ENSG00000116288,PARK7,395,0.70257,305,0.25969,306,0.38379,134,-1.0602,164,-0.7438,174,-0.6490
ENSG00000116285,ERRFI1,20,-0.5145,23,-0.3064,36,0.63194,21,-0.4549,30,0.08874,22,-0.4037
