Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to11,Feature log2 fold change topic 6to11
ENSG00000228794,LINC01128,6,-2.3731,6,-2.4218,37,0.28257,29,-0.1173,39,0.85281
ENSG00000188976,NOC2L,6,-2.8383,26,-0.7853,29,-0.6027,35,-0.3658,57,1.11752
ENSG00000188290,HES4,14,-0.7503,4,-2.4179,46,1.11218,35,0.78526,20,-0.4314
ENSG00000187608,ISG15,6,-2.2022,20,-0.5364,19,-0.6151,57,1.38640,25,-0.3468
ENSG00000188157,AGRN,6,-1.7064,27,0.49317,40,1.13809,17,-0.2389,18,-0.2166
ENSG00000078808,SDF4,6,-2.8772,49,0.17420,63,0.57512,46,0.05699,46,0.13033
ENSG00000176022,B3GALT6,86,1.93386,8,-1.8597,11,-1.4492,20,-0.5715,27,-0.0820
ENSG00000160087,UBE2J2,271,3.06918,19,-1.5600,23,-1.2586,40,-0.4744,32,-1.2659
ENSG00000131584,ACAP3,82,0.38396,42,-0.6614,97,0.67617,57,-0.2149,62,-0.1092
ENSG00000127054,INTS11,93,1.11683,43,-0.1341,43,-0.1371,31,-0.6828,46,-0.0704
ENSG00000224051,CPTP,6,-1.2306,11,-0.3198,10,-0.5514,11,-0.3555,18,0.77894
ENSG00000107404,DVL1,6,-2.7066,26,-0.6249,47,0.27496,63,0.87246,38,-0.1077
ENSG00000175756,AURKAIP1,95,-0.6233,79,-0.8968,87,-0.7651,196,0.58520,152,0.21727
ENSG00000221978,CCNL2,6,-3.1015,60,0.23949,104,1.16191,29,-0.9427,56,0.30043
ENSG00000242485,MRPL20,39,-1.7267,89,-0.4926,60,-1.0816,194,0.87359,127,0.14273
ENSG00000235098,ANKRD65,6,-2.0504,50,1.13028,10,-1.3533,31,0.37950,24,-0.0612
ENSG00000179403,VWA1,6,-2.2545,181,3.69209,22,-0.3898,20,-0.5698,11,-2.1352
ENSG00000205090,TMEM240,6,-1.8894,3,-2.7323,4,-2.4780,22,0.00691,31,1.38990
ENSG00000160075,SSU72,307,1.27244,62,-1.2763,73,-1.0408,154,0.13092,138,-0.1260
ENSG00000228594,FNDC10,20,-0.1205,4,-2.2802,5,-2.0170,32,0.73343,24,0.33213
ENSG00000272106,AL691432.2,6,-1.4163,20,0.32334,14,-0.2273,13,-0.3269,18,0.46460
ENSG00000197530,MIB2,6,-1.9944,13,-0.9511,32,0.47479,29,0.35999,26,0.21690
ENSG00000248333,CDK11B,6,-3.0854,64,0.34981,59,0.22656,45,-0.2278,57,0.38887
ENSG00000189339,SLC35E2B,6,-1.3170,10,-0.6756,18,0.25561,19,0.45060,16,0.10185
ENSG00000008128,CDK11A,6,-1.4599,28,0.85391,37,1.32626,12,-0.5758,15,-0.3690
ENSG00000008130,NADK,218,3.20955,20,-1.0723,12,-1.8491,31,-0.4508,23,-1.4361
ENSG00000078369,GNB1,302,-0.6695,227,-1.1047,376,-0.3337,650,0.61484,485,0.13767
ENSG00000187730,GABRD,6,-4.2211,1,-6.3744,52,-1.1882,102,-0.1648,162,1.61382
ENSG00000067606,PRKCZ,7,-4.6122,86,-0.9702,88,-0.9410,210,0.46946,197,0.71041
ENSG00000162585,FAAP20,6,-2.1014,40,0.71143,15,-0.8458,56,1.51730,19,-0.8780
ENSG00000157933,SKI,6,-2.0482,35,0.54631,55,1.30002,29,0.28077,20,-0.6179
ENSG00000157916,RER1,6,-2.7718,69,0.83837,41,-0.0103,34,-0.3089,45,0.27082
ENSG00000157911,PEX10,6,-1.5697,27,0.65455,23,0.38015,28,0.81257,14,-0.6372
ENSG00000157870,PRXL2B,6,-2.5190,6,-2.4572,31,-0.1670,38,0.16633,43,0.84826
ENSG00000158109,TPRG1L,90,-0.9383,34,-2.3509,73,-1.2418,179,0.14750,209,0.91216
ENSG00000130764,LRRC47,6,-3.4523,52,-0.3533,54,-0.3182,56,-0.2644,83,0.87771
ENSG00000116198,CEP104,6,-2.5096,91,1.64683,67,1.10617,26,-0.4401,27,-0.6909
ENSG00000196581,AJAP1,93,0.99211,15,-1.8428,44,-0.2199,19,-1.5453,61,0.67559
ENSG00000069424,KCNAB2,6,-4.3599,6,-4.3608,106,-0.2410,142,0.24577,159,0.98522
