Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000237491,LINC01409,6,-0.5898,17,1.32432,5,-0.8849,6,-0.5705,10,0.30050
ENSG00000228794,LINC01128,25,-0.6582,48,0.46765,35,-0.1249,47,0.41313,32,-0.2518
ENSG00000188976,NOC2L,31,-0.7364,42,-0.2184,62,0.52023,56,0.28791,42,-0.2351
ENSG00000188290,HES4,32,0.38700,16,-0.7844,30,0.35180,13,-1.1487,35,0.55250
ENSG00000187608,ISG15,24,0.22786,13,-0.8110,23,0.17180,24,0.16358,22,0.02876
ENSG00000188157,AGRN,18,0.10970,18,0.10113,19,0.27939,13,-0.3670,14,-0.2838
ENSG00000078808,SDF4,41,-0.1539,39,-0.2522,47,0.08928,49,0.17225,47,0.08593
ENSG00000176022,B3GALT6,18,-0.1981,16,-0.3893,22,0.13488,26,0.44990,19,-0.1365
ENSG00000160087,UBE2J2,33,-0.0606,30,-0.2453,31,-0.1882,43,0.42377,36,0.07053
ENSG00000131584,ACAP3,61,0.11146,49,-0.2685,64,0.22075,46,-0.3821,63,0.17777
ENSG00000127054,INTS11,26,-0.5298,24,-0.6521,42,0.37545,47,0.52124,34,-0.0807
ENSG00000224051,CPTP,14,-0.4205,12,-0.6342,22,0.47278,19,0.16613,19,0.08271
ENSG00000107404,DVL1,75,1.17299,21,-1.0724,26,-0.7930,35,-0.2683,53,0.48268
ENSG00000175756,AURKAIP1,117,0.09269,63,-0.9528,98,-0.2393,126,0.23192,157,0.64136
ENSG00000221978,CCNL2,32,-0.8685,63,0.25099,47,-0.2936,66,0.33222,69,0.42246
ENSG00000242485,MRPL20,122,0.01810,80,-0.6923,110,-0.1801,133,0.17470,163,0.55558
ENSG00000235098,ANKRD65,31,0.62352,12,-0.9448,13,-0.9406,21,-0.0875,37,0.98208
ENSG00000179403,VWA1,23,0.62207,6,-1.5653,24,0.81544,4,-2.0004,20,0.38661
ENSG00000197785,ATAD3A,8,-0.2968,6,-0.6744,9,-0.0797,16,0.94331,9,-0.1872
ENSG00000205090,TMEM240,14,-0.8491,22,-0.0948,23,-0.0182,29,0.41005,28,0.34198
ENSG00000160075,SSU72,133,0.08194,87,-0.6402,107,-0.3251,167,0.50266,150,0.30127
ENSG00000228594,FNDC10,33,0.61523,20,-0.3138,22,-0.1516,20,-0.3054,25,0.07414
ENSG00000272106,AL691432.2,14,-0.4664,9,-1.2163,13,-0.6136,23,0.44234,35,1.24754
ENSG00000197530,MIB2,24,-0.1084,17,-0.6925,33,0.56006,20,-0.4407,30,0.27137
ENSG00000248333,CDK11B,30,-0.2795,54,0.80886,30,-0.2927,37,0.10429,26,-0.4750
ENSG00000189339,SLC35E2B,16,-0.1620,17,-0.1381,23,0.52262,21,0.25456,10,-0.8965
ENSG00000008128,CDK11A,26,0.32518,40,1.20925,15,-0.6196,14,-0.7003,15,-0.6200
ENSG00000215790,SLC35E2A,24,-0.1521,23,-0.2191,24,-0.2199,23,-0.2390,40,0.74254
ENSG00000008130,NADK,20,-0.2300,14,-0.7998,23,0.03236,24,0.12797,32,0.62265
ENSG00000078369,GNB1,629,0.44326,343,-0.6158,489,-0.0129,464,-0.1057,540,0.16275
ENSG00000187730,GABRD,82,-0.6594,110,-0.1692,96,-0.4402,190,0.84724,139,0.25410
ENSG00000067606,PRKCZ,158,-0.1579,134,-0.4425,184,0.12510,195,0.21473,189,0.15263
ENSG00000162585,FAAP20,34,0.77005,12,-1.0474,22,-0.0321,10,-1.2346,34,0.76043
ENSG00000157933,SKI,46,0.67465,29,-0.1616,29,-0.1814,27,-0.2865,30,-0.1196
ENSG00000157916,RER1,42,-0.1505,29,-0.7279,42,-0.1336,58,0.45277,57,0.40162
ENSG00000157911,PEX10,21,0.39281,11,-0.6240,16,-0.1091,17,0.06560,18,0.18296
ENSG00000149527,PLCH2,20,1.05776,11,-0.0572,5,-1.4403,12,0.05038,12,0.16319
ENSG00000157881,PANK4,6,-1.2607,12,-0.3126,16,0.14703,16,0.13245,22,0.76470
ENSG00000197921,HES5,18,0.43764,13,-0.2053,4,-1.9728,4,-2.0167,38,1.98383
ENSG00000157870,PRXL2B,41,-0.1374,34,-0.4382,38,-0.2815,57,0.47109,53,0.34189
ENSG00000177133,PRDM16-DT,31,0.85452,14,-0.6075,5,-2.3616,2,-3.5715,55,2.16835
ENSG00000142611,PRDM16,23,1.06801,17,0.46882,2,-2.5302,1,-3.6051,27,1.39014
ENSG00000158109,TPRG1L,131,-0.4619,129,-0.4929,199,0.29413,191,0.18528,197,0.24119
ENSG00000116213,WRAP73,9,-0.3844,10,-0.2269,10,-0.1705,16,0.71800,11,-0.0437
ENSG00000130764,LRRC47,52,-0.5794,47,-0.7345,78,0.13284,92,0.42510,93,0.43927
ENSG00000116198,CEP104,21,-0.5660,40,0.59760,38,0.53474,20,-0.6172,22,-0.4576
ENSG00000198912,C1orf174,9,-0.5607,16,0.32090,15,0.32209,9,-0.5153,14,0.15246
ENSG00000196581,AJAP1,38,-0.3130,54,0.27403,38,-0.3393,49,0.09844,55,0.30709
ENSG00000069424,KCNAB2,193,0.29109,108,-0.7010,138,-0.3269,212,0.46562,181,0.17894
ENSG00000116254,CHD5,223,-0.1463,326,0.54022,284,0.32279,214,-0.2132,144,-0.8698
ENSG00000116251,RPL22,543,0.73944,263,-0.5584,335,-0.1628,279,-0.4576,417,0.24163
ENSG00000116237,ICMT,31,-0.2620,24,-0.6462,29,-0.3989,57,0.86018,41,0.26244
