Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,16,-0.7626,18,-0.5724,21,-0.4356,34,0.49345,41,0.70412,24,-0.1543
ENSG00000188976,NOC2L,31,-0.2309,24,-0.6328,35,-0.0207,43,0.40356,41,0.20300,31,-0.2495
ENSG00000188290,HES4,47,0.82711,36,0.36604,34,0.31397,13,-1.3618,20,-0.5372,37,0.48300
ENSG00000187608,ISG15,41,0.99527,33,0.63443,22,-0.0119,6,-2.2342,29,0.38578,30,0.51063
ENSG00000188157,AGRN,22,0.72074,10,-0.5000,17,0.36355,9,-0.8858,16,0.24871,16,0.20855
ENSG00000078808,SDF4,46,-0.2694,58,0.11254,65,0.32892,40,-0.5654,43,-0.3743,72,0.53456
ENSG00000176022,B3GALT6,12,-0.9397,21,-0.0438,21,-0.0485,25,0.30807,20,-0.0897,23,0.10652
ENSG00000160087,UBE2J2,26,-0.2999,22,-0.5990,40,0.39588,32,-0.0174,28,-0.2074,35,0.14117
ENSG00000162572,SCNN1D,15,0.09570,13,-0.1271,16,0.25720,17,0.38558,11,-0.3886,9,-0.6882
ENSG00000131584,ACAP3,76,0.29064,55,-0.2299,57,-0.1984,64,0.00943,48,-0.4292,75,0.31571
ENSG00000127054,INTS11,51,0.57402,18,-1.0449,36,-0.0060,23,-0.7929,47,0.42697,50,0.63292
ENSG00000224051,CPTP,19,0.25013,8,-1.1551,16,-0.0961,14,-0.2848,32,1.09084,16,-0.0491
ENSG00000107404,DVL1,54,0.35883,36,-0.2950,56,0.48849,31,-0.6379,25,-0.8552,56,0.48174
ENSG00000175756,AURKAIP1,97,-0.3773,146,0.28133,136,0.18704,126,0.04150,103,-0.2753,117,-0.0870
ENSG00000221978,CCNL2,74,0.33066,46,-0.4381,64,0.10517,57,-0.1176,72,0.28479,57,-0.1172
ENSG00000242485,MRPL20,109,-0.3812,166,0.29025,142,0.05178,125,-0.1982,109,-0.3690,169,0.37473
ENSG00000179403,VWA1,44,1.86239,31,1.20968,15,0.05258,7,-1.3768,5,-1.6343,9,-0.7981
ENSG00000160072,ATAD3B,10,-0.2662,2,-2.4310,19,0.81162,13,0.17129,6,-0.9663,13,0.09679
